film_id,decade,file_path,start,end,text_clean,text_raw
soldier-1998-hindi-web-dl-1080p-720p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Soldier (1998) Hindi.WEB.DL.1080p.720p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:02:22,173","00:02:24,095",Attention!,Attention!
soldier-1998-hindi-web-dl-1080p-720p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Soldier (1998) Hindi.WEB.DL.1080p.720p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:02:29,573","00:02:31,422",Stand at ease!,Stand at ease!
soldier-1998-hindi-web-dl-1080p-720p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Soldier (1998) Hindi.WEB.DL.1080p.720p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:02:33,453","00:02:34,787",Major Vijay Malhotra reporting sir.,Major Vijay Malhotra reporting sir.
soldier-1998-hindi-web-dl-1080p-720p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Soldier (1998) Hindi.WEB.DL.1080p.720p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:02:35,773","00:02:37,250",- Come. Sit down. - Thank you.,"- Come. Sit down.
- Thank you."
soldier-1998-hindi-web-dl-1080p-720p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Soldier (1998) Hindi.WEB.DL.1080p.720p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:02:40,173","00:02:41,817",- Yes Vijay? - Sir.,"- Yes Vijay?
- Sir."
soldier-1998-hindi-web-dl-1080p-720p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Soldier (1998) Hindi.WEB.DL.1080p.720p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:02:42,493","00:02:45,365",The truck carrying arms to the border Met with an accident last month.,"The truck carrying arms to the border
Met with an accident last month."
soldier-1998-hindi-web-dl-1080p-720p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Soldier (1998) Hindi.WEB.DL.1080p.720p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:02:46,008","00:02:49,233","And the task to enquire the fire in the jeep,","And the task to enquire
the fire in the jeep,"
soldier-1998-hindi-web-dl-1080p-720p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Soldier (1998) Hindi.WEB.DL.1080p.720p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:02:49,773","00:02:51,101",I've prepared its' report.,I've prepared its' report.
soldier-1998-hindi-web-dl-1080p-720p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Soldier (1998) Hindi.WEB.DL.1080p.720p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:02:51,142","00:02:55,577",- So what's the outcome? - It was a plan not an accident.,"- So what's the outcome?
- It was a plan not an accident."
soldier-1998-hindi-web-dl-1080p-720p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Soldier (1998) Hindi.WEB.DL.1080p.720p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:02:56,147","00:02:57,969",The aim of being stealing of arms.,The aim of being stealing of arms.
soldier-1998-hindi-web-dl-1080p-720p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Soldier (1998) Hindi.WEB.DL.1080p.720p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:02:58,592","00:03:03,757",Means our people are involved. Must hand the case to intelligence.,"Means our people are involved.
Must hand the case to intelligence."
soldier-1998-hindi-web-dl-1080p-720p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Soldier (1998) Hindi.WEB.DL.1080p.720p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:03:03,910","00:03:07,954",I have a request. The truck that is to leave tomorrow,"I have a request.
The truck that is to leave tomorrow"
soldier-1998-hindi-web-dl-1080p-720p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Soldier (1998) Hindi.WEB.DL.1080p.720p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:03:08,770","00:03:11,522",give me the responsibility of taking it to the border security force.,"give me the responsibility of taking
it to the border security force."
soldier-1998-hindi-web-dl-1080p-720p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Soldier (1998) Hindi.WEB.DL.1080p.720p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:03:12,587","00:03:16,687","If this happens again, the arms looters will be uncontrollable.","If this happens again,
the arms looters will be uncontrollable."
soldier-1998-hindi-web-dl-1080p-720p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Soldier (1998) Hindi.WEB.DL.1080p.720p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:03:17,122","00:03:17,507",Okay.,Okay.
soldier-1998-hindi-web-dl-1080p-720p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Soldier (1998) Hindi.WEB.DL.1080p.720p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:03:20,800","00:03:22,600",Why doesn't this plane fly?,Why doesn't this plane fly?
soldier-1998-hindi-web-dl-1080p-720p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Soldier (1998) Hindi.WEB.DL.1080p.720p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:03:22,727","00:03:26,590","What are you saying, son? Do toys ever fly?","What are you saying, son?
Do toys ever fly?"
soldier-1998-hindi-web-dl-1080p-720p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Soldier (1998) Hindi.WEB.DL.1080p.720p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:03:26,702","00:03:28,675",Buy me a flying plane.,Buy me a flying plane.
soldier-1998-hindi-web-dl-1080p-720p-avc-x264-aac-esubs-by-juleyano,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Soldier (1998) Hindi.WEB.DL.1080p.720p.AVC.x264.AAC.Esubs.BY Juleyano.srt,"00:03:28,877","00:03:31,567",First grow up. Then you'll see,First grow up. Then you'll see
