film_id,decade,file_path,start,end,text_clean,text_raw
sooryavansham-1999-dvdrip-xvid-xdr,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Sooryavansham.1999.DVDRip.XviD-xDR.srt,"00:01:37,330","00:01:42,841",Suryavansham.. Suryavansham.,Suryavansham.. Suryavansham.
sooryavansham-1999-dvdrip-xvid-xdr,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Sooryavansham.1999.DVDRip.XviD-xDR.srt,"00:01:43,570","00:01:48,980",Suryavansham.. Suryavansham.,Suryavansham.. Suryavansham.
sooryavansham-1999-dvdrip-xvid-xdr,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Sooryavansham.1999.DVDRip.XviD-xDR.srt,"00:01:56,450","00:02:01,091","The light, the lion's roar.","The light, the lion's roar."
sooryavansham-1999-dvdrip-xvid-xdr,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Sooryavansham.1999.DVDRip.XviD-xDR.srt,"00:02:02,489","00:02:07,799","The kind, honest.","The kind, honest."
sooryavansham-1999-dvdrip-xvid-xdr,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Sooryavansham.1999.DVDRip.XviD-xDR.srt,"00:02:09,029","00:02:14,339",Spark in your eyes and glow on your face.,"Spark in your eyes
and glow on your face."
sooryavansham-1999-dvdrip-xvid-xdr,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Sooryavansham.1999.DVDRip.XviD-xDR.srt,"00:02:15,301","00:02:21,012","The brilliance of sun, coolness of the moon.","The brilliance of sun,
coolness of the moon."
sooryavansham-1999-dvdrip-xvid-xdr,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Sooryavansham.1999.DVDRip.XviD-xDR.srt,"00:02:21,542","00:02:25,816",You are the pilgrim for all of us.,You are the pilgrim for all of us.
sooryavansham-1999-dvdrip-xvid-xdr,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Sooryavansham.1999.DVDRip.XviD-xDR.srt,"00:02:28,014","00:02:32,923",You're Lord Ram of this modern world.,"You're Lord Ram of
this modern world."
sooryavansham-1999-dvdrip-xvid-xdr,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Sooryavansham.1999.DVDRip.XviD-xDR.srt,"00:02:34,421","00:02:41,167",Today on your birthday we've come to wish you.,"Today on your birthday
we've come to wish you."
sooryavansham-1999-dvdrip-xvid-xdr,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Sooryavansham.1999.DVDRip.XviD-xDR.srt,"00:02:43,564","00:02:49,141",Suryavansham.. Suryavansham.,Suryavansham.. Suryavansham.
