film_id,decade,file_path,start,end,text_clean,text_raw
yeshwant-1997-dvdrip-x264-ac3-esub-ddr,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Yeshwant (1997) DVDRIP x264 AC3 ESub [DDR].srt,"00:03:46,439","00:03:48,270","Thanks to you, sir.","Thanks to you, sir."
yeshwant-1997-dvdrip-x264-ac3-esub-ddr,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Yeshwant (1997) DVDRIP x264 AC3 ESub [DDR].srt,"00:04:05,625","00:04:08,116","-Here he comes, the beggar! -I've got the money.","-Here he comes, the beggar!
-I've got the money."
yeshwant-1997-dvdrip-x264-ac3-esub-ddr,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Yeshwant (1997) DVDRIP x264 AC3 ESub [DDR].srt,"00:04:10,463","00:04:14,456",-How much. - Quite a lot.,"-How much.
- Quite a lot."
yeshwant-1997-dvdrip-x264-ac3-esub-ddr,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Yeshwant (1997) DVDRIP x264 AC3 ESub [DDR].srt,"00:04:17,537","00:04:20,131",And who'll pay the rest of it?,And who'll pay the rest of it?
yeshwant-1997-dvdrip-x264-ac3-esub-ddr,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Yeshwant (1997) DVDRIP x264 AC3 ESub [DDR].srt,"00:04:21,474","00:04:24,807","Look, if you don't pay me all the money, by God...","Look, if you don't pay me
all the money, by God..."
yeshwant-1997-dvdrip-x264-ac3-esub-ddr,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Yeshwant (1997) DVDRIP x264 AC3 ESub [DDR].srt,"00:04:24,878","00:04:29,144",I'll break your bones! Remember that!,"I'll break your bones!
Remember that!"
yeshwant-1997-dvdrip-x264-ac3-esub-ddr,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Yeshwant (1997) DVDRIP x264 AC3 ESub [DDR].srt,"00:04:29,683","00:04:30,672",Okay.,Okay.
yeshwant-1997-dvdrip-x264-ac3-esub-ddr,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Yeshwant (1997) DVDRIP x264 AC3 ESub [DDR].srt,"00:04:31,217","00:04:34,482",Don't know where they come from during business hours! Damn you.,"Don't know where they come from
during business hours! Damn you."
yeshwant-1997-dvdrip-x264-ac3-esub-ddr,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Yeshwant (1997) DVDRIP x264 AC3 ESub [DDR].srt,"00:04:37,157","00:04:41,821","Here, and stay away from the police.Beat it!","Here, and stay away from
the police.Beat it!"
yeshwant-1997-dvdrip-x264-ac3-esub-ddr,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Yeshwant (1997) DVDRIP x264 AC3 ESub [DDR].srt,"00:05:07,587","00:05:11,580",Come on guys... Hey you! Think it's free eh?,"Come on guys... Hey you!
Think it's free eh?"
