film_id,decade,file_path,start,end,text_clean,text_raw
bunty-aur-babli-2005-1080p-webrip-x264-aac5-1-yts,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Bunty.Aur.Babli.2005.1080p.WEBRip.x264.AAC5.1-[YTS.srt,"00:01:00,422","00:01:03,004",This is India..,This is India..
bunty-aur-babli-2005-1080p-webrip-x264-aac5-1-yts,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Bunty.Aur.Babli.2005.1080p.WEBRip.x264.AAC5.1-[YTS.srt,"00:01:03,094","00:01:05,805","the land that glistens, shines..","the land that glistens, shines.."
bunty-aur-babli-2005-1080p-webrip-x264-aac5-1-yts,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Bunty.Aur.Babli.2005.1080p.WEBRip.x264.AAC5.1-[YTS.srt,"00:01:05,885","00:01:09,307",..the land bedecked with the glitter of dreams..,"..the land bedecked with
the glitter of dreams.."
bunty-aur-babli-2005-1080p-webrip-x264-aac5-1-yts,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Bunty.Aur.Babli.2005.1080p.WEBRip.x264.AAC5.1-[YTS.srt,"00:01:09,387","00:01:12,429",..beckoning you..,..beckoning you..
bunty-aur-babli-2005-1080p-webrip-x264-aac5-1-yts,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Bunty.Aur.Babli.2005.1080p.WEBRip.x264.AAC5.1-[YTS.srt,"00:01:12,770","00:01:14,931","if you nurse a hunger, she says, here..","if you nurse a hunger,
she says, here.."
bunty-aur-babli-2005-1080p-webrip-x264-aac5-1-yts,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Bunty.Aur.Babli.2005.1080p.WEBRip.x264.AAC5.1-[YTS.srt,"00:01:15,021","00:01:17,102",you'll find what satisfies it. Come..,"you'll find what
satisfies it. Come.."
bunty-aur-babli-2005-1080p-webrip-x264-aac5-1-yts,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Bunty.Aur.Babli.2005.1080p.WEBRip.x264.AAC5.1-[YTS.srt,"00:01:18,063","00:01:18,973",rub your shoulders. till they're blue..,"rub your shoulders.
till they're blue.."
bunty-aur-babli-2005-1080p-webrip-x264-aac5-1-yts,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Bunty.Aur.Babli.2005.1080p.WEBRip.x264.AAC5.1-[YTS.srt,"00:01:19,023","00:01:20,564","with fame, wealth, power, glory..","with fame, wealth, power, glory.."
bunty-aur-babli-2005-1080p-webrip-x264-aac5-1-yts,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Bunty.Aur.Babli.2005.1080p.WEBRip.x264.AAC5.1-[YTS.srt,"00:01:20,644","00:01:22,435",..and your life becomes..,..and your life becomes..
bunty-aur-babli-2005-1080p-webrip-x264-aac5-1-yts,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Bunty.Aur.Babli.2005.1080p.WEBRip.x264.AAC5.1-[YTS.srt,"00:01:22,526","00:01:25,267",..a sunlit dream you never want to wake out of,"..a sunlit dream you
never want to wake out of"
bunty-aur-babli-2005-1080p-webrip-x264-aac5-1-yts,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Bunty.Aur.Babli.2005.1080p.WEBRip.x264.AAC5.1-[YTS.srt,"00:01:25,938","00:01:31,611","Yes, this is India.. a dream..","Yes, this is India.. a dream.."
bunty-aur-babli-2005-1080p-webrip-x264-aac5-1-yts,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Bunty.Aur.Babli.2005.1080p.WEBRip.x264.AAC5.1-[YTS.srt,"00:01:31,731","00:01:34,483",..that Bunty and Babli dreamt every night of their lives,"..that Bunty and Babli
dreamt every night of their lives"
bunty-aur-babli-2005-1080p-webrip-x264-aac5-1-yts,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Bunty.Aur.Babli.2005.1080p.WEBRip.x264.AAC5.1-[YTS.srt,"00:01:35,033","00:01:39,656",And this is the India they live in..,And this is the India they live in..
bunty-aur-babli-2005-1080p-webrip-x264-aac5-1-yts,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Bunty.Aur.Babli.2005.1080p.WEBRip.x264.AAC5.1-[YTS.srt,"00:01:39,736","00:01:41,157",..an India that says..,..an India that says..
bunty-aur-babli-2005-1080p-webrip-x264-aac5-1-yts,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Bunty.Aur.Babli.2005.1080p.WEBRip.x264.AAC5.1-[YTS.srt,"00:01:41,237","00:01:44,619",your dreams should end where your arms do..,"your dreams should end
where your arms do.."
bunty-aur-babli-2005-1080p-webrip-x264-aac5-1-yts,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Bunty.Aur.Babli.2005.1080p.WEBRip.x264.AAC5.1-[YTS.srt,"00:01:45,159","00:01:48,411",and you should feel only as much hunger as you can satisfy..,"and you should feel only as
much hunger as you can satisfy.."
bunty-aur-babli-2005-1080p-webrip-x264-aac5-1-yts,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Bunty.Aur.Babli.2005.1080p.WEBRip.x264.AAC5.1-[YTS.srt,"00:01:48,542","00:01:49,622",step forward..,step forward..
bunty-aur-babli-2005-1080p-webrip-x264-aac5-1-yts,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Bunty.Aur.Babli.2005.1080p.WEBRip.x264.AAC5.1-[YTS.srt,"00:01:49,742","00:01:52,334",but only when. you're in step with the others..,"but only when. you're in
step with the others.."
bunty-aur-babli-2005-1080p-webrip-x264-aac5-1-yts,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Bunty.Aur.Babli.2005.1080p.WEBRip.x264.AAC5.1-[YTS.srt,"00:01:52,454","00:01:56,246",float to the top but not at the cost of anyone else,"float to the top but not
at the cost of anyone else"
bunty-aur-babli-2005-1080p-webrip-x264-aac5-1-yts,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Bunty.Aur.Babli.2005.1080p.WEBRip.x264.AAC5.1-[YTS.srt,"00:01:56,336","00:01:58,958","love, compassion, honesty, respect..","love, compassion, honesty, respect.."
bunty-aur-babli-2005-1080p-webrip-x264-aac5-1-yts,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Bunty.Aur.Babli.2005.1080p.WEBRip.x264.AAC5.1-[YTS.srt,"00:01:59,048","00:02:00,839",..are what matter most..,..are what matter most..
bunty-aur-babli-2005-1080p-webrip-x264-aac5-1-yts,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Bunty.Aur.Babli.2005.1080p.WEBRip.x264.AAC5.1-[YTS.srt,"00:02:01,379","00:02:04,922",this too is India..,this too is India..
bunty-aur-babli-2005-1080p-webrip-x264-aac5-1-yts,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Bunty.Aur.Babli.2005.1080p.WEBRip.x264.AAC5.1-[YTS.srt,"00:02:06,002","00:02:10,345",the India Bunty and Babli grew up in,the India Bunty and Babli grew up in
bunty-aur-babli-2005-1080p-webrip-x264-aac5-1-yts,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Bunty.Aur.Babli.2005.1080p.WEBRip.x264.AAC5.1-[YTS.srt,"00:02:10,755","00:02:13,217",but didn't feel like they belonged to,"but didn't feel
like they belonged to"
bunty-aur-babli-2005-1080p-webrip-x264-aac5-1-yts,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Bunty.Aur.Babli.2005.1080p.WEBRip.x264.AAC5.1-[YTS.srt,"00:02:14,257","00:02:18,140",This world we live in has two kinds of people,"This world we live in
has two kinds of people"
bunty-aur-babli-2005-1080p-webrip-x264-aac5-1-yts,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Bunty.Aur.Babli.2005.1080p.WEBRip.x264.AAC5.1-[YTS.srt,"00:02:19,511","00:02:22,352","One, the kind that does just one thing all their lives and..","One, the kind that does just
one thing all their lives and.."
bunty-aur-babli-2005-1080p-webrip-x264-aac5-1-yts,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Bunty.Aur.Babli.2005.1080p.WEBRip.x264.AAC5.1-[YTS.srt,"00:02:22,432","00:02:23,303",the kind that does..,the kind that does..
bunty-aur-babli-2005-1080p-webrip-x264-aac5-1-yts,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Bunty.Aur.Babli.2005.1080p.WEBRip.x264.AAC5.1-[YTS.srt,"00:02:23,393","00:02:25,854",..just about everything in one life,..just about everything in one life
bunty-aur-babli-2005-1080p-webrip-x264-aac5-1-yts,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Bunty.Aur.Babli.2005.1080p.WEBRip.x264.AAC5.1-[YTS.srt,"00:02:26,395","00:02:30,227","I didn't say that, they did and they didn't just say it, they lived it","I didn't say that, they did and they
didn't just say it, they lived it"
bunty-aur-babli-2005-1080p-webrip-x264-aac5-1-yts,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Bunty.Aur.Babli.2005.1080p.WEBRip.x264.AAC5.1-[YTS.srt,"00:02:31,018","00:02:32,358",And how! No one ever lived life..,And how! No one ever lived life..
bunty-aur-babli-2005-1080p-webrip-x264-aac5-1-yts,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Bunty.Aur.Babli.2005.1080p.WEBRip.x264.AAC5.1-[YTS.srt,"00:02:32,439","00:02:34,019",..like they lived theirs and perhaps..,"..like they lived
theirs and perhaps.."
