film_id,decade,file_path,start,end,text_clean,text_raw
delhi-6,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Delhi-6.srt,"00:00:10,198","00:01:40,953",Team xRG @ desidhamal.com,Team xRG @ desidhamal.com
delhi-6,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Delhi-6.srt,"00:01:48,791","00:01:52,165",ln every speck shines His divine light,"ln every speck shines
His divine light"
delhi-6,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Delhi-6.srt,"00:01:52,500","00:01:56,165","Look within yourself, He isn't far from you","Look within yourself,
He isn't far from you"
delhi-6,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Delhi-6.srt,"00:01:57,125","00:02:00,082","lf you have love in you, then embrace everyone","lf you have love in you,
then embrace everyone"
delhi-6,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Delhi-6.srt,"00:02:00,791","00:02:02,999",Because we are all in His form. That's worship,"Because we are all in
His form. That's worship"
delhi-6,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Delhi-6.srt,"00:02:20,333","00:02:25,999",What would have happened if the red-headed man..,"What would have happened
if the red-headed man.."
delhi-6,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Delhi-6.srt,"00:02:26,208","00:02:28,624",..hadn't woken up at dawn that day to relieve himself?,"..hadn't woken up at dawn
that day to relieve himself?"
delhi-6,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Delhi-6.srt,"00:02:29,291","00:02:33,999",Perhaps life would have carried on in Delhi-6 as it had for centuries,"Perhaps life would have carried on
in Delhi-6 as it had for centuries"
delhi-6,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Delhi-6.srt,"00:02:35,666","00:02:38,540",Perhaps my life might not have been turned upside down either,"Perhaps my life might not have
been turned upside down either"
delhi-6,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Delhi-6.srt,"00:02:39,625","00:02:41,457",But then again,But then again
delhi-6,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Delhi-6.srt,"00:02:41,916","00:02:44,624","When you got to go, you got to go!","When you got to go, you got to go!"
delhi-6,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Delhi-6.srt,"00:03:39,041","00:03:41,832",ln the Treta Age of the Vedic era,ln the Treta Age of the Vedic era
delhi-6,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Delhi-6.srt,"00:03:42,000","00:03:44,332",The evil ten-headed Ravan was king,The evil ten-headed Ravan was king
delhi-6,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Delhi-6.srt,"00:03:44,416","00:03:49,124",His powers were renowned and he was feared,"His powers were
renowned and he was feared"
delhi-6,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Delhi-6.srt,"00:03:49,208","00:03:54,207","The Sun, Moon, Wind and Fire were enslaved to Ravan","The Sun, Moon, Wind and
Fire were enslaved to Ravan"
delhi-6,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Delhi-6.srt,"00:03:54,291","00:03:58,915","Dikpal, Suresh, Kuber, Varun were scared of him","Dikpal, Suresh, Kuber,
Varun were scared of him"
delhi-6,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Delhi-6.srt,"00:03:59,000","00:04:04,082","His abode was Lanka, made of gold","His abode was Lanka, made of gold"
delhi-6,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Delhi-6.srt,"00:04:04,166","00:04:09,290",He didn't allow anyone to worship Hari. He would call himself God,"He didn't allow anyone to worship
Hari. He would call himself God"
delhi-6,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Delhi-6.srt,"00:04:09,583","00:04:14,915",There was unrest in the universe..,There was unrest in the universe..
delhi-6,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Delhi-6.srt,"00:04:15,083","00:04:19,665","Who could save the Earth, Brahma thought","Who could save the Earth,
Brahma thought"
delhi-6,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Delhi-6.srt,"00:04:19,916","00:04:24,832",The hope of happiness was suppressed by atrocities and sorrows,"The hope of happiness was suppressed
by atrocities and sorrows"
delhi-6,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Delhi-6.srt,"00:04:24,916","00:04:29,582",A divine voice spoke..,A divine voice spoke..
delhi-6,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Delhi-6.srt,"00:04:29,833","00:04:35,082","""Earth. My dear, Earth. l shall get you out of this trouble.""","""Earth. My dear, Earth. l shall
get you out of this trouble."""
delhi-6,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Delhi-6.srt,"00:04:35,166","00:04:41,165","""l will be born as Ram in Awadh to save you""","""l will be born as Ram
in Awadh to save you"""
delhi-6,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Delhi-6.srt,"00:04:41,458","00:04:44,749",The tumour is close to her area of vision,"The tumour is close
to her area of vision"
delhi-6,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Delhi-6.srt,"00:04:45,458","00:04:47,415",l wouldn't recommend surgery at all,l wouldn't recommend surgery at all
delhi-6,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Delhi-6.srt,"00:04:47,500","00:04:50,040","Especially with her history of diabetes, blood pressure","Especially with her history
of diabetes, blood pressure"
delhi-6,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Delhi-6.srt,"00:04:50,125","00:04:51,999",Open-heart surgery will be too much,Open-heart surgery will be too much
delhi-6,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Delhi-6.srt,"00:04:52,083","00:04:53,582",Even Medicaid won't cover it,Even Medicaid won't cover it
