film_id,decade,file_path,start,end,text_clean,text_raw
dil-chahta-hai-english,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Dil Chahta Hai.english.srt,"00:04:09,535","00:04:10,694",I'll check him tomorrow,I'll check him tomorrow
dil-chahta-hai-english,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Dil Chahta Hai.english.srt,"00:04:16,645","00:04:19,874","Mister Sinha, this is a case of liver cirrhosis","Mister Sinha, this is a case
of liver cirrhosis"
dil-chahta-hai-english,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Dil Chahta Hai.english.srt,"00:04:20,884","00:04:25,413",The liver is badly damaged. The patient is under observation,"The liver is badly damaged.
The patient is under observation"
dil-chahta-hai-english,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Dil Chahta Hai.english.srt,"00:04:26,154","00:04:27,623",It's difficult to say anything yet,It's difficult to say anything yet
dil-chahta-hai-english,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Dil Chahta Hai.english.srt,"00:04:28,694","00:04:30,483","But, you can do something?","But, you can do something?"
dil-chahta-hai-english,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Dil Chahta Hai.english.srt,"00:04:32,964","00:04:37,223","The problem is, we can't do a liver transplant... on such short notice","The problem is, we can't do a liver
transplant... on such short notice"
dil-chahta-hai-english,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Dil Chahta Hai.english.srt,"00:04:42,674","00:04:45,933",If you wish to inform her family or relatives...,"If you wish to inform her
family or relatives..."
dil-chahta-hai-english,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Dil Chahta Hai.english.srt,"00:04:46,844","00:04:48,273",...you may use my phone,...you may use my phone
dil-chahta-hai-english,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Dil Chahta Hai.english.srt,"00:05:07,994","00:05:13,403","Hey buddy, how are you? Where are you?","Hey buddy, how are you?
Where are you?"
dil-chahta-hai-english,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Dil Chahta Hai.english.srt,"00:05:15,434","00:05:17,403",I'm at the hospital,I'm at the hospital
