film_id,decade,file_path,start,end,text_clean,text_raw
don-2006-1080p-bluray-x264-dts-hdma-5-1-hon3y,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Don (2006) 1080p BluRay x264 DTS-HDMA 5.1 - Hon3y.srt,"00:03:07,458","00:03:08,710",Keep it.,Keep it.
don-2006-1080p-bluray-x264-dts-hdma-5-1-hon3y,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Don (2006) 1080p BluRay x264 DTS-HDMA 5.1 - Hon3y.srt,"00:03:17,917","00:03:19,169",Is the cocaine in the case?,Is the cocaine in the case?
don-2006-1080p-bluray-x264-dts-hdma-5-1-hon3y,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Don (2006) 1080p BluRay x264 DTS-HDMA 5.1 - Hon3y.srt,"00:03:20,042","00:03:21,043",No TJ.,No TJ.
don-2006-1080p-bluray-x264-dts-hdma-5-1-hon3y,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Don (2006) 1080p BluRay x264 DTS-HDMA 5.1 - Hon3y.srt,"00:03:21,667","00:03:24,170",I'm here to give you my birthday card.,"I'm here to give you
my birthday card."
don-2006-1080p-bluray-x264-dts-hdma-5-1-hon3y,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Don (2006) 1080p BluRay x264 DTS-HDMA 5.1 - Hon3y.srt,"00:03:25,708","00:03:27,426",Where is my money?,Where is my money?
don-2006-1080p-bluray-x264-dts-hdma-5-1-hon3y,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Don (2006) 1080p BluRay x264 DTS-HDMA 5.1 - Hon3y.srt,"00:03:28,042","00:03:29,259",Right here.,Right here.
don-2006-1080p-bluray-x264-dts-hdma-5-1-hon3y,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Don (2006) 1080p BluRay x264 DTS-HDMA 5.1 - Hon3y.srt,"00:03:34,125","00:03:36,799",Here's your full and final payment.,Here's your full and final payment.
don-2006-1080p-bluray-x264-dts-hdma-5-1-hon3y,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Don (2006) 1080p BluRay x264 DTS-HDMA 5.1 - Hon3y.srt,"00:03:37,250","00:03:38,250",Now...,Now...
don-2006-1080p-bluray-x264-dts-hdma-5-1-hon3y,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Don (2006) 1080p BluRay x264 DTS-HDMA 5.1 - Hon3y.srt,"00:03:39,083","00:03:40,756",Put your hands up.,Put your hands up.
don-2006-1080p-bluray-x264-dts-hdma-5-1-hon3y,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Don (2006) 1080p BluRay x264 DTS-HDMA 5.1 - Hon3y.srt,"00:03:42,125","00:03:42,717",No...,No...
don-2006-1080p-bluray-x264-dts-hdma-5-1-hon3y,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Don (2006) 1080p BluRay x264 DTS-HDMA 5.1 - Hon3y.srt,"00:03:42,958","00:03:43,550",Put them up.,Put them up.
don-2006-1080p-bluray-x264-dts-hdma-5-1-hon3y,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Don (2006) 1080p BluRay x264 DTS-HDMA 5.1 - Hon3y.srt,"00:03:43,875","00:03:45,218",Relax sweetheart!,Relax sweetheart!
don-2006-1080p-bluray-x264-dts-hdma-5-1-hon3y,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Don (2006) 1080p BluRay x264 DTS-HDMA 5.1 - Hon3y.srt,"00:03:46,083","00:03:48,177",I said 'No' because TJ...,I said 'No' because TJ...
don-2006-1080p-bluray-x264-dts-hdma-5-1-hon3y,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Don (2006) 1080p BluRay x264 DTS-HDMA 5.1 - Hon3y.srt,"00:03:49,250","00:03:50,797",...forgot to say 'Please'.,...forgot to say 'Please'.
don-2006-1080p-bluray-x264-dts-hdma-5-1-hon3y,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Don (2006) 1080p BluRay x264 DTS-HDMA 5.1 - Hon3y.srt,"00:03:51,333","00:03:54,007",Please... put your hands up.,Please... put your hands up.
don-2006-1080p-bluray-x264-dts-hdma-5-1-hon3y,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Don (2006) 1080p BluRay x264 DTS-HDMA 5.1 - Hon3y.srt,"00:03:56,792","00:03:59,011",You think you're very smart.,You think you're very smart.
don-2006-1080p-bluray-x264-dts-hdma-5-1-hon3y,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Don (2006) 1080p BluRay x264 DTS-HDMA 5.1 - Hon3y.srt,"00:03:59,333","00:04:00,333",But not this time.,But not this time.
don-2006-1080p-bluray-x264-dts-hdma-5-1-hon3y,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Don (2006) 1080p BluRay x264 DTS-HDMA 5.1 - Hon3y.srt,"00:04:00,792","00:04:03,136",This time I keep the case for free.,This time I keep the case for free.
don-2006-1080p-bluray-x264-dts-hdma-5-1-hon3y,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Don (2006) 1080p BluRay x264 DTS-HDMA 5.1 - Hon3y.srt,"00:04:04,167","00:04:07,592",And because I know that you will want to avenge this day...,"And because I know that you will
want to avenge this day..."
don-2006-1080p-bluray-x264-dts-hdma-5-1-hon3y,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Don (2006) 1080p BluRay x264 DTS-HDMA 5.1 - Hon3y.srt,"00:04:08,833","00:04:09,880",...you'll have to die.,...you'll have to die.
don-2006-1080p-bluray-x264-dts-hdma-5-1-hon3y,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Don (2006) 1080p BluRay x264 DTS-HDMA 5.1 - Hon3y.srt,"00:04:11,375","00:04:12,375",TJ!,TJ!
