film_id,decade,file_path,start,end,text_clean,text_raw
fanaa-720p-brrip,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Fanaa.720p.BRRip.srt,"00:00:05,196","00:00:45,796",Team xRG @ desidhamal.com,Team xRG @ desidhamal.com
fanaa-720p-brrip,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Fanaa.720p.BRRip.srt,"00:00:47,500","00:00:49,791",O Almighty.,O Almighty.
fanaa-720p-brrip,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Fanaa.720p.BRRip.srt,"00:02:44,209","00:02:48,291","""Our lndia is the best..""","""Our lndia is the best.."""
fanaa-720p-brrip,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Fanaa.720p.BRRip.srt,"00:02:48,625","00:02:52,916","""..of all the world by far""","""..of all the world by far"""
fanaa-720p-brrip,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Fanaa.720p.BRRip.srt,"00:02:52,959","00:02:56,833","""Our lndia is the best..""","""Our lndia is the best.."""
fanaa-720p-brrip,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Fanaa.720p.BRRip.srt,"00:02:57,375","00:03:01,374","""..of all the world by far""","""..of all the world by far"""
fanaa-720p-brrip,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Fanaa.720p.BRRip.srt,"00:03:01,792","00:03:05,541","""We are its buds.""","""We are its buds."""
fanaa-720p-brrip,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Fanaa.720p.BRRip.srt,"00:03:06,084","00:03:10,374","""lt is our garden, all ours, ours.""","""lt is our garden, all ours, ours."""
fanaa-720p-brrip,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Fanaa.720p.BRRip.srt,"00:03:10,459","00:03:14,374","""Our lndia is the best..""","""Our lndia is the best.."""
fanaa-720p-brrip,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Fanaa.720p.BRRip.srt,"00:03:14,875","00:03:17,458","""..of all the world by far""","""..of all the world by far"""
fanaa-720p-brrip,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Fanaa.720p.BRRip.srt,"00:03:17,542","00:03:18,666",This way.,This way.
fanaa-720p-brrip,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Fanaa.720p.BRRip.srt,"00:03:29,375","00:03:32,208",Our tomorrow is based on our today,Our tomorrow is based on our today
fanaa-720p-brrip,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Fanaa.720p.BRRip.srt,"00:03:32,375","00:03:34,499",What we choose to do today will decide..,"What we choose to do
today will decide.."
fanaa-720p-brrip,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Fanaa.720p.BRRip.srt,"00:03:34,584","00:03:36,666",..what happens to us tomorrow.,..what happens to us tomorrow.
