film_id,decade,file_path,start,end,text_clean,text_raw
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:00:45,000","00:00:50,123","2nd June 1 947, WaS that date in the HiStOry Of India . . .","2nd June 1 947, WaS that date
in the HiStOry Of India . . ."
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:00:51,000","00:00:54,000",". . . When it WaS decided that an agreement, . . .",". . . When it WaS decided
that an agreement, . . ."
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:00:54,000","00:00:56,000",. . . WOuId fOrm the baSiS Of Our Independence.,". . . WOuId fOrm the baSiS
Of Our Independence."
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:00:56,000","00:00:57,000","At the VicerOy HOuSe, . . .","At the VicerOy HOuSe, . . ."
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:00:57,000","00:01:02,000",". . . COngreSS, MuSIim League, and LOrd MOuntabatten . . .",". . . COngreSS, MuSIim League,
and LOrd MOuntabatten . . ."
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:01:02,000","00:01:06,922",". . . Signed a bOnd, Which divided India intO twO partS.",". . . Signed a bOnd, Which
divided India intO twO partS."
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:01:07,000","00:01:10,247",The Other part became PakiStan.,The Other part became PakiStan.
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:01:12,000","00:01:14,000",The agreement Stated a cOnditiOn . . .,"The agreement Stated
a cOnditiOn . . ."
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:01:14,000","00:01:17,000",. . . that the WhOIe pOpuIatiOn WiII nOt be tranSferred.,". . . that the WhOIe pOpuIatiOn
WiII nOt be tranSferred."
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:01:17,000","00:01:20,000","In Other WOrdS, if a muSIim Wanted tO Stay in India, . . .","In Other WOrdS, if a muSIim
Wanted tO Stay in India, . . ."
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:01:20,000","00:01:24,000",". . . and a Hindu Wanted tO Stay in PakiStan, . . .",". . . and a Hindu Wanted
tO Stay in PakiStan, . . ."
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:01:24,000","00:01:26,000",. . . they WOuId be aIIOWed tO dO SO.,. . . they WOuId be aIIOWed tO dO SO.
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:01:26,000","00:01:28,778",But thiS did nOt happen.,But thiS did nOt happen.
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:01:39,000","00:01:43,654",AII the HinduS Of thiS area are being infOrmed . . .,"AII the HinduS Of thiS
area are being infOrmed . . ."
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:01:44,000","00:01:46,000",". . . that tOday evening frOm PipIa StatiOn, . . .",". . . that tOday evening
frOm PipIa StatiOn, . . ."
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:01:46,000","00:01:50,000",. . . a SpeciaI train WiII Ieave fOr India.,". . . a SpeciaI train
WiII Ieave fOr India."
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:01:50,000","00:01:54,453",AII are requeSted tO take OnIy What iS neceSSary.,"AII are requeSted tO take
OnIy What iS neceSSary."
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:01:57,000","00:02:01,721",And Ieave the reSt behind With yOur name and addreSS.,"And Ieave the reSt behind
With yOur name and addreSS."
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:02:03,000","00:02:07,855",SO that Iater On it WiII be eaSier tO Send it . . . . .,"SO that Iater On it WiII
be eaSier tO Send it . . . . ."
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:02:08,000","00:02:11,000","Ive Said SO Often, that We ShOuId gO tO AmritSar.","Ive Said SO Often,
that We ShOuId gO tO AmritSar."
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:02:11,000","00:02:15,000",Even Kaka WaS aSking uS tO cOme tO AmritSar.,"Even Kaka WaS aSking
uS tO cOme tO AmritSar."
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:02:15,000","00:02:17,000",But yOu juSt dOnt IiSten tO anyOne.,"But yOu juSt dOnt
IiSten tO anyOne."
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:02:17,000","00:02:20,000","HOW did I knOW, that the PakiStan GOvernment . . .","HOW did I knOW, that the
PakiStan GOvernment . . ."
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:02:20,000","00:02:22,000",. . . WOuId betray uS.,. . . WOuId betray uS.
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:02:22,000","00:02:27,123",It WaS decided that the HinduS in PakiStan cOuId Stay back.,"It WaS decided that the HinduS
in PakiStan cOuId Stay back."
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:02:28,000","00:02:30,000",But everything haS changed.,But everything haS changed.
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:02:30,000","00:02:33,000",I WOnder What WiII happen nOW.,I WOnder What WiII happen nOW.
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:02:33,000","00:02:37,000",I dOnt knOW in What cOnditiOn WOuId my SOn be in?,"I dOnt knOW in What
cOnditiOn WOuId my SOn be in?"
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:02:37,000","00:02:39,000","Take thiS, dear.","Take thiS, dear."
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:02:39,000","00:02:42,783","- Biji, What iS thiS? - I cant give it.","- Biji, What iS thiS?
- I cant give it."
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:02:44,000","00:02:47,314","StOp, SantO. What are yOu dOing?","StOp, SantO.
What are yOu dOing?"
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:02:49,000","00:02:51,108",Have patience.,Have patience.
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:02:54,000","00:02:56,108",Give it tO me.,Give it tO me.
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:03:13,000","00:03:15,644","GirIS, thiS iS pOiSOn.","GirIS, thiS iS pOiSOn."
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:03:21,000","00:03:24,247","If yOu are in trOubIe, have it.","If yOu are in trOubIe, have it."
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:03:26,000","00:03:30,252",But dO nOt Iet any muSIim defame yOur dignity.,"But dO nOt Iet any muSIim
defame yOur dignity."
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:03:32,000","00:03:35,000",O GOd! What a time haS cOme!,O GOd! What a time haS cOme!
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:03:35,000","00:03:39,000",That a father cannOt even bIeSS hiS chiIdren With a IOng Iife.,"That a father cannOt even bIeSS
hiS chiIdren With a IOng Iife."
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:03:39,000","00:03:41,000",BrOther GuIIu!,BrOther GuIIu!
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:03:41,000","00:03:43,309","DOnt cry, SiSter.","DOnt cry, SiSter."
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:03:46,000","00:03:49,000","NO, father. I WiII nOt Iet yOu gO frOm here.","NO, father.
I WiII nOt Iet yOu gO frOm here."
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:03:49,000","00:03:51,000",SO What if Kake iS nOt here.,SO What if Kake iS nOt here.
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:03:51,000","00:03:53,000",YOur SecOnd SOn GuIkhan iS here.,YOur SecOnd SOn GuIkhan iS here.
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:03:53,000","00:03:55,000",I SWear On the HOIy GOd.,I SWear On the HOIy GOd.
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:03:55,000","00:03:58,314",I WiII nOt Iet yOu gO frOm here.,I WiII nOt Iet yOu gO frOm here.
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:03:59,000","00:04:03,453","My dear, aII the emOtiOnS Of Our heart have IOSt.","My dear, aII the emOtiOnS
Of Our heart have IOSt."
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:04:05,000","00:04:07,000","OnIy the preSent cOnditiOnS, have WOn.","OnIy the preSent
cOnditiOnS, have WOn."
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:04:07,000","00:04:10,716","COme On, IetS gO. Pick up the Iuggage.","COme On, IetS gO.
Pick up the Iuggage."
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:04:11,000","00:04:13,175",PIeaSe dOnt gO.,PIeaSe dOnt gO.
gadar-2001-dvdrip-5-1-ch-ac3,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Gadar (2001) DvDrip - 5.1 CH AC3.srt,"00:04:14,000","00:04:18,000","In thiS manner, IakhS Of Hindu famiIieS . . .","In thiS manner,
IakhS Of Hindu famiIieS . . ."
