film_id,decade,file_path,start,end,text_clean,text_raw
guru-2007-hindi-brrip-720p-x264-aac-hon3y,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Guru 2007 Hindi BRRip 720p x264 AAC...Hon3y.srt,"00:00:45,916","00:00:49,866",www.NapiProjekt.pl - nowa jakoœæ napisów. Napisy zosta³y specjalnie dopasowane do Twojej wersji filmu.,"www.NapiProjekt.pl - nowa jakoœæ napisów.
Napisy zosta³y specjalnie dopasowane do Twojej wersji filmu."
guru-2007-hindi-brrip-720p-x264-aac-hon3y,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Guru 2007 Hindi BRRip 720p x264 AAC...Hon3y.srt,"00:00:49,916","00:00:53,124",Gurukanth Desai salutes the Shakti family.,"Gurukanth Desai
salutes the Shakti family."
guru-2007-hindi-brrip-720p-x264-aac-hon3y,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Guru 2007 Hindi BRRip 720p x264 AAC...Hon3y.srt,"00:01:05,250","00:01:06,624",Don't dream.,Don't dream.
guru-2007-hindi-brrip-720p-x264-aac-hon3y,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Guru 2007 Hindi BRRip 720p x264 AAC...Hon3y.srt,"00:01:06,833","00:01:10,915","""We've been awake for a long time..""","""We've been awake for a long time.."""
guru-2007-hindi-brrip-720p-x264-aac-hon3y,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Guru 2007 Hindi BRRip 720p x264 AAC...Hon3y.srt,"00:01:11,250","00:01:17,249","""Let us sleep for some time more.""","""Let us sleep for some time more."""
guru-2007-hindi-brrip-720p-x264-aac-hon3y,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Guru 2007 Hindi BRRip 720p x264 AAC...Hon3y.srt,"00:01:19,916","00:01:21,749",'Dreams never come true.','Dreams never come true.'
guru-2007-hindi-brrip-720p-x264-aac-hon3y,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Guru 2007 Hindi BRRip 720p x264 AAC...Hon3y.srt,"00:01:22,500","00:01:27,582","""There's still night left..""","""There's still night left.."""
guru-2007-hindi-brrip-720p-x264-aac-hon3y,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Guru 2007 Hindi BRRip 720p x264 AAC...Hon3y.srt,"00:01:28,916","00:01:30,290",My father would say always.,My father would say always.
guru-2007-hindi-brrip-720p-x264-aac-hon3y,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Guru 2007 Hindi BRRip 720p x264 AAC...Hon3y.srt,"00:01:30,375","00:01:34,540","""Let the morning come.""","""Let the morning come."""
guru-2007-hindi-brrip-720p-x264-aac-hon3y,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Guru 2007 Hindi BRRip 720p x264 AAC...Hon3y.srt,"00:01:35,583","00:01:37,290",But I dreamt.,But I dreamt.
