film_id,decade,file_path,start,end,text_clean,text_raw
hazaaron-khwaishein-aisi-2003-dvdrip,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hazaaron.Khwaishein.Aisi.(2003).DvdRip.srt,"00:02:26,661","00:02:33,224","""Desires, thousands of them...""","""Desires, thousands of them..."""
hazaaron-khwaishein-aisi-2003-dvdrip,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hazaaron.Khwaishein.Aisi.(2003).DvdRip.srt,"00:02:38,671","00:02:45,634","""desires I could die for""","""desires I could die for"""
hazaaron-khwaishein-aisi-2003-dvdrip,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hazaaron.Khwaishein.Aisi.(2003).DvdRip.srt,"00:02:55,687","00:03:02,649","""I had so many desires...""","""I had so many desires..."""
hazaaron-khwaishein-aisi-2003-dvdrip,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hazaaron.Khwaishein.Aisi.(2003).DvdRip.srt,"00:03:04,295","00:03:14,671","""and yet, so few they were""","""and yet, so few they were"""
hazaaron-khwaishein-aisi-2003-dvdrip,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hazaaron.Khwaishein.Aisi.(2003).DvdRip.srt,"00:03:38,840","00:03:43,140","""Dear Gita, Calcutta was awe-inspiring""","""Dear Gita, Calcutta was
awe-inspiring"""
hazaaron-khwaishein-aisi-2003-dvdrip,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hazaaron.Khwaishein.Aisi.(2003).DvdRip.srt,"00:03:43,912","00:03:46,642","""I'm now back in Delhi, my beliefs totally strengthened""","""I'm now back in Delhi,
my beliefs totally strengthened"""
hazaaron-khwaishein-aisi-2003-dvdrip,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hazaaron.Khwaishein.Aisi.(2003).DvdRip.srt,"00:03:47,514","00:03:50,642","""We have to change the world. And change it fundamentally""","""We have to change the world.
And change it fundamentally"""
hazaaron-khwaishein-aisi-2003-dvdrip,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hazaaron.Khwaishein.Aisi.(2003).DvdRip.srt,"00:03:53,853","00:03:56,823","""I always knew the facts, but when I met some of the mothers...""","""I always knew the facts, but when
I met some of the mothers..."""
hazaaron-khwaishein-aisi-2003-dvdrip,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hazaaron.Khwaishein.Aisi.(2003).DvdRip.srt,"00:03:57,190","00:04:00,159","""and widows of thousands of students who had sacrificed their lives...""","""and widows of thousands of students
who had sacrificed their lives..."""
hazaaron-khwaishein-aisi-2003-dvdrip,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hazaaron.Khwaishein.Aisi.(2003).DvdRip.srt,"00:04:00,327","00:04:04,161","""during the Naxalite movement, I felt completely humbled""","""during the Naxalite movement,
I felt completely humbled"""
