film_id,decade,file_path,start,end,text_clean,text_raw
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:00:39,000","00:00:44,665",You and I..,You and I..
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:00:52,000","00:00:54,249",Because I love you,Because I love you
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:01:03,791","00:01:08,165",Boys get together and go out Girls get together and chat,"Boys get together and go out
Girls get together and chat"
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:01:10,583","00:01:12,165",How will we get together?,How will we get together?
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:01:12,416","00:01:19,040",Deep in my heart you and I,Deep in my heart you and I
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:01:23,041","00:01:28,707",You and I..,You and I..
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:01:31,916","00:01:36,415",Daylong of longings whenever you're nowhere near,"Daylong of longings
whenever you're nowhere near"
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:01:36,750","00:01:39,040",Who all were you with?,Who all were you with?
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:01:41,375","00:01:43,290",So if you love me?,So if you love me?
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:01:43,708","00:01:47,749",Why didn't you profess your love and you fought me off?,"Why didn't you profess your
love and you fought me off?"
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:01:47,875","00:01:50,165",Now come into my arms,Now come into my arms
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:01:50,291","00:01:54,790",Boys get together and go out Girls get together and chat,"Boys get together and go out
Girls get together and chat"
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:01:58,958","00:02:05,790",Deep in my heart you and I,Deep in my heart you and I
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:02:12,041","00:02:13,999",First of all God created the word.,First of all God created the word.
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:02:14,416","00:02:15,790",Then he went off to sleep over it..,Then he went off to sleep over it..
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:02:16,166","00:02:19,415",and He conjured up a guy and He was glad..,"and He conjured up a
guy and He was glad.."
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:02:19,750","00:02:21,040",..that he rested for some more days-,..that he rested for some more days-
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:02:21,583","00:02:23,999",That's when He made His biggest mistake,"That's when He made
His biggest mistake"
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:02:24,416","00:02:25,832",He created a Girl-,He created a Girl-
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:02:26,041","00:02:30,749",Which done He lost his sleep. So we lost our sleep too. For good,"Which done He lost his sleep.
So we lost our sleep too. For good"
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:02:31,208","00:02:33,957",And the world was split into two halves,"And the world was
split into two halves"
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:02:34,291","00:02:38,290",girls and guys like you and I,girls and guys like you and I
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:02:39,750","00:02:45,624",You and I..,You and I..
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:02:45,750","00:02:47,957",So what do we do about .. you and I?,So what do we do about .. you and I?
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:02:51,666","00:02:56,707","Renowned cartoonist Karan Kapoor's debut novel ""Hum-Tum"".-","Renowned cartoonist Karan
Kapoor's debut novel ""Hum-Tum"".-"
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:02:56,833","00:02:58,665",is a national bestseller,is a national bestseller
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:02:59,000","00:03:02,332",First week sales crossed 10 000 copies,First week sales crossed 10 000 copies
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:03:02,458","00:03:05,499",Publishers say that they have orders of ten thousand more.,"Publishers say that they have
orders of ten thousand more."
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:03:06,041","00:03:11,290",Karan Kapoor joins the press in a first look after this grand success,"Karan Kapoor joins the press in
a first look after this grand success"
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:03:11,583","00:03:14,082",Vedika from Mumbai for NDTV India-,Vedika from Mumbai for NDTV India-
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:03:26,208","00:03:28,665",How does a cartoonist turn into an author?,"How does a cartoonist
turn into an author?"
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:03:31,500","00:03:35,207",Tried cartoons now I'm trying words,Tried cartoons now I'm trying words
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:03:35,916","00:03:37,540",hoping to understand .. women someday,hoping to understand .. women someday
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:03:38,291","00:03:39,832",Come to grips with that understanding?,Come to grips with that understanding?
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:03:40,291","00:03:41,832",Hopefully after a few more books,Hopefully after a few more books
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:03:44,125","00:03:45,874",And you'll write only on women?,And you'll write only on women?
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:03:46,458","00:03:48,665",Anything better more interesting?,Anything better more interesting?
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:03:49,416","00:03:52,332",Notwithstanding your digs at girls.. - indeed..,"Notwithstanding your digs at girls..
- indeed.."
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:03:52,625","00:03:57,957",I think your novel is woven around.. your real life experience.,"I think your novel is woven around..
your real life experience."
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:03:59,083","00:04:03,457",Look.- when love is requited.. there's no story left to be told.,"Look.- when love is requited..
there's no story left to be told."
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:04:04,041","00:04:07,124",A failed romance isn't worth talking about,"A failed romance
isn't worth talking about"
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:04:07,500","00:04:09,332",And unrequited love..?,And unrequited love..?
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:04:11,666","00:04:13,707",True love never goes unrequited,True love never goes unrequited
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:04:14,541","00:04:16,249",it's consummated one day or another-,it's consummated one day or another-
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:04:17,333","00:04:19,040",Because life's a long while,Because life's a long while
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:04:19,666","00:04:21,999",Many such romances in your life?,Many such romances in your life?
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:04:24,041","00:04:25,290",Only one object of romance-,Only one object of romance-
hum-tum,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Hum Tum.srt,"00:04:26,000","00:04:28,082",But the romances she sparked were many,But the romances she sparked were many
