film_id,decade,file_path,start,end,text_clean,text_raw
jab-we-met-2007-720p-brrip-hindi,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Jab We Met (2007) 720p BRRip Hindi.srt,"00:01:23,416","00:01:26,665",Adi.. - Although going to the court is beneficial to her..,"Adi.. - Although going to the
court is beneficial to her.."
jab-we-met-2007-720p-brrip-hindi,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Jab We Met (2007) 720p BRRip Hindi.srt,"00:01:26,958","00:01:28,999",ln just 4 hearings the matter will become clear..,"ln just 4 hearings the matter
will become clear.."
jab-we-met-2007-720p-brrip-hindi,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Jab We Met (2007) 720p BRRip Hindi.srt,"00:01:29,208","00:01:31,415",And she will know what she genuinely deserves..,"And she will know what she
genuinely deserves.."
jab-we-met-2007-720p-brrip-hindi,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Jab We Met (2007) 720p BRRip Hindi.srt,"00:01:31,666","00:01:32,999",.. and what she should expect from this company!,".. and what she should expect
from this company!"
jab-we-met-2007-720p-brrip-hindi,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Jab We Met (2007) 720p BRRip Hindi.srt,"00:01:33,208","00:01:35,665","Look, l don't think we should jump to any conclusions!","Look, l don't think we should
jump to any conclusions!"
jab-we-met-2007-720p-brrip-hindi,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Jab We Met (2007) 720p BRRip Hindi.srt,"00:02:06,166","00:02:08,207","Good morning, sir. - Good morning, sir.","Good morning, sir.
- Good morning, sir."
jab-we-met-2007-720p-brrip-hindi,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Jab We Met (2007) 720p BRRip Hindi.srt,"00:02:58,333","00:03:00,207","Hello, Mr. Kashyap. Nice meeting you.","Hello, Mr. Kashyap.
Nice meeting you."
jab-we-met-2007-720p-brrip-hindi,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Jab We Met (2007) 720p BRRip Hindi.srt,"00:05:35,000","00:05:36,665","Passengers, attention please, this is the train, boarding to..","Passengers, attention please, this
is the train, boarding to.."
jab-we-met-2007-720p-brrip-hindi,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Jab We Met (2007) 720p BRRip Hindi.srt,"00:05:36,875","00:05:46,874",Delhi from Chatrapati Shivaji Terminus ... from platform no. 5 at 8:05.,"Delhi from Chatrapati Shivaji Terminus
... from platform no. 5 at 8:05."
jab-we-met-2007-720p-brrip-hindi,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Jab We Met (2007) 720p BRRip Hindi.srt,"00:05:58,208","00:05:59,957","Mister, hold this luggage! - Let me get in!","Mister, hold this luggage!
- Let me get in!"
jab-we-met-2007-720p-brrip-hindi,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Jab We Met (2007) 720p BRRip Hindi.srt,"00:06:00,125","00:06:02,332",Give it! Give it! Give it to that gentlemen!,"Give it! Give it!
Give it to that gentlemen!"
jab-we-met-2007-720p-brrip-hindi,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Jab We Met (2007) 720p BRRip Hindi.srt,"00:06:02,583","00:06:03,999","Madam, you quickly get in!","Madam, you quickly get in!"
jab-we-met-2007-720p-brrip-hindi,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Jab We Met (2007) 720p BRRip Hindi.srt,"00:06:04,000","00:06:06,874",You don't worry about me! Just load the luggage inside! Quickly! Here!,"You don't worry about me! Just load the
luggage inside! Quickly! Here!"
jab-we-met-2007-720p-brrip-hindi,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Jab We Met (2007) 720p BRRip Hindi.srt,"00:06:07,041","00:06:09,790","Ma'am, l told you in the beginning itself you have luggage enough for two coolie's!","Ma'am, l told you in the beginning itself
you have luggage enough for two coolie's!"
jab-we-met-2007-720p-brrip-hindi,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Jab We Met (2007) 720p BRRip Hindi.srt,"00:06:10,000","00:06:11,665",Here.. Hold the frame carefully! lts Babaji's frame!,"Here.. Hold the frame carefully!
lts Babaji's frame!"
jab-we-met-2007-720p-brrip-hindi,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Jab We Met (2007) 720p BRRip Hindi.srt,"00:06:11,875","00:06:12,665",ls there more luggage?,ls there more luggage?
jab-we-met-2007-720p-brrip-hindi,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Jab We Met (2007) 720p BRRip Hindi.srt,"00:06:12,875","00:06:14,999",Don't worry! No matter how much more luggage there is. Let it come.,"Don't worry! No matter how much
more luggage there is. Let it come."
jab-we-met-2007-720p-brrip-hindi,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Jab We Met (2007) 720p BRRip Hindi.srt,"00:06:15,208","00:06:17,207",Here! - Here! Here! Hold this! This is really risky!,"Here!
- Here! Here! Hold this! This is really risky!"
jab-we-met-2007-720p-brrip-hindi,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Jab We Met (2007) 720p BRRip Hindi.srt,"00:06:18,125","00:06:21,790","Ma'am, you please look ahead! - Yes, l am! You just quickly load the luggage!","Ma'am, you please look ahead!
- Yes, l am! You just quickly load the luggage!"
jab-we-met-2007-720p-brrip-hindi,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Jab We Met (2007) 720p BRRip Hindi.srt,"00:06:27,791","00:06:30,207",Come on! Come on! - Give me your hand! Give me your hand!,"Come on! Come on! - Give me
your hand! Give me your hand!"
jab-we-met-2007-720p-brrip-hindi,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Jab We Met (2007) 720p BRRip Hindi.srt,"00:06:33,208","00:06:34,415",Oh God!,Oh God!
jab-we-met-2007-720p-brrip-hindi,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Jab We Met (2007) 720p BRRip Hindi.srt,"00:06:35,208","00:06:36,957","This was the limit, l crossed the line today!","This was the limit,
l crossed the line today!"
jab-we-met-2007-720p-brrip-hindi,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Jab We Met (2007) 720p BRRip Hindi.srt,"00:06:38,291","00:06:39,207",Do you know what?,Do you know what?
jab-we-met-2007-720p-brrip-hindi,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Jab We Met (2007) 720p BRRip Hindi.srt,"00:06:39,875","00:06:42,207",Till date l have not missed a single train!,"Till date l have not missed
a single train!"
jab-we-met-2007-720p-brrip-hindi,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Jab We Met (2007) 720p BRRip Hindi.srt,"00:06:43,416","00:06:47,207","Thank you, Babaji! You saved me from breaking my record!","Thank you, Babaji! You saved
me from breaking my record!"
jab-we-met-2007-720p-brrip-hindi,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Jab We Met (2007) 720p BRRip Hindi.srt,"00:06:47,250","00:06:48,207",one minute.,one minute.
