film_id,decade,file_path,start,end,text_clean,text_raw
k3g-subtitles,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/K3G Subtitles.srt,"00:00:57,568","00:01:00,696",Why is it that a father is never able to tell his son...,"Why is it that a father is
never able to tell his son..."
k3g-subtitles,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/K3G Subtitles.srt,"00:01:01,305","00:01:03,034",how much he loves him?,how much he loves him?
k3g-subtitles,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/K3G Subtitles.srt,"00:01:03,807","00:01:08,369",He's never able to embrace him and say`l love you my son'?,"He's never able to embrace him
and say`l love you my son'?"
k3g-subtitles,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/K3G Subtitles.srt,"00:01:09,079","00:01:10,137",And the mother?,And the mother?
k3g-subtitles,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/K3G Subtitles.srt,"00:01:10,347","00:01:14,784",She keeps repeating it' whether her son listens to it or not.,"She keeps repeating it' whether
her son listens to it or not."
k3g-subtitles,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/K3G Subtitles.srt,"00:01:15,419","00:01:19,287",But that doesn't mean a father loves his son any less.,"But that doesn't mean
a father loves his son any less."
k3g-subtitles,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/K3G Subtitles.srt,"00:01:19,890","00:01:24,054",No one can fathom the amount oflove that a mother has for her son...,"No one can fathom the amount oflove
that a mother has for her son..."
k3g-subtitles,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/K3G Subtitles.srt,"00:01:24,428","00:01:25,827",not even the mother.,not even the mother.
k3g-subtitles,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/K3G Subtitles.srt,"00:01:26,096","00:01:28,064",Because there is no measure for a mother's love.,"Because there is no measure
for a mother's love."
k3g-subtitles,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/K3G Subtitles.srt,"00:01:28,899","00:01:31,060",lt's an emotion that can only be felt...,"lt's an emotion
that can only be felt..."
k3g-subtitles,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/K3G Subtitles.srt,"00:01:31,569","00:01:33,059",a mother's emotion.,a mother's emotion.
k3g-subtitles,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/K3G Subtitles.srt,"00:01:34,438","00:01:37,066",Rahul' my son... my life!,Rahul' my son... my life!
k3g-subtitles,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/K3G Subtitles.srt,"00:04:20,070","00:04:22,538",The match between Woodstock lnternational and Manor House...,"The match between Woodstock
lnternational and Manor House..."
k3g-subtitles,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/K3G Subtitles.srt,"00:04:22,740","00:04:25,504",is at a very interesting turn. 5 runs and one ball...,"is at a very interesting turn.
5 runs and one ball..."
