film_id,decade,file_path,start,end,text_clean,text_raw
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:01:29,166","00:01:32,290",We are identical twins...,We are identical twins...
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:01:35,708","00:01:40,082",but we are poles apart.,but we are poles apart.
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:01:42,541","00:01:45,707","He lags behind where as l, zoom ahead.","He lags behind
where as l, zoom ahead."
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:01:45,916","00:01:49,040",Charlie! That..,Charlie! That..
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:01:49,250","00:01:55,415",He stammers and... l pronounce S as F.,"He stammers and...
l pronounce S as F."
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:01:55,875","00:01:56,707",How?,How?
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:01:57,208","00:02:02,249","On his death bed, my father said ""Charlie, always remember...","On his death bed,
my father said ""Charlie, always remember..."
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:02:02,750","00:02:10,249",..life is a bitch!. And the only way to deal with life,"..life is a bitch!.
And the only way to deal with life"
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:02:22,250","00:02:25,457",Life is to be,Life is to be
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:02:25,666","00:02:32,457",The path we choose doesn't screw our life...,The path we choose doesn't screw our life...
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:02:45,875","00:02:47,957",There are two ways to earn a quick buck!,There are two ways to earn a quick buck!
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:02:48,291","00:02:52,540",A shortcut... and a shorter shortcut!,"A shortcut...
and a shorter shortcut!"
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:03:04,500","00:03:05,999",Get him!,Get him!
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:03:07,541","00:03:14,374","l took the shortcut..., yet my dreams got screwed.","l took the shortcut...,
yet my dreams got screwed."
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:03:14,708","00:03:15,707",Big time!,Big time!
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:03:24,708","00:03:25,790",Blue thunder.,Blue thunder.
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:03:58,083","00:03:59,082",My dreams..,My dreams..
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:04:00,291","00:04:03,874",My sweet little dreams.,My sweet little dreams.
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:04:41,666","00:04:44,415",My life and my world.,My life and my world.
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:04:45,250","00:04:47,040",My booking window.,My booking window.
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:04:50,458","00:04:55,540",ln reality... l'm just a small time gangster.,"ln reality...
l'm just a small time gangster."
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:04:56,500","00:04:59,999",Our gang fixes derbies.,Our gang fixes derbies.
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:05:02,791","00:05:09,165",Come on! Come on!,Come on! Come on!
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:05:11,166","00:05:14,165",People usually wager on the favourite to win,"People usually wager on
the favourite to win"
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:05:14,375","00:05:16,790",while we bet on it to lose.,while we bet on it to lose.
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:05:17,375","00:05:19,999","Blue Thunder was the favourite, in yesterday's race...","Blue Thunder was the favourite,
in yesterday's race..."
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:05:20,041","00:05:22,165",and the race was fixed.,and the race was fixed.
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:05:22,791","00:05:27,540",l had bet all my savings rupees one lakh... on that horse.,"l had bet all my savings rupees one lakh...
on that horse."
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:05:31,750","00:05:35,040",But the jockey double crossed us.,But the jockey double crossed us.
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:05:36,000","00:05:38,957",This shortcut cost me dearly.,This shortcut cost me dearly.
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:05:43,041","00:05:46,124",Our booking company lost it's reputation and fortune.,"Our booking company lost
it's reputation and fortune."
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:05:47,041","00:05:49,249",The company is run by three Bengali brothers.,"The company is run by
three Bengali brothers."
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:05:50,041","00:05:53,124",This is Mujeeb and that's Shumon.,This is Mujeeb and that's Shumon.
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:06:18,250","00:06:20,290","Mikhail, the third Bengali brother.","Mikhail, the third Bengali brother."
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:06:20,583","00:06:24,624",How're you? - The same as you!,"How're you?
- The same as you!"
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:06:24,833","00:06:28,207","My buddy, dearer than my own brother.","My buddy,
dearer than my own brother."
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:06:29,666","00:06:33,332",A kid at heart but a maniac in the head.,"A kid at heart but
a maniac in the head."
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:06:36,500","00:06:38,665",lndian National Small Arms System.,lndian National Small Arms System.
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:06:39,583","00:06:41,165",ln short lNSAS.,ln short lNSAS.
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:06:42,041","00:06:43,415",The heroine of the Kargil war...,The heroine of the Kargil war...
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:06:43,916","00:06:45,040",purely homebred.,purely homebred.
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:06:46,041","00:06:48,332",A distant cousin of the AK47.,A distant cousin of the AK47.
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:06:48,541","00:06:50,790",Weight: 6.37 kgs.,Weight: 6.37 kgs.
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:06:50,833","00:06:53,082",Range: 700 meters.,Range: 700 meters.
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:06:53,291","00:06:57,165",Feed: 30 round - plastic box magazine.,Feed: 30 round - plastic box magazine.
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:06:57,708","00:06:59,874",How many can it kill in one round?,How many can it kill in one round?
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:07:00,000","00:07:02,624","Sir, you'll lose count, but the bullets will carry on.","Sir, you'll lose count,
but the bullets will carry on."
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:07:05,458","00:07:07,957",Some people change with time...,Some people change with time...
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:07:09,125","00:07:12,624",and how the times change for some.,and how the times change for some.
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:07:15,291","00:07:16,415",Arsehole...,Arsehole...
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:07:17,916","00:07:20,207",money can be quite the devil.,money can be quite the devil.
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:07:26,125","00:07:27,957",You had to pull the reins here.,You had to pull the reins here.
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:07:31,958","00:07:33,624",Double cross Burgess!,Double cross Burgess!
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:07:36,958","00:07:38,165",Double cross!,Double cross!
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:07:39,916","00:07:41,790",Shumon! - Yes...,"Shumon!
- Yes..."
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:07:42,375","00:07:44,499",The viewfinder is screwed.,The viewfinder is screwed.
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:07:45,958","00:07:48,165",Brother says the viewfinder is off mark.,Brother says the viewfinder is off mark.
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:07:48,375","00:07:49,457","Not possible, sir.","Not possible, sir."
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:07:49,666","00:07:52,582",Big brother never lies!,Big brother never lies!
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:07:59,041","00:08:01,707",Please don't do this. - Do what?,"Please don't do this.
- Do what?"
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:08:04,708","00:08:08,749","You screw us all over that's cool, huh?","You screw us all over that's cool, huh?"
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:08:10,583","00:08:14,332",The sky disappeared and my balls vanished from my boxers!,"The sky disappeared and
my balls vanished from my boxers!"
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:08:16,458","00:08:18,040",You know how much we lost?,You know how much we lost?
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:08:22,041","00:08:23,957","Charlie, they will kill me.","Charlie, they will kill me."
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:08:24,125","00:08:25,874",And we will worship you!,And we will worship you!
kaminey-2009-720p-bdrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Kaminey 2009 720P BDRip xRG.srt,"00:08:26,750","00:08:27,707","Stop crying, you rascal!","Stop crying, you rascal!"
