film_id,decade,file_path,start,end,text_clean,text_raw
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:04:32,071","00:04:35,071",Good Lt. Karan Shergill - Yes sir,"Good Lt. Karan Shergill
 - Yes sir"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:04:36,009","00:04:39,009",Welcome to 3 Punjab,Welcome to 3 Punjab
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:04:42,515","00:04:45,183",You've been assigned to him - Yes sir,"You've been assigned to him
 - Yes sir"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:04:45,184","00:04:48,184",Are his quarters ready? - Yes sir - Good,"Are his quarters ready?
 - Yes sir - Good"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:04:49,789","00:04:52,789",You have to report to the regiment CO right away,"You have to report to
 the regiment CO right away"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:04:54,627","00:04:57,627",Come with me - Yes sir,"Come with me
 - Yes sir"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:05:07,106","00:05:08,573",Come in,Come in
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:05:08,574","00:05:11,574",Wait here - Yes sir,"Wait here
 - Yes sir"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:05:13,780","00:05:16,780","Sir, Lt. Shergill is outside","Sir, Lt. Shergill is outside"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:05:17,350","00:05:18,483",March him in,March him in
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:05:18,484","00:05:21,484","Lt.Shergill, march in","Lt.Shergill, march in"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:05:30,496","00:05:32,364",Carry on Sathish,Carry on Sathish
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:05:32,365","00:05:33,632",Sir,Sir
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:05:33,633","00:05:36,633",Lt.Shergill reporting sir,Lt.Shergill reporting sir
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:05:40,540","00:05:43,540",At ease,At ease
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:05:44,877","00:05:47,877","Karan, come here","Karan, come here"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:05:49,916","00:05:52,317",Sir,Sir
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:05:52,318","00:05:55,318",What do you think... is this frame straight?,"What do you think...
 is this frame straight?"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:05:58,524","00:06:00,025",Sir?,Sir?
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:06:00,026","00:06:03,026",Does the frame look straight?,Does the frame look straight?
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:06:06,733","00:06:09,534","Sir, it's a bit...","Sir, it's a bit..."
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:06:09,535","00:06:12,535",With your permission sir - Yes...yes.,"With your permission sir
 - Yes...yes."
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:06:19,746","00:06:22,746","Now it's straight, sir","Now it's straight, sir"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:06:23,249","00:06:26,249",Good,Good
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:06:27,920","00:06:30,920",Things don't feel right unless they're perfect,"Things don't feel right
 unless they're perfect"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:06:36,529","00:06:39,529",Karan Shergill - Sir,"Karan Shergill
 - Sir"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:06:39,966","00:06:42,966","Be at the mess by 1900 hrs, the officers will bethere","Be at the mess by 1900 hrs,
 the officers will bethere"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:06:44,570","00:06:47,439",Allright - Yes sir,"Allright
 - Yes sir"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:06:47,440","00:06:50,440",Carry on,Carry on
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:07:03,356","00:07:05,157",Sir,Sir
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:07:05,158","00:07:07,125",Maj. Kaushal Verma,Maj. Kaushal Verma
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:07:07,126","00:07:09,194",We heard you were coming today,We heard you were coming today
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:07:09,195","00:07:11,062",Through the lMA? - Yes sir,"Through the lMA?
 - Yes sir"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:07:11,063","00:07:14,063",ls Lt.Col Pratap Singh still at the Academy? - Yes sir,"ls Lt.Col Pratap Singh
 still at the Academy? - Yes sir"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:07:15,368","00:07:18,368",He's an old friend... Pratap ''Discipline'' Singh!,"He's an old friend...
 Pratap ''Discipline'' Singh!"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:07:19,672","00:07:22,672",Akbar...Mishra...come here,Akbar...Mishra...come here
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:07:23,810","00:07:25,577",Morning sir - Morning boys,"Morning sir
 - Morning boys"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:07:25,578","00:07:28,079",Meet Lt.Karan Shergill - Sir - Hi - Hi,"Meet Lt.Karan Shergill
 - Sir - Hi - Hi"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:07:28,080","00:07:30,582",Meet Capt. Jalal Akbar He's from the lMA too,"Meet Capt. Jalal Akbar
 He's from the lMA too"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:07:30,583","00:07:31,983","Which course, sir?","Which course, sir?"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:07:31,984","00:07:34,719","91 course NDA, 100 course lMA","91 course NDA, 100 course lMA"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:07:34,720","00:07:37,720",This is Capt. Sudhir Mishra He's a doctor,"This is Capt. Sudhir Mishra
 He's a doctor"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:07:37,990","00:07:40,990","You're getting very fit these days, doc?","You're getting very fit
 these days, doc?"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:07:41,227","00:07:42,928",Jogging a lot!,Jogging a lot!
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:07:42,929","00:07:45,096","Sir, l worry about Akbar","Sir, l worry about Akbar"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:07:45,097","00:07:48,097",Won't he need a doctor if he faints en-route?,"Won't he need a doctor
 if he faints en-route?"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:07:49,769","00:07:52,769",Your bag is kept inside,Your bag is kept inside
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:07:54,006","00:07:54,840","Go, have a look","Go, have a look"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:07:54,841","00:07:56,508",At what? -The bag or the room?,"At what?
 -The bag or the room?"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:07:56,509","00:07:58,176",The room of-course!!,The room of-course!!
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:07:58,177","00:08:01,177",He must have seen his bag before,He must have seen his bag before
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:08:02,081","00:08:03,448","You go ahead, Karan","You go ahead, Karan"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:08:03,449","00:08:05,016",These two are always at it,These two are always at it
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:08:05,017","00:08:08,017",Right sir - See you,"Right sir
 - See you"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:08:11,724","00:08:14,724","Now, the front will become exciting When is the Bachelors party?","Now, the front will become exciting
 When is the Bachelors party?"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:08:16,362","00:08:19,362","Whenever you want, sir - How about tonight?","Whenever you want, sir
 - How about tonight?"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:08:19,699","00:08:22,699","Hey Karan, Good evening, come on in","Hey Karan, Good evening,
 come on in"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:08:22,768","00:08:24,636",Good evening sir - Hi,"Good evening sir
 - Hi"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:08:24,637","00:08:26,338",Meet Capt. Manjit Dhingra,Meet Capt. Manjit Dhingra
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:08:26,339","00:08:28,106","Hello, nice to meet you - Nice to meet you","Hello, nice to meet you
 - Nice to meet you"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:08:28,107","00:08:30,442",Lt. Vishal Srivatsav,Lt. Vishal Srivatsav
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:08:30,443","00:08:32,844",and Capt. Ramanna,and Capt. Ramanna
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:08:32,845","00:08:35,845",My God! Did you guys see that? Ramanna actually smiled!,"My God! Did you guys see that?
 Ramanna actually smiled!"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:08:38,584","00:08:41,584",Didn't say much as usual but smile he did!,"Didn't say much as usual
 but smile he did!"
lakshya-2004-720p-xvid-clawed,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Lakshya.2004.720p.xvid.ClaWeD.srt,"00:08:46,425","00:08:49,425",Excuse me sir - Yeah...yeah,"Excuse me sir
 - Yeah...yeah"
