film_id,decade,file_path,start,end,text_clean,text_raw
rockstar-2011-hindi-untouched-720p-web-dl-x264-aac-maaxhd,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Rockstar 2011 Hindi Untouched 720p WEB-DL x264 AAC - MAAXHD.srt,"00:00:00,000","00:00:10,500",® MAAXHD PRESENTS ® 1 00:00:15.250 --> 00:00:16.333 You know. 2 00:00:20.625 --> 00:00:21.916 Miles away from here. 3 00:00:24.958 --> 00:00:26.750 Beyond good and evil. 4 00:00:29.791 --> 00:00:30.916 There's a ground.,"<b><font color=""#804040"">®</font></b> <b><font color=""#00FFFF"">MAAXHD PRESENTS</font></b> <b><font color=""#804040"">®</font></b>
1
00:00:15.250 --> 00:00:16.333
 You know.
2
00:00:20.625 --> 00:00:21.916
 Miles away from here.
3
00:00:24.958 --> 00:00:26.750
 Beyond good and evil.
4
00:00:29.791 --> 00:00:30.916
 There's a ground."
rockstar-2011-hindi-untouched-720p-web-dl-x264-aac-maaxhd,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Rockstar 2011 Hindi Untouched 720p WEB-DL x264 AAC - MAAXHD.srt,"00:00:35,000","00:00:36,250",I will meet you there.,I will meet you there.
rockstar-2011-hindi-untouched-720p-web-dl-x264-aac-maaxhd,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Rockstar 2011 Hindi Untouched 720p WEB-DL x264 AAC - MAAXHD.srt,"00:01:26,416","00:01:27,791","No, no.","No, no."
rockstar-2011-hindi-untouched-720p-web-dl-x264-aac-maaxhd,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Rockstar 2011 Hindi Untouched 720p WEB-DL x264 AAC - MAAXHD.srt,"00:01:27,875","00:01:30,000",No. no. No cheating.,No. no. No cheating.
rockstar-2011-hindi-untouched-720p-web-dl-x264-aac-maaxhd,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Rockstar 2011 Hindi Untouched 720p WEB-DL x264 AAC - MAAXHD.srt,"00:02:28,458","00:02:29,583",Catch him.,Catch him.
rockstar-2011-hindi-untouched-720p-web-dl-x264-aac-maaxhd,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Rockstar 2011 Hindi Untouched 720p WEB-DL x264 AAC - MAAXHD.srt,"00:02:29,666","00:02:33,416",Don't let him go.,Don't let him go.
rockstar-2011-hindi-untouched-720p-web-dl-x264-aac-maaxhd,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Rockstar 2011 Hindi Untouched 720p WEB-DL x264 AAC - MAAXHD.srt,"00:02:38,291","00:02:41,750",Run.,Run.
rockstar-2011-hindi-untouched-720p-web-dl-x264-aac-maaxhd,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Rockstar 2011 Hindi Untouched 720p WEB-DL x264 AAC - MAAXHD.srt,"00:04:26,875","00:04:30,125",Often I've wondered,Often I've wondered
rockstar-2011-hindi-untouched-720p-web-dl-x264-aac-maaxhd,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Rockstar 2011 Hindi Untouched 720p WEB-DL x264 AAC - MAAXHD.srt,"00:04:30,208","00:04:33,458","You, me, we are all mirrors","You, me, we are all mirrors"
rockstar-2011-hindi-untouched-720p-web-dl-x264-aac-maaxhd,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Rockstar 2011 Hindi Untouched 720p WEB-DL x264 AAC - MAAXHD.srt,"00:04:33,833","00:04:37,250",We catch our reflection in everyone,We catch our reflection in everyone
