film_id,decade,file_path,start,end,text_clean,text_raw
saathiya-2002-dvdrip-xvid-mp3-rangertd,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Saathiya 2002 DVDrip XviD MP3 [RangerTD].srt,"00:01:09,246","00:01:17,782","""The moon will stealthily enter through the window in bare feet""","""The moon will stealthily enter
through the window in bare feet"""
saathiya-2002-dvdrip-xvid-mp3-rangertd,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Saathiya 2002 DVDrip XviD MP3 [RangerTD].srt,"00:01:17,854","00:01:25,459","""O beloved, listen to me, listen to me, my darling""","""O beloved, listen to me,
listen to me, my darling"""
saathiya-2002-dvdrip-xvid-mp3-rangertd,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Saathiya 2002 DVDrip XviD MP3 [RangerTD].srt,"00:01:26,097","00:01:35,135","""The moon will stealthily enter through the window in bare feet""","""The moon will stealthily enter
through the window in bare feet"""
saathiya-2002-dvdrip-xvid-mp3-rangertd,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Saathiya 2002 DVDrip XviD MP3 [RangerTD].srt,"00:01:49,886","00:01:53,451","Hey, what are you watching? Is this a Ramlila?","Hey, what are you watching?
Is this a Ramlila?"
saathiya-2002-dvdrip-xvid-mp3-rangertd,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Saathiya 2002 DVDrip XviD MP3 [RangerTD].srt,"00:01:56,026","00:01:59,328","Hey, you. Stop. - Sir, I've got to go to the station.","Hey, you. Stop. - Sir, I've got to
go to the station."
saathiya-2002-dvdrip-xvid-mp3-rangertd,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Saathiya 2002 DVDrip XviD MP3 [RangerTD].srt,"00:01:59,329","00:02:01,664",Do I have to write it down for you? Can't you hear?,"Do I have to write it down for you?
Can't you hear?"
saathiya-2002-dvdrip-xvid-mp3-rangertd,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Saathiya 2002 DVDrip XviD MP3 [RangerTD].srt,"00:02:01,665","00:02:03,832","Sorry sir, Sorry. - You can't go from here.","Sorry sir, Sorry.
- You can't go from here."
saathiya-2002-dvdrip-xvid-mp3-rangertd,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Saathiya 2002 DVDrip XviD MP3 [RangerTD].srt,"00:02:03,833","00:02:08,729",There has been an accident. Take a U-turn and go back. Go...,"There has been an accident.
Take a U-turn and go back. Go..."
saathiya-2002-dvdrip-xvid-mp3-rangertd,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Saathiya 2002 DVDrip XviD MP3 [RangerTD].srt,"00:03:17,141","00:03:22,777",Today 6.30 p. M Marine Lines Station,Today 6.30 p. M Marine Lines Station
saathiya-2002-dvdrip-xvid-mp3-rangertd,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Saathiya 2002 DVDrip XviD MP3 [RangerTD].srt,"00:03:25,181","00:03:27,450",What are you doing here? Waiting for Suhani?,"What are you doing here?
Waiting for Suhani?"
saathiya-2002-dvdrip-xvid-mp3-rangertd,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Saathiya 2002 DVDrip XviD MP3 [RangerTD].srt,"00:03:27,451","00:03:28,584",Like always.,Like always.
saathiya-2002-dvdrip-xvid-mp3-rangertd,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Saathiya 2002 DVDrip XviD MP3 [RangerTD].srt,"00:03:28,585","00:03:31,321","If you'd married me, you wouldn't have had to do all this.","If you'd married me, you wouldn't
have had to do all this."
saathiya-2002-dvdrip-xvid-mp3-rangertd,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Saathiya 2002 DVDrip XviD MP3 [RangerTD].srt,"00:03:31,322","00:03:32,755",If she doesn't come in the next ten minutes...,"If she doesn't come in the
next ten minutes..."
saathiya-2002-dvdrip-xvid-mp3-rangertd,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Saathiya 2002 DVDrip XviD MP3 [RangerTD].srt,"00:03:32,756","00:03:35,791",We'll run away to a temple and get married.,"We'll run away to a temple
and get married."
saathiya-2002-dvdrip-xvid-mp3-rangertd,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Saathiya 2002 DVDrip XviD MP3 [RangerTD].srt,"00:03:35,792","00:03:40,924",Let's go.,Let's go.
saathiya-2002-dvdrip-xvid-mp3-rangertd,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Saathiya 2002 DVDrip XviD MP3 [RangerTD].srt,"00:04:05,288","00:04:09,783",Is Suhani there?,Is Suhani there?
