film_id,decade,file_path,start,end,text_clean,text_raw
wake-up-sid-dthrip-xvid-1cdrip-ddr,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Wake Up Sid - DTHRip - XviD - 1CDRip - [DDR].srt,"00:01:51,132","00:01:54,101",Prepare profit and loss statements after taking...,"Prepare profit and loss
statements after taking..."
wake-up-sid-dthrip-xvid-1cdrip-ddr,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Wake Up Sid - DTHRip - XviD - 1CDRip - [DDR].srt,"00:01:54,169","00:01:56,069",..into account the following adjustments..,"..into account the
following adjustments.."
wake-up-sid-dthrip-xvid-1cdrip-ddr,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Wake Up Sid - DTHRip - XviD - 1CDRip - [DDR].srt,"00:01:57,472","00:01:58,530",One..,One..
wake-up-sid-dthrip-xvid-1cdrip-ddr,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Wake Up Sid - DTHRip - XviD - 1CDRip - [DDR].srt,"00:01:58,606","00:02:02,599",Returns outwards Rs.1000 were wrongly included in sales.,"Returns outwards Rs.1000
were wrongly included in sales."
wake-up-sid-dthrip-xvid-1cdrip-ddr,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Wake Up Sid - DTHRip - XviD - 1CDRip - [DDR].srt,"00:02:06,932","00:02:13,861",Returns outwards Rs.1000 were wrongly included in sales..,"Returns outwards Rs.1000
were wrongly included in sales.."
wake-up-sid-dthrip-xvid-1cdrip-ddr,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Wake Up Sid - DTHRip - XviD - 1CDRip - [DDR].srt,"00:02:13,939","00:02:15,930",In sales.,In sales.
wake-up-sid-dthrip-xvid-1cdrip-ddr,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Wake Up Sid - DTHRip - XviD - 1CDRip - [DDR].srt,"00:02:16,609","00:02:18,042",Included in sales..,Included in sales..
wake-up-sid-dthrip-xvid-1cdrip-ddr,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Wake Up Sid - DTHRip - XviD - 1CDRip - [DDR].srt,"00:02:46,740","00:02:51,101","""Listen to what I have to say.. ""","""Listen to what I have to say.. """
wake-up-sid-dthrip-xvid-1cdrip-ddr,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Wake Up Sid - DTHRip - XviD - 1CDRip - [DDR].srt,"00:02:54,215","00:02:58,276","""You know what time is. ""","""You know what time is. """
wake-up-sid-dthrip-xvid-1cdrip-ddr,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Wake Up Sid - DTHRip - XviD - 1CDRip - [DDR].srt,"00:03:01,155","00:03:06,616","""The night is sleeping and a new day has awakened. ""","""The night is sleeping and
a new day has awakened. """
wake-up-sid-dthrip-xvid-1cdrip-ddr,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Wake Up Sid - DTHRip - XviD - 1CDRip - [DDR].srt,"00:03:09,096","00:03:14,094","""This ambience is still in slumber. ""","""This ambience is still in slumber. """
wake-up-sid-dthrip-xvid-1cdrip-ddr,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Wake Up Sid - DTHRip - XviD - 1CDRip - [DDR].srt,"00:03:16,071","00:03:22,401","""Wishes are leading my way. ""","""Wishes are leading my way. """
wake-up-sid-dthrip-xvid-1cdrip-ddr,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Wake Up Sid - DTHRip - XviD - 1CDRip - [DDR].srt,"00:03:44,567","00:03:51,063",Returns outwards Rs.7000 were wrongly included in sales..,"Returns outwards Rs.7000
were wrongly included in sales.."
wake-up-sid-dthrip-xvid-1cdrip-ddr,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Wake Up Sid - DTHRip - XviD - 1CDRip - [DDR].srt,"00:04:16,204","00:04:17,005",- Bhaiyya.. Bhaiyya!,- Bhaiyya.. Bhaiyya!
wake-up-sid-dthrip-xvid-1cdrip-ddr,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Wake Up Sid - DTHRip - XviD - 1CDRip - [DDR].srt,"00:04:18,543","00:04:20,033",Bhaiyya! Open the door.,Bhaiyya! Open the door.
wake-up-sid-dthrip-xvid-1cdrip-ddr,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Wake Up Sid - DTHRip - XviD - 1CDRip - [DDR].srt,"00:04:21,446","00:04:22,504",Brother!,Brother!
wake-up-sid-dthrip-xvid-1cdrip-ddr,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Wake Up Sid - DTHRip - XviD - 1CDRip - [DDR].srt,"00:04:24,683","00:04:26,945",What are you doing in there? Bhaiyya!,"What are you doing in there?
Bhaiyya!"
wake-up-sid-dthrip-xvid-1cdrip-ddr,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Wake Up Sid - DTHRip - XviD - 1CDRip - [DDR].srt,"00:04:29,817","00:04:31,075",Open the door!!,Open the door!!
wake-up-sid-dthrip-xvid-1cdrip-ddr,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Wake Up Sid - DTHRip - XviD - 1CDRip - [DDR].srt,"00:04:31,857","00:04:34,555",Chhotu! Why didn't you wake me up sooner?!,"Chhotu! Why didn't you
wake me up sooner?!"
wake-up-sid-dthrip-xvid-1cdrip-ddr,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Wake Up Sid - DTHRip - XviD - 1CDRip - [DDR].srt,"00:04:35,227","00:04:37,958",You said you were going to study all night..,"You said you were going to
study all night.."
wake-up-sid-dthrip-xvid-1cdrip-ddr,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Wake Up Sid - DTHRip - XviD - 1CDRip - [DDR].srt,"00:04:38,028","00:04:39,290",..I thought you'd be up by now.,..I thought you'd be up by now.
wake-up-sid-dthrip-xvid-1cdrip-ddr,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Wake Up Sid - DTHRip - XviD - 1CDRip - [DDR].srt,"00:04:44,097","00:04:46,028",Did you fall asleep?,Did you fall asleep?
wake-up-sid-dthrip-xvid-1cdrip-ddr,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Wake Up Sid - DTHRip - XviD - 1CDRip - [DDR].srt,"00:04:46,203","00:04:48,303",You fell asleep! You had 4 cups of coffee and you still fell asleep!,"You fell asleep! You had 4 cups of coffee
and you still fell asleep!"
wake-up-sid-dthrip-xvid-1cdrip-ddr,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Wake Up Sid - DTHRip - XviD - 1CDRip - [DDR].srt,"00:04:49,776","00:04:50,834",What will you do now?,What will you do now?
wake-up-sid-dthrip-xvid-1cdrip-ddr,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Wake Up Sid - DTHRip - XviD - 1CDRip - [DDR].srt,"00:04:50,990","00:04:52,868",How will you give your exam now?!,How will you give your exam now?!
wake-up-sid-dthrip-xvid-1cdrip-ddr,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Wake Up Sid - DTHRip - XviD - 1CDRip - [DDR].srt,"00:04:53,079","00:04:54,113",Shut up! This is all your fault!,Shut up! This is all your fault!
wake-up-sid-dthrip-xvid-1cdrip-ddr,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Wake Up Sid - DTHRip - XviD - 1CDRip - [DDR].srt,"00:04:54,445","00:04:55,603","Just try not to fail, I guess.","Just try not to fail, I guess."
wake-up-sid-dthrip-xvid-1cdrip-ddr,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Wake Up Sid - DTHRip - XviD - 1CDRip - [DDR].srt,"00:04:56,149","00:04:59,077",Now you sit here and eat this breakfast! I'm off..,"Now you sit here and
eat this breakfast! I'm off.."
wake-up-sid-dthrip-xvid-1cdrip-ddr,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Wake Up Sid - DTHRip - XviD - 1CDRip - [DDR].srt,"00:04:59,519","00:05:01,685",Move. - Best of luck!,"Move.
- Best of luck!"
