film_id,decade,file_path,start,end,text_clean,text_raw
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:00:00,000","00:00:21,200",guys please comment on the quality of this subtitle... roliekgeorge@yahoo.com,"guys please comment on the quality of this subtitle...
roliekgeorge@yahoo.com"
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:00:51,279","00:00:52,399",hello,hello
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:00:52,861","00:00:53,981",ya,ya
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:00:57,071","00:00:57,891",what?,what?
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:00:57,941","00:01:00,341",sir kindly switch off your mobile phone,sir kindly switch off your mobile phone
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:01:00,459","00:01:02,479",just one sec one sec please!!!,just one sec one sec please!!!
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:01:11,514","00:01:13,214",excuse me!,excuse me!
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:01:32,775","00:01:33,895",sir please sit down!!!!,sir please sit down!!!!
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:01:43,162","00:01:44,682",captain ther is a medical emergency,captain ther is a medical emergency
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:01:44,758","00:01:46,758",a passenger has just fallen down on the aisle,a passenger has just fallen down on the aisle
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:01:47,025","00:01:50,345",delhi air india 11 returning to medical emergency,delhi air india 11 returning to medical emergency
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:01:55,697","00:01:58,517",sir excuse me sir excuse me sir,sir excuse  me sir excuse me sir
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:02:09,155","00:02:10,555",one minute!!!!!!!,one minute!!!!!!!
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:02:19,377","00:02:20,797",im alright now,im alright now
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:02:20,879","00:02:22,079",thank you!,thank you!
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:02:22,138","00:02:22,958",all go now,all go now
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:02:23,039","00:02:24,159",i'll go now,i'll go now
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:02:25,080","00:02:26,900",gentlemen wait!!,gentlemen wait!!
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:02:54,744","00:02:56,164",get the vehicle,get the vehicle
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:02:56,576","00:02:57,976",are you Mr.dullon,are you Mr.dullon
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:02:58,020","00:02:58,340",why?,why?
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:02:58,415","00:02:59,415",should i tatoo my name here?,should i tatoo my name here?
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:02:59,415","00:03:00,115",take out the vehicle fast!!,take out the vehicle fast!!
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:03:00,133","00:03:00,953",ok sir!! come sir,ok sir!! come sir
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:03:02,526","00:03:03,926",should go to hotel right sir??,should go to hotel right sir??
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:03:04,006","00:03:05,226",ya ya we'll go hotel,ya ya we'll go hotel
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:03:05,310","00:03:07,130",but through vasant vihar.. take me ther,but through vasant vihar.. take me ther
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:03:08,748","00:03:10,168",put some load on accelerator kaake!!!!,put some load on accelerator kaake!!!!
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:03:22,390","00:03:23,710",ya farhan tell me,ya farhan tell me
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:03:23,804","00:03:26,504",you come out fast im reachin ur place in 5 min,you come out fast im reachin ur place in 5 min
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:03:26,527","00:03:27,647",what happened dude?,what happened dude?
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:03:27,715","00:03:28,735",chathur had called,chathur had called
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:03:28,796","00:03:29,596",remember him?,remember him?
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:03:29,708","00:03:31,128","who ""silencer""?","who ""silencer""?"
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:03:31,133","00:03:32,553",ya ya,ya ya
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:03:33,642","00:03:36,142",he's tellin rancho is comin,he's tellin rancho is comin
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:03:37,524","00:03:38,844",what u're sayin?,what u're sayin?
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:03:38,907","00:03:43,027","hanh he's tellin if wanna meet rancho come to campus at 8, on the tank","hanh he's tellin if wanna meet rancho come to campus at 8, on the tank"
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:03:43,687","00:03:44,487",oh s*****,oh s*****
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:03:44,487","00:03:46,007",hey u come out fast,hey u come out fast
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:03:46,077","00:03:47,877",ya ok ok,ya ok ok
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:03:51,928","00:03:54,128",sruthi i'll be back in sometime,sruthi i'll be back in sometime
3-idiots,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/3 idiots.srt,"00:03:54,219","00:03:55,619",oooo shoes....,oooo shoes....
