film_id,decade,file_path,start,end,text_clean,text_raw
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:04:48,501","00:04:51,709",And finally...,And finally...
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:04:52,042","00:04:56,917",How do you fit 30 Iraqis in one telephone booth?,"How do you fit 30 Iraqis
in one telephone booth?"
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:04:59,834","00:05:03,292",Tell them that it does not belong to them!,"Tell them that it
does not belong to them!"
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:05:05,501","00:05:06,417",Goodbye!,Goodbye!
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:05:06,501","00:05:07,667",Congratulations!,Congratulations!
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:05:07,792","00:05:09,251","You're very kind, Excellency.","You're very kind, Excellency."
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:05:09,334","00:05:11,251","Oh, I'm a mere Prince, Ranjit.","Oh, I'm a mere Prince, Ranjit."
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:05:11,334","00:05:12,959",Answerable to His Excellency.,Answerable to His Excellency.
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:05:13,042","00:05:14,167",The Emir.,The Emir.
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:05:14,376","00:05:17,292","But Ranjit, you know this deal would mean...","But Ranjit,
you know this deal would mean..."
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:05:17,376","00:05:20,126",...a lot of your friends will be unhappy with you.,"...a lot of your friends
will be unhappy with you."
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:05:20,334","00:05:22,376","So, how do you explain to them?","So, how do you explain to them?"
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:05:22,626","00:05:25,542","To me, profit explains everything.","To me, profit explains everything."
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:05:25,834","00:05:26,667",Everything.,Everything.
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:05:26,751","00:05:28,584",Always the shrewd businessman.,Always the shrewd businessman.
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:05:28,709","00:05:29,709","You should rule, Your Excellency...","You should rule, Your Excellency..."
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:05:29,792","00:05:31,084",...and let me slave in peace.,...and let me slave in peace.
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:05:35,959","00:05:36,667",Goodbye!,Goodbye!
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:05:46,292","00:05:47,292",Heemaar!,Heemaar!
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:05:47,376","00:05:48,334","Sorry, sir?","Sorry, sir?"
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:05:48,542","00:05:50,334","Donkey, Nair, Donkey!","Donkey, Nair, Donkey!"
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:05:50,834","00:05:53,251",Your India is fully of them,Your India is fully of them
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:05:53,417","00:05:55,334",But seems like only I run into them in Kuwait.,"But seems like only
I run into them in Kuwait."
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:05:55,917","00:05:57,751","Play some music. - Okay, sir.","Play some music.
- Okay, sir."
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:06:03,667","00:06:05,709","Nair, you're still not a Kuwaiti.","Nair, you're still not a Kuwaiti."
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:06:07,834","00:06:09,626",Haven't you learn't anything from me.,Haven't you learn't anything from me.
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:06:09,876","00:06:11,001","Sorry, sir.","Sorry, sir."
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:06:13,251","00:06:14,417",Thank you.,Thank you.
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:06:29,584","00:06:30,667",Just have a little.,Just have a little.
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:06:31,334","00:06:32,334","Simu, that's it","Simu, that's it"
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:06:32,417","00:06:34,001","Goodnight. - No, mama...five minutes.","Goodnight.
- No, mama...five minutes."
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:06:34,084","00:06:35,376","No five minutes, that's it.","No five minutes, that's it."
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:06:35,459","00:06:36,751",Simu.,Simu.
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:06:36,917","00:06:40,334","Simu. Come on, jump. Jump. Jump.","Simu. Come on, jump. Jump. Jump."
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:06:40,542","00:06:44,001",Jump. Jump. Jump.,Jump. Jump. Jump.
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:06:44,584","00:06:45,959",Goodnight.,Goodnight.
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:06:46,042","00:06:47,126",Where's my kiss.,Where's my kiss.
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:06:47,542","00:06:48,792",Goodnight.,Goodnight.
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:06:49,167","00:06:50,959","Goodnight, sweetheart. Don't be scared.","Goodnight, sweetheart.
Don't be scared."
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:06:51,042","00:06:52,667","Rita. - Yes, ma'am. - Just tuck her in","Rita. - Yes, ma'am.
- Just tuck her in"
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:06:53,417","00:06:54,834",Keep the door open.,Keep the door open.
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:06:56,251","00:06:58,167",Why is Simu still awake?,Why is Simu still awake?
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:06:58,376","00:07:00,626","Don't worry, we won't be late for the party.","Don't worry,
we won't be late for the party."
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:07:03,292","00:07:05,292","And anyway...she's a kid, not your car...","And anyway...she's a kid,
not your car..."
airlift-2016,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/airlift(2016).srt,"00:07:05,376","00:07:06,959",...that you can turn off with a key.,...that you can turn off with a key.
