film_id,decade,file_path,start,end,text_clean,text_raw
andhadhun-2018-hindi-1080p-proper-hdrip-dd-5-1-x265-1-6gb-esubs,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Andhadhun (2018). Hindi - 1080p Proper HDRip - DD 5. 1 - x265 - 1. 6GB - ESubs.srt,"00:02:16,375","00:02:18,125",It's a long story.,It's a long story.
andhadhun-2018-hindi-1080p-proper-hdrip-dd-5-1-x265-1-6gb-esubs,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Andhadhun (2018). Hindi - 1080p Proper HDRip - DD 5. 1 - x265 - 1. 6GB - ESubs.srt,"00:05:36,041","00:05:38,208","You aren't hurt, are you?","You aren't hurt, are you?"
andhadhun-2018-hindi-1080p-proper-hdrip-dd-5-1-x265-1-6gb-esubs,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Andhadhun (2018). Hindi - 1080p Proper HDRip - DD 5. 1 - x265 - 1. 6GB - ESubs.srt,"00:05:38,458","00:05:41,333","-Hey, Bandu. -I'll get you a rickshaw.","-Hey, Bandu.
-I'll get you a rickshaw."
andhadhun-2018-hindi-1080p-proper-hdrip-dd-5-1-x265-1-6gb-esubs,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Andhadhun (2018). Hindi - 1080p Proper HDRip - DD 5. 1 - x265 - 1. 6GB - ESubs.srt,"00:05:41,666","00:05:43,291",It will cost you ten rupees.,It will cost you ten rupees.
andhadhun-2018-hindi-1080p-proper-hdrip-dd-5-1-x265-1-6gb-esubs,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Andhadhun (2018). Hindi - 1080p Proper HDRip - DD 5. 1 - x265 - 1. 6GB - ESubs.srt,"00:05:45,833","00:05:46,916",Here.,Here.
andhadhun-2018-hindi-1080p-proper-hdrip-dd-5-1-x265-1-6gb-esubs,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Andhadhun (2018). Hindi - 1080p Proper HDRip - DD 5. 1 - x265 - 1. 6GB - ESubs.srt,"00:05:48,791","00:05:52,166","If you do that again, I'll tie that string to your undies.","If you do that again,
I'll tie that string to your undies."
andhadhun-2018-hindi-1080p-proper-hdrip-dd-5-1-x265-1-6gb-esubs,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Andhadhun (2018). Hindi - 1080p Proper HDRip - DD 5. 1 - x265 - 1. 6GB - ESubs.srt,"00:05:52,250","00:05:53,958","-Now, get me an auto. -Auto!","-Now, get me an auto.
-Auto!"
andhadhun-2018-hindi-1080p-proper-hdrip-dd-5-1-x265-1-6gb-esubs,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Andhadhun (2018). Hindi - 1080p Proper HDRip - DD 5. 1 - x265 - 1. 6GB - ESubs.srt,"00:06:27,250","00:06:28,208",Welcome.,Welcome.
andhadhun-2018-hindi-1080p-proper-hdrip-dd-5-1-x265-1-6gb-esubs,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Andhadhun (2018). Hindi - 1080p Proper HDRip - DD 5. 1 - x265 - 1. 6GB - ESubs.srt,"00:06:29,083","00:06:30,541",I've got you two new pupils.,I've got you two new pupils.
andhadhun-2018-hindi-1080p-proper-hdrip-dd-5-1-x265-1-6gb-esubs,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Andhadhun (2018). Hindi - 1080p Proper HDRip - DD 5. 1 - x265 - 1. 6GB - ESubs.srt,"00:06:30,625","00:06:33,333",-I cannot take it up. -Why?,"-I cannot take it up.
-Why?"
andhadhun-2018-hindi-1080p-proper-hdrip-dd-5-1-x265-1-6gb-esubs,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Andhadhun (2018). Hindi - 1080p Proper HDRip - DD 5. 1 - x265 - 1. 6GB - ESubs.srt,"00:06:33,541","00:06:35,750",That kid at Viman Nagar drives me nuts.,That kid at Viman Nagar drives me nuts.
andhadhun-2018-hindi-1080p-proper-hdrip-dd-5-1-x265-1-6gb-esubs,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Andhadhun (2018). Hindi - 1080p Proper HDRip - DD 5. 1 - x265 - 1. 6GB - ESubs.srt,"00:06:36,083","00:06:39,500",And Mrs. Gokhale keeps groping me.,And Mrs. Gokhale keeps groping me.
andhadhun-2018-hindi-1080p-proper-hdrip-dd-5-1-x265-1-6gb-esubs,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Andhadhun (2018). Hindi - 1080p Proper HDRip - DD 5. 1 - x265 - 1. 6GB - ESubs.srt,"00:06:40,416","00:06:41,875",-Aabha Gokhale? -Yes.,"-Aabha Gokhale?
-Yes."
andhadhun-2018-hindi-1080p-proper-hdrip-dd-5-1-x265-1-6gb-esubs,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Andhadhun (2018). Hindi - 1080p Proper HDRip - DD 5. 1 - x265 - 1. 6GB - ESubs.srt,"00:06:42,333","00:06:45,125",She runs her fingers over me more than she runs them over the piano.,"She runs her fingers over me
more than she runs them over the piano."
andhadhun-2018-hindi-1080p-proper-hdrip-dd-5-1-x265-1-6gb-esubs,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Andhadhun (2018). Hindi - 1080p Proper HDRip - DD 5. 1 - x265 - 1. 6GB - ESubs.srt,"00:06:45,291","00:06:49,458",The competition is due in two months. I need time to concentrate and practice.,"The competition is due in two months.
I need time to concentrate and practice."
