film_id,decade,file_path,start,end,text_clean,text_raw
badlapur-2015-hindi-720p-dvdrip-x264-aac-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Badlapur 2015 Hindi 720p DvDRip x264 AAC - Hon3y.srt,"00:02:15,669","00:02:17,546",What's the price? - How much for the potato?,"What's the price?
- How much for the potato?"
badlapur-2015-hindi-720p-dvdrip-x264-aac-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Badlapur 2015 Hindi 720p DvDRip x264 AAC - Hon3y.srt,"00:02:18,071","00:02:19,482",Rs.17 a kilo.,Rs.17 a kilo.
badlapur-2015-hindi-720p-dvdrip-x264-aac-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Badlapur 2015 Hindi 720p DvDRip x264 AAC - Hon3y.srt,"00:02:20,340","00:02:21,580",Give me a fair price.,Give me a fair price.
badlapur-2015-hindi-720p-dvdrip-x264-aac-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Badlapur 2015 Hindi 720p DvDRip x264 AAC - Hon3y.srt,"00:02:21,642","00:02:24,213",How much you want? - Both of us want to buy.,"How much you want?
- Both of us want to buy."
badlapur-2015-hindi-720p-dvdrip-x264-aac-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Badlapur 2015 Hindi 720p DvDRip x264 AAC - Hon3y.srt,"00:02:24,277","00:02:25,722","So, give us a fair price.","So, give us a fair price."
badlapur-2015-hindi-720p-dvdrip-x264-aac-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Badlapur 2015 Hindi 720p DvDRip x264 AAC - Hon3y.srt,"00:02:26,146","00:02:28,251",I want a kilo.,I want a kilo.
badlapur-2015-hindi-720p-dvdrip-x264-aac-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Badlapur 2015 Hindi 720p DvDRip x264 AAC - Hon3y.srt,"00:02:28,515","00:02:31,223",I will give it to you for Rs.10.,I will give it to you for Rs.10.
badlapur-2015-hindi-720p-dvdrip-x264-aac-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Badlapur 2015 Hindi 720p DvDRip x264 AAC - Hon3y.srt,"00:02:40,727","00:02:42,434",Chill. - Do you also want?,"Chill.
- Do you also want?"
badlapur-2015-hindi-720p-dvdrip-x264-aac-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Badlapur 2015 Hindi 720p DvDRip x264 AAC - Hon3y.srt,"00:02:42,496","00:02:45,602",Which story do I tell you now? Which one?,"Which story do I tell you now?
Which one?"
badlapur-2015-hindi-720p-dvdrip-x264-aac-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Badlapur 2015 Hindi 720p DvDRip x264 AAC - Hon3y.srt,"00:02:45,666","00:02:47,509",How much for that?,How much for that?
