film_id,decade,file_path,start,end,text_clean,text_raw
bahubali-the-beginning-2015-bluray-1080p,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Bāhubali The Beginning (2015) - [Bluray-1080p].srt,"00:00:06,000","00:00:12,074",Do you want subtitles for any video? -= =-,"Do you want subtitles for any video?
-=[ ai.OpenSubtitles.com ]=-"
bahubali-the-beginning-2015-bluray-1080p,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Bāhubali The Beginning (2015) - [Bluray-1080p].srt,"00:03:31,793","00:03:43,377","""Golden dreams and great heartache,""","""Golden dreams
and great heartache,"""
bahubali-the-beginning-2015-bluray-1080p,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Bāhubali The Beginning (2015) - [Bluray-1080p].srt,"00:03:45,793","00:03:54,960","""churn in the depth of the soul of this river...called life.""","""churn in the depth of the soul
of this river...called life."""
bahubali-the-beginning-2015-bluray-1080p,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Bāhubali The Beginning (2015) - [Bluray-1080p].srt,"00:03:57,418","00:04:07,002","""When great mountains lay in its path,""","""When great mountains lay
in its path,"""
bahubali-the-beginning-2015-bluray-1080p,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Bāhubali The Beginning (2015) - [Bluray-1080p].srt,"00:04:08,918","00:04:19,502","""it cuts deep gorges through the rock...to keep flowing!..""","""it cuts deep gorges through
the rock...to keep flowing!.."""
bahubali-the-beginning-2015-bluray-1080p,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Bāhubali The Beginning (2015) - [Bluray-1080p].srt,"00:04:21,418","00:04:38,377","""This unstoppable, inexhaustible river called life...""","""This unstoppable, inexhaustible
river called life..."""
bahubali-the-beginning-2015-bluray-1080p,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Bāhubali The Beginning (2015) - [Bluray-1080p].srt,"00:04:39,418","00:04:45,627","""it is called the river of life.""","""it is called
the river of life."""
bahubali-the-beginning-2015-bluray-1080p,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Bāhubali The Beginning (2015) - [Bluray-1080p].srt,"00:07:36,043","00:07:37,502",Lord Shiva!,Lord Shiva!
bahubali-the-beginning-2015-bluray-1080p,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Bāhubali The Beginning (2015) - [Bluray-1080p].srt,"00:07:41,168","00:07:43,002","For all the sins I have committed,","For all the sins
I have committed,"
bahubali-the-beginning-2015-bluray-1080p,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Bāhubali The Beginning (2015) - [Bluray-1080p].srt,"00:07:43,168","00:07:45,585","if death is the only redemption, then take my life!...","if death is the only redemption,
then take my life!..."
bahubali-the-beginning-2015-bluray-1080p,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Bāhubali The Beginning (2015) - [Bluray-1080p].srt,"00:07:45,793","00:07:49,502",But this boy should live...,But this boy should live...
