film_id,decade,file_path,start,end,text_clean,text_raw
bajrangi-bhaijaan-2015,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Bajrangi Bhaijaan (2015).srt,"00:04:45,361","00:04:49,320",and you forgot that i was in army for 5 years.,"and you forgot that i
was in army for 5 years."
bajrangi-bhaijaan-2015,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Bajrangi Bhaijaan (2015).srt,"00:04:51,434","00:04:53,265",indians will not give me visa.,indians will not give me visa.
bajrangi-bhaijaan-2015,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Bajrangi Bhaijaan (2015).srt,"00:04:56,305","00:04:57,499",i'll take you there.,i'll take you there.
bajrangi-bhaijaan-2015,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Bajrangi Bhaijaan (2015).srt,"00:04:59,508","00:05:06,414","whatever happens, my daughter could speak.","whatever happens,
my daughter could speak."
bajrangi-bhaijaan-2015,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Bajrangi Bhaijaan (2015).srt,"00:05:07,516","00:05:09,381",i can do anything for it.,i can do anything for it.
bajrangi-bhaijaan-2015,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Bajrangi Bhaijaan (2015).srt,"00:05:12,521","00:05:16,321",i've think about it.,i've think about it.
bajrangi-bhaijaan-2015,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Bajrangi Bhaijaan (2015).srt,"00:05:17,426","00:05:20,327",i'll take shahida to delhi,i'll take shahida to delhi
bajrangi-bhaijaan-2015,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Bajrangi Bhaijaan (2015).srt,"00:07:53,315","00:07:57,217",no one returned empty handed from the God's beloved .,"no one returned empty
handed from the God's beloved ."
bajrangi-bhaijaan-2015,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Bajrangi Bhaijaan (2015).srt,"00:07:59,355","00:08:04,383","reaching to pakistan, your daughter will speak","reaching to pakistan,
your daughter will speak"
bajrangi-bhaijaan-2015,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Bajrangi Bhaijaan (2015).srt,"00:08:13,268","00:08:17,295","why the train is not running, the tracks are under construction.","why the train is not running,
the tracks are under construction."
bajrangi-bhaijaan-2015,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Bajrangi Bhaijaan (2015).srt,"00:08:23,412","00:08:25,312",ok i'm sleeping.,ok i'm sleeping.
bajrangi-bhaijaan-2015,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Bajrangi Bhaijaan (2015).srt,"00:11:37,272","00:11:40,332",shahida.,shahida.
bajrangi-bhaijaan-2015,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Bajrangi Bhaijaan (2015).srt,"00:12:40,435","00:12:44,394",indians are saying they couldn't find your daugher,"indians are saying they
couldn't find your daugher"
bajrangi-bhaijaan-2015,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Bajrangi Bhaijaan (2015).srt,"00:12:46,275","00:12:52,305",listen to me.,listen to me.
bajrangi-bhaijaan-2015,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Bajrangi Bhaijaan (2015).srt,"00:12:53,248","00:12:54,340","let me go, i'll find her myself.","let me go, i'll find her myself."
bajrangi-bhaijaan-2015,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Bajrangi Bhaijaan (2015).srt,"00:12:55,250","00:12:57,480","its across the border, in other country.","its across the border,
in other country."
