film_id,decade,file_path,start,end,text_clean,text_raw
gully-boy-2019-hindi-720p-hdrip-x264-1,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Gully Boy (2019) Hindi 720p HDRip x264 1.srt,"00:03:12,790","00:03:13,930","Yo, Homie.","Yo, Homie."
gully-boy-2019-hindi-720p-hdrip-x264-1,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Gully Boy (2019) Hindi 720p HDRip x264 1.srt,"00:03:20,890","00:03:22,100","Where to, bro?","Where to, bro?"
gully-boy-2019-hindi-720p-hdrip-x264-1,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Gully Boy (2019) Hindi 720p HDRip x264 1.srt,"00:03:22,550","00:03:23,650",To pick up a car.,To pick up a car.
gully-boy-2019-hindi-720p-hdrip-x264-1,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Gully Boy (2019) Hindi 720p HDRip x264 1.srt,"00:03:23,980","00:03:26,730",I thought I'd take you losers for a spin today.,"I thought I'd take you losers
for a spin today."
gully-boy-2019-hindi-720p-hdrip-x264-1,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Gully Boy (2019) Hindi 720p HDRip x264 1.srt,"00:03:27,280","00:03:28,390",Can I drive?,Can I drive?
gully-boy-2019-hindi-720p-hdrip-x264-1,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Gully Boy (2019) Hindi 720p HDRip x264 1.srt,"00:03:30,000","00:03:31,540",Hang back and keep your eyes open.,Hang back and keep your eyes open.
gully-boy-2019-hindi-720p-hdrip-x264-1,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Gully Boy (2019) Hindi 720p HDRip x264 1.srt,"00:03:31,990","00:03:32,990",Why?,Why?
gully-boy-2019-hindi-720p-hdrip-x264-1,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Gully Boy (2019) Hindi 720p HDRip x264 1.srt,"00:03:33,280","00:03:34,970",Just whistle if you see anyone.,Just whistle if you see anyone.
gully-boy-2019-hindi-720p-hdrip-x264-1,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Gully Boy (2019) Hindi 720p HDRip x264 1.srt,"00:03:38,960","00:03:40,550","He's going Grand Theft Auto, bro.","He's going Grand Theft Auto, bro."
gully-boy-2019-hindi-720p-hdrip-x264-1,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Gully Boy (2019) Hindi 720p HDRip x264 1.srt,"00:03:41,500","00:03:42,560",Moeen?,Moeen?
gully-boy-2019-hindi-720p-hdrip-x264-1,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Gully Boy (2019) Hindi 720p HDRip x264 1.srt,"00:03:48,780","00:03:50,500","What are you doing, man?","What are you doing, man?"
gully-boy-2019-hindi-720p-hdrip-x264-1,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Gully Boy (2019) Hindi 720p HDRip x264 1.srt,"00:04:02,430","00:04:04,050",What's this bullshit?,What's this bullshit?
gully-boy-2019-hindi-720p-hdrip-x264-1,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Gully Boy (2019) Hindi 720p HDRip x264 1.srt,"00:04:04,860","00:04:05,970",I'm picking up a car.,I'm picking up a car.
gully-boy-2019-hindi-720p-hdrip-x264-1,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Gully Boy (2019) Hindi 720p HDRip x264 1.srt,"00:04:07,090","00:04:08,090",Get in!,Get in!
gully-boy-2019-hindi-720p-hdrip-x264-1,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Gully Boy (2019) Hindi 720p HDRip x264 1.srt,"00:04:12,330","00:04:14,760",Want a selfie or what? Let's go!,Want a selfie or what? Let's go!
gully-boy-2019-hindi-720p-hdrip-x264-1,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Gully Boy (2019) Hindi 720p HDRip x264 1.srt,"00:04:19,800","00:04:21,290","Nice, it's automatic.","Nice, it's automatic."
