film_id,decade,file_path,start,end,text_clean,text_raw
haider-1080p-blu-ray-x264-dts-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/haider-1080p-blu-ray-x264-dts-ddr.srt,"00:02:18,300","00:02:20,211",Mother! Oh mother!!,Mother! Oh mother!!
haider-1080p-blu-ray-x264-dts-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/haider-1080p-blu-ray-x264-dts-ddr.srt,"00:02:20,267","00:02:22,645",Hang on... Commander...,Hang on... Commander...
haider-1080p-blu-ray-x264-dts-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/haider-1080p-blu-ray-x264-dts-ddr.srt,"00:02:31,933","00:02:33,412",Mother!,Mother!
haider-1080p-blu-ray-x264-dts-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/haider-1080p-blu-ray-x264-dts-ddr.srt,"00:02:41,033","00:02:43,013",It's a case of severe appendicitis.,It's a case of severe appendicitis.
haider-1080p-blu-ray-x264-dts-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/haider-1080p-blu-ray-x264-dts-ddr.srt,"00:02:43,500","00:02:46,106",We need to operate immediately.,We need to operate immediately.
haider-1080p-blu-ray-x264-dts-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/haider-1080p-blu-ray-x264-dts-ddr.srt,"00:02:47,367","00:02:50,109",He is the face of our movement.,He is the face of our movement.
haider-1080p-blu-ray-x264-dts-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/haider-1080p-blu-ray-x264-dts-ddr.srt,"00:02:50,933","00:02:53,311",We cannot risk going to the hospital.,We cannot risk going to the hospital.
haider-1080p-blu-ray-x264-dts-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/haider-1080p-blu-ray-x264-dts-ddr.srt,"00:02:53,533","00:02:56,036","We will have to take the risk, Zahoor.","We will have to
take the risk, Zahoor."
haider-1080p-blu-ray-x264-dts-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/haider-1080p-blu-ray-x264-dts-ddr.srt,"00:02:57,233","00:02:59,611",Or tomorrow the press will report...,Or tomorrow the press will report...
haider-1080p-blu-ray-x264-dts-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/haider-1080p-blu-ray-x264-dts-ddr.srt,"00:02:59,867","00:03:01,312",that Commander Ikhlaq Latif died...,that Commander Ikhlaq Latif died...
haider-1080p-blu-ray-x264-dts-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/haider-1080p-blu-ray-x264-dts-ddr.srt,"00:03:01,367","00:03:04,246",of a terrifying explosion of his appendix.,"of a terrifying explosion
of his appendix."
haider-1080p-blu-ray-x264-dts-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/haider-1080p-blu-ray-x264-dts-ddr.srt,"00:03:06,533","00:03:11,175",I'll arrange an ambulance and will meet you by the lake in an hour.,"I'll arrange an ambulance and
will meet you by the lake in an hour."
