film_id,decade,file_path,start,end,text_clean,text_raw
kahaani-dvdscr-xvid-1cdrip-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Kahaani - DVDScr - XviD - 1CDRip - [DDR].srt,"00:04:26,399","00:04:27,366",Yes! I am in train,"Yes!
I am in train"
kahaani-dvdscr-xvid-1cdrip-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Kahaani - DVDScr - XviD - 1CDRip - [DDR].srt,"00:04:30,370","00:04:31,302",speak louder,speak louder
kahaani-dvdscr-xvid-1cdrip-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Kahaani - DVDScr - XviD - 1CDRip - [DDR].srt,"00:04:54,494","00:04:56,291",you cried a lot,you cried a lot
kahaani-dvdscr-xvid-1cdrip-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Kahaani - DVDScr - XviD - 1CDRip - [DDR].srt,"00:04:56,429","00:04:58,363",she is hungry! So feed her,"she is hungry!
So feed her"
kahaani-dvdscr-xvid-1cdrip-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Kahaani - DVDScr - XviD - 1CDRip - [DDR].srt,"00:04:59,332","00:05:01,300",i have forgot her feeder at home,i have forgot her feeder at home
kahaani-dvdscr-xvid-1cdrip-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Kahaani - DVDScr - XviD - 1CDRip - [DDR].srt,"00:05:02,302","00:05:05,328","i have got a new game ""Call of duty"" what a game dude?","i have got a new game ""Call of duty""
what a game dude?"
kahaani-dvdscr-xvid-1cdrip-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Kahaani - DVDScr - XviD - 1CDRip - [DDR].srt,"00:05:31,464","00:05:33,295",I will go back to home,I will go back to home
kahaani-dvdscr-xvid-1cdrip-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Kahaani - DVDScr - XviD - 1CDRip - [DDR].srt,"00:05:34,534","00:05:36,399",let's go back to home,let's go back to home
kahaani-dvdscr-xvid-1cdrip-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Kahaani - DVDScr - XviD - 1CDRip - [DDR].srt,"00:07:58,377","00:07:59,401",who are you people?,who are you people?
kahaani-dvdscr-xvid-1cdrip-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Kahaani - DVDScr - XviD - 1CDRip - [DDR].srt,"00:08:05,318","00:08:07,818",Ma'am! You shouldn't pick up heavy stuff in this condition,"Ma'am! You shouldn't pick up
heavy stuff in this condition"
kahaani-dvdscr-xvid-1cdrip-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Kahaani - DVDScr - XviD - 1CDRip - [DDR].srt,"00:08:50,496","00:08:52,430",i am driving this cab from 15 years,i am driving this cab from 15 years
kahaani-dvdscr-xvid-1cdrip-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Kahaani - DVDScr - XviD - 1CDRip - [DDR].srt,"00:08:53,366","00:08:56,301",every person goes to house or hotel straight from the airport,"every person goes to house or hotel
straight from the airport"
kahaani-dvdscr-xvid-1cdrip-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Kahaani - DVDScr - XviD - 1CDRip - [DDR].srt,"00:08:56,369","00:08:59,304",you are the first customer who is going to police station,"you are the first customer who is going
to police station"
kahaani-dvdscr-xvid-1cdrip-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Kahaani - DVDScr - XviD - 1CDRip - [DDR].srt,"00:09:12,318","00:09:13,376",here it comes!,here it comes!
kahaani-dvdscr-xvid-1cdrip-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Kahaani - DVDScr - XviD - 1CDRip - [DDR].srt,"00:09:21,360","00:09:22,292",Now what?,Now what?
kahaani-dvdscr-xvid-1cdrip-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Kahaani - DVDScr - XviD - 1CDRip - [DDR].srt,"00:09:22,495","00:09:25,293",His wife must have said the same thing every night,"His wife must have said the same
thing every night"
kahaani-dvdscr-xvid-1cdrip-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Kahaani - DVDScr - XviD - 1CDRip - [DDR].srt,"00:10:09,342","00:10:10,309",how much?,how much?
