film_id,decade,file_path,start,end,text_clean,text_raw
neerja-2016-hindi-720p-hdrip-x264-aac-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Neerja 2016 Hindi 720p HDRip x264 AAC - Hon3y.srt,"00:00:10,029","00:00:15,290",A Burg Beacon Presentation,A Burg Beacon Presentation
neerja-2016-hindi-720p-hdrip-x264-aac-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Neerja 2016 Hindi 720p HDRip x264 AAC - Hon3y.srt,"00:01:15,357","00:01:16,486",Wish you long life...,Wish you long life...
neerja-2016-hindi-720p-hdrip-x264-aac-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Neerja 2016 Hindi 720p HDRip x264 AAC - Hon3y.srt,"00:01:16,486","00:01:18,099",always healthy....,always healthy....
neerja-2016-hindi-720p-hdrip-x264-aac-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Neerja 2016 Hindi 720p HDRip x264 AAC - Hon3y.srt,"00:01:18,099","00:01:19,406",always happy,always happy
neerja-2016-hindi-720p-hdrip-x264-aac-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Neerja 2016 Hindi 720p HDRip x264 AAC - Hon3y.srt,"00:01:19,406","00:01:20,658",and have fun,and have fun
neerja-2016-hindi-720p-hdrip-x264-aac-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Neerja 2016 Hindi 720p HDRip x264 AAC - Hon3y.srt,"00:01:20,658","00:01:27,045",Neerja,Neerja (taken music arena)
neerja-2016-hindi-720p-hdrip-x264-aac-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Neerja 2016 Hindi 720p HDRip x264 AAC - Hon3y.srt,"00:02:10,179","00:02:11,031",Salam,Salam
neerja-2016-hindi-720p-hdrip-x264-aac-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Neerja 2016 Hindi 720p HDRip x264 AAC - Hon3y.srt,"00:02:11,031","00:02:12,861",Hello again,Hello again
neerja-2016-hindi-720p-hdrip-x264-aac-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Neerja 2016 Hindi 720p HDRip x264 AAC - Hon3y.srt,"00:02:12,861","00:02:15,658",I want to take pesenannya,I want to take pesenannya
neerja-2016-hindi-720p-hdrip-x264-aac-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Neerja 2016 Hindi 720p HDRip x264 AAC - Hon3y.srt,"00:02:19,800","00:02:21,544",The goods,The goods
neerja-2016-hindi-720p-hdrip-x264-aac-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Neerja 2016 Hindi 720p HDRip x264 AAC - Hon3y.srt,"00:02:33,990","00:02:36,181",I watch movies Anand 7 times,I watch movies Anand 7 times
neerja-2016-hindi-720p-hdrip-x264-aac-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Neerja 2016 Hindi 720p HDRip x264 AAC - Hon3y.srt,"00:02:35,345","00:02:37,201",and everything in cinema / true,and everything in cinema / true
neerja-2016-hindi-720p-hdrip-x264-aac-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Neerja 2016 Hindi 720p HDRip x264 AAC - Hon3y.srt,"00:02:37,201","00:02:38,922",I still remember all the dialogues of the film / wah wah,I still remember all the dialogues of the film / wah wah
neerja-2016-hindi-720p-hdrip-x264-aac-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Neerja 2016 Hindi 720p HDRip x264 AAC - Hon3y.srt,"00:02:39,602","00:02:41,732","We wish long life, Murit / My name is not Murit, my name Neerja","We wish long life, Murit / My name is not Murit, my name Neerja"
neerja-2016-hindi-720p-hdrip-x264-aac-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Neerja 2016 Hindi 720p HDRip x264 AAC - Hon3y.srt,"00:02:41,842","00:02:44,406",That means I Murit fan I was a fan too,That means I Murit fan I was a fan too
neerja-2016-hindi-720p-hdrip-x264-aac-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Neerja 2016 Hindi 720p HDRip x264 AAC - Hon3y.srt,"00:02:44,406","00:02:46,567",I'm also a fan of actors like Dilip kumar,I'm also a fan of actors like Dilip kumar
neerja-2016-hindi-720p-hdrip-x264-aac-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Neerja 2016 Hindi 720p HDRip x264 AAC - Hon3y.srt,"00:02:46,567","00:02:48,570",and I am a fan of Rajesh Khanna,and I am a fan of Rajesh Khanna
neerja-2016-hindi-720p-hdrip-x264-aac-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Neerja 2016 Hindi 720p HDRip x264 AAC - Hon3y.srt,"00:02:48,570","00:02:50,657",God will extend the life of your,God will extend the life of your
neerja-2016-hindi-720p-hdrip-x264-aac-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Neerja 2016 Hindi 720p HDRip x264 AAC - Hon3y.srt,"00:02:50,657","00:02:54,570","Friends, this life should be enjoyed not for a long life","Friends, this life should be enjoyed not for a long life"
