film_id,decade,file_path,start,end,text_clean,text_raw
padmaavat-2018-720p-webrip-x264-ac3,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Padmaavat (2018) 720p- WebRip - x264 -AC3.srt,"00:05:26,660","00:05:28,870",Look at our Commander!,Look at our Commander!
padmaavat-2018-720p-webrip-x264-ac3,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Padmaavat (2018) 720p- WebRip - x264 -AC3.srt,"00:05:29,240","00:05:33,660",Seems like he's travelled all the way from Delhi to Gazni only to eat and sleep!,"Seems like he's travelled all the way from
Delhi to Gazni only to eat and sleep!"
padmaavat-2018-720p-webrip-x264-ac3,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Padmaavat (2018) 720p- WebRip - x264 -AC3.srt,"00:05:33,870","00:05:35,830","Shareef Pasha, he has come here to get us...","Shareef Pasha, he has come here to get us..."
padmaavat-2018-720p-webrip-x264-ac3,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Padmaavat (2018) 720p- WebRip - x264 -AC3.srt,"00:05:36,040","00:05:39,660",...his intentions are that we attack Delhi together.,...his intentions are that we attack Delhi together.
padmaavat-2018-720p-webrip-x264-ac3,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Padmaavat (2018) 720p- WebRip - x264 -AC3.srt,"00:05:39,740","00:05:43,740","Oh Lord, so now the Commander wants to become the Sultan of Delhi!","Oh Lord, so now the Commander
wants to become the Sultan of Delhi!"
padmaavat-2018-720p-webrip-x264-ac3,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Padmaavat (2018) 720p- WebRip - x264 -AC3.srt,"00:05:43,950","00:05:45,220",Revolt against the Sultanate?!,Revolt against the Sultanate?!
padmaavat-2018-720p-webrip-x264-ac3,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Padmaavat (2018) 720p- WebRip - x264 -AC3.srt,"00:05:45,300","00:05:46,620",-This is not a rebellion...,-This is not a rebellion...
padmaavat-2018-720p-webrip-x264-ac3,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Padmaavat (2018) 720p- WebRip - x264 -AC3.srt,"00:05:46,870","00:05:49,450",...it's all about our desires.,...it's all about our desires.
padmaavat-2018-720p-webrip-x264-ac3,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Padmaavat (2018) 720p- WebRip - x264 -AC3.srt,"00:05:50,660","00:05:51,660",-Yes!,-Yes!
padmaavat-2018-720p-webrip-x264-ac3,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Padmaavat (2018) 720p- WebRip - x264 -AC3.srt,"00:05:52,160","00:05:55,450",How long will we serve the Sultanate?,How long will we serve the Sultanate?
padmaavat-2018-720p-webrip-x264-ac3,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Padmaavat (2018) 720p- WebRip - x264 -AC3.srt,"00:05:56,120","00:05:59,130",Now I desire to be the Sultan!,Now I desire to be the Sultan!
padmaavat-2018-720p-webrip-x264-ac3,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Padmaavat (2018) 720p- WebRip - x264 -AC3.srt,"00:05:59,210","00:06:01,330",Indeed!,Indeed!
padmaavat-2018-720p-webrip-x264-ac3,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Padmaavat (2018) 720p- WebRip - x264 -AC3.srt,"00:06:03,610","00:06:05,490",Who is this insolent fool?,Who is this insolent fool?
padmaavat-2018-720p-webrip-x264-ac3,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Padmaavat (2018) 720p- WebRip - x264 -AC3.srt,"00:06:18,910","00:06:23,210",Marvellous!,Marvellous!
padmaavat-2018-720p-webrip-x264-ac3,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Padmaavat (2018) 720p- WebRip - x264 -AC3.srt,"00:06:39,500","00:06:43,240",Alauddin! What have you brought?,Alauddin! What have you brought?
padmaavat-2018-720p-webrip-x264-ac3,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Padmaavat (2018) 720p- WebRip - x264 -AC3.srt,"00:06:43,570","00:06:47,370","Uncle, you asked me to get it!!","Uncle, you asked me to get it!!"
