film_id,decade,file_path,start,end,text_clean,text_raw
peepli-live-2010-hindi-720p-brrip-charmeleon-silver-rg,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Peepli Live 2010 Hindi 720p BRRip CharmeLeon Silver RG.srt,"00:00:00,000","00:02:20,000",Encoded By CharmeLeon,"<font face=""Palatino Linotype"" color=""#00ff00""><b>Encoded By CharmeLeon</b></font>"
peepli-live-2010-hindi-720p-brrip-charmeleon-silver-rg,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Peepli Live 2010 Hindi 720p BRRip CharmeLeon Silver RG.srt,"00:02:20,333","00:02:21,832",Brother.,Brother.
peepli-live-2010-hindi-720p-brrip-charmeleon-silver-rg,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Peepli Live 2010 Hindi 720p BRRip CharmeLeon Silver RG.srt,"00:02:22,666","00:02:25,082",What if we lose our land?,What if we lose our land?
peepli-live-2010-hindi-720p-brrip-charmeleon-silver-rg,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Peepli Live 2010 Hindi 720p BRRip CharmeLeon Silver RG.srt,"00:03:21,000","00:03:24,707",A river of colours paints this land,♪ A river of colours paints this land
peepli-live-2010-hindi-720p-brrip-charmeleon-silver-rg,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Peepli Live 2010 Hindi 720p BRRip CharmeLeon Silver RG.srt,"00:03:24,833","00:03:29,374",With a trick in the dye at every bend,♪ With a trick in the dye at every bend
peepli-live-2010-hindi-720p-brrip-charmeleon-silver-rg,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Peepli Live 2010 Hindi 720p BRRip CharmeLeon Silver RG.srt,"00:03:29,500","00:03:32,999",A river of colours paints this land,♪ A river of colours paints this land
peepli-live-2010-hindi-720p-brrip-charmeleon-silver-rg,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Peepli Live 2010 Hindi 720p BRRip CharmeLeon Silver RG.srt,"00:03:33,125","00:03:37,749",With a trick in the dye at every bend,♪ With a trick in the dye at every bend
peepli-live-2010-hindi-720p-brrip-charmeleon-silver-rg,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Peepli Live 2010 Hindi 720p BRRip CharmeLeon Silver RG.srt,"00:03:37,875","00:03:39,874",A mystery in every speck and bubble,♪ A mystery in every speck and bubble
peepli-live-2010-hindi-720p-brrip-charmeleon-silver-rg,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Peepli Live 2010 Hindi 720p BRRip CharmeLeon Silver RG.srt,"00:03:40,000","00:03:41,874","Shallow to look at, but deep within","♪ Shallow to look at, but deep within"
peepli-live-2010-hindi-720p-brrip-charmeleon-silver-rg,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Peepli Live 2010 Hindi 720p BRRip CharmeLeon Silver RG.srt,"00:03:42,000","00:03:43,999",A mystery in every speck and bubble,♪ A mystery in every speck and bubble
