film_id,decade,file_path,start,end,text_clean,text_raw
raanjhanaa-2013,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Raanjhanaa (2013).srt,"00:00:00,009","00:01:28,740",C o p y r i g h t f r o m e c O t O n e ™,"<font color=<font color=""#FCAFF9"">C</font><font color=""#F1B3F9"">o</font><font color=""#E7B7F9"">p</font><font color=""#DCBBF9"">y</font><font color=""#D2BFF9"">r</font><font color=""#C7C3F9"">i</font><font color=""#BDC7F9"">g</font><font color=""#B2CCFA"">h</font><font color=""#A8D0FA"">t</font><font color=""#9DD4FA""> </font><font color=""#93D8FA"">f</font><font color=""#88DCFA"">r</font><font color=""#7EE0FA"">o</font><font color=""#73E4FA"">m</font><font color=""#73E6F1""> </font><font color=""#73E8E7"">e</font><font color=""#73EADE"">c</font><font color=""#73EDCB"">O</font><font color=""#73EFC2"">t</font><font color=""#73F1B9"">O</font><font color=""#73F3AF"">n</font><font color=""#73F5A6"">e</font>™"
raanjhanaa-2013,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Raanjhanaa (2013).srt,"00:01:28,750","00:01:33,000",Just like we need to breathe..,"<font color=""#ffff00"">♫</font>Just like we need to breathe..<font color=""#00ff00"">♪</font>"
raanjhanaa-2013,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Raanjhanaa (2013).srt,"00:01:33,500","00:01:37,500",Just like we need to breathe..,"<font color=""#ffff00"">♫</font>Just like we need to breathe..<font color=""#00ff00"">♪</font>"
raanjhanaa-2013,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Raanjhanaa (2013).srt,"00:01:38,000","00:01:41,582","..to live, all I want is a sweetheart..","<font color=""#ffff00"">♫</font>..to live, all I want is a sweetheart..<font color=""#00ff00"">♪</font>"
raanjhanaa-2013,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Raanjhanaa (2013).srt,"00:01:42,082","00:01:44,332",When you're on the verge of dying..,"<font color=""#ffff00"">When you're on the verge of dying..</font>"
raanjhanaa-2013,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Raanjhanaa (2013).srt,"00:01:44,832","00:01:48,125",..you'll realise some important facts of life.,"<font color=""#ffff00"">..you'll realise some important facts of life.</font>"
raanjhanaa-2013,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Raanjhanaa (2013).srt,"00:01:48,625","00:01:50,665","And, one of them would be..","<font color=""#ffff00"">And, one of them would be..</font>"
raanjhanaa-2013,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Raanjhanaa (2013).srt,"00:01:51,165","00:01:54,290","..that, girls and rockets can take you any limits.","<font color=""#ffff00"">..that, girls and rockets can take you any limits.</font>"
raanjhanaa-2013,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Raanjhanaa (2013).srt,"00:01:54,790","00:01:56,665","Look, that's me.","<font color=""#ffff00"">Look, that's me.</font>"
raanjhanaa-2013,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Raanjhanaa (2013).srt,"00:01:57,165","00:02:01,207",'They completely rearranged my face.',"<font color=""#ffff00"">'They completely rearranged my face.'</font>"
raanjhanaa-2013,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Raanjhanaa (2013).srt,"00:02:01,707","00:02:05,165","'30 minutes ago, I was standing on my own two feet.'","<font color=""#ffff00"">'30 minutes ago, I was standing on my own two feet.'</font>"
raanjhanaa-2013,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Raanjhanaa (2013).srt,"00:02:05,665","00:02:06,832","'Just 20 minutes ago, they 11 bones..'","<font color=""#ffff00"">'Just 20 minutes ago, they 11 bones..'</font>"
raanjhanaa-2013,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Raanjhanaa (2013).srt,"00:02:07,332","00:02:08,625",..and cracked my skull.,"<font color=""#ffff00"">..and cracked my skull.</font>"
raanjhanaa-2013,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Raanjhanaa (2013).srt,"00:02:09,125","00:02:10,540",'Murari was right.',"<font color=""#ffff00"">'Murari was right.'</font>"
raanjhanaa-2013,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Raanjhanaa (2013).srt,"00:02:11,040","00:02:12,665",'This mess was created by me.',"<font color=""#ffff00"">'This mess was created by me.'</font>"
raanjhanaa-2013,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Raanjhanaa (2013).srt,"00:02:13,165","00:02:15,832",'But someone's love had become the bane of my life.',"<font color=""#ffff00"">'But someone's love had become the bane of my life.'</font>"
raanjhanaa-2013,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Raanjhanaa (2013).srt,"00:02:16,332","00:02:19,207",'But my story doesn't start here.',"<font color=""#ffff00"">'But my story doesn't start here.'</font>"
