film_id,decade,file_path,start,end,text_clean,text_raw
sonu-ke-titu-ki-sweety-2018-hindi-720p-bdrip-x264-ac3-dd-5-1-1,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Sonu Ke Titu Ki Sweety 2018 Hindi 720p BDRip - x264 - AC3 DD 5. 1 - 1.srt,"00:02:11,505","00:02:14,547","""You get me Golden earrings.""","""You get me Golden earrings."""
sonu-ke-titu-ki-sweety-2018-hindi-720p-bdrip-x264-ac3-dd-5-1-1,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Sonu Ke Titu Ki Sweety 2018 Hindi 720p BDRip - x264 - AC3 DD 5. 1 - 1.srt,"00:02:16,297","00:02:18,963","""I'll kiss them and wear them in my ears.""","""I'll kiss them and
wear them in my ears."""
sonu-ke-titu-ki-sweety-2018-hindi-720p-bdrip-x264-ac3-dd-5-1-1,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Sonu Ke Titu Ki Sweety 2018 Hindi 720p BDRip - x264 - AC3 DD 5. 1 - 1.srt,"00:02:21,047","00:02:23,380","""You get me Golden earrings""","""You get me Golden earrings"""
sonu-ke-titu-ki-sweety-2018-hindi-720p-bdrip-x264-ac3-dd-5-1-1,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Sonu Ke Titu Ki Sweety 2018 Hindi 720p BDRip - x264 - AC3 DD 5. 1 - 1.srt,"00:02:23,505","00:02:25,797","""I'll kiss them and wear them in my ears.""","""I'll kiss them and
wear them in my ears."""
sonu-ke-titu-ki-sweety-2018-hindi-720p-bdrip-x264-ac3-dd-5-1-1,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Sonu Ke Titu Ki Sweety 2018 Hindi 720p BDRip - x264 - AC3 DD 5. 1 - 1.srt,"00:02:25,880","00:02:28,255","""You get me Golden earrings""","""You get me Golden earrings"""
sonu-ke-titu-ki-sweety-2018-hindi-720p-bdrip-x264-ac3-dd-5-1-1,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Sonu Ke Titu Ki Sweety 2018 Hindi 720p BDRip - x264 - AC3 DD 5. 1 - 1.srt,"00:02:28,297","00:02:30,630","""I'll kiss them and wear them in my ears.""","""I'll kiss them and
wear them in my ears."""
sonu-ke-titu-ki-sweety-2018-hindi-720p-bdrip-x264-ac3-dd-5-1-1,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Sonu Ke Titu Ki Sweety 2018 Hindi 720p BDRip - x264 - AC3 DD 5. 1 - 1.srt,"00:02:31,005","00:02:33,130","""Please agree,"" You call this an arrangement?","""Please agree,""
You call this an arrangement?"
sonu-ke-titu-ki-sweety-2018-hindi-720p-bdrip-x264-ac3-dd-5-1-1,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Sonu Ke Titu Ki Sweety 2018 Hindi 720p BDRip - x264 - AC3 DD 5. 1 - 1.srt,"00:02:33,172","00:02:34,932","""Take me shopping.."" Everything is so dull.","""Take me shopping..""
Everything is so dull."
sonu-ke-titu-ki-sweety-2018-hindi-720p-bdrip-x264-ac3-dd-5-1-1,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Sonu Ke Titu Ki Sweety 2018 Hindi 720p BDRip - x264 - AC3 DD 5. 1 - 1.srt,"00:02:35,005","00:02:36,085",Our reputation is at stake.,Our reputation is at stake.
sonu-ke-titu-ki-sweety-2018-hindi-720p-bdrip-x264-ac3-dd-5-1-1,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Sonu Ke Titu Ki Sweety 2018 Hindi 720p BDRip - x264 - AC3 DD 5. 1 - 1.srt,"00:02:36,255","00:02:37,731",All the guests are just eating and leaving.,"All the guests are
just eating and leaving."
