film_id,decade,file_path,start,end,text_clean,text_raw
talvar-2015-bluray-720p-x264-ac3-5-1-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Talvar.2015.BluRay.720p.x264.AC3.5.1-Hon3y.srt,"00:02:11,918","00:02:14,585","Sir, this is Vikas Shankar","Sir, this is Vikas Shankar"
talvar-2015-bluray-720p-x264-ac3-5-1-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Talvar.2015.BluRay.720p.x264.AC3.5.1-Hon3y.srt,"00:02:15,751","00:02:17,001",Mr. Ramesh Tyagi,Mr. Ramesh Tyagi
talvar-2015-bluray-720p-x264-ac3-5-1-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Talvar.2015.BluRay.720p.x264.AC3.5.1-Hon3y.srt,"00:02:18,418","00:02:19,960",Mr.Vedant Chaudhw,Mr.Vedant Chaudhw
talvar-2015-bluray-720p-x264-ac3-5-1-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Talvar.2015.BluRay.720p.x264.AC3.5.1-Hon3y.srt,"00:02:21,043","00:02:22,751",Mr. Agnivesh Katariya,Mr. Agnivesh Katariya
talvar-2015-bluray-720p-x264-ac3-5-1-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Talvar.2015.BluRay.720p.x264.AC3.5.1-Hon3y.srt,"00:02:23,668","00:02:25,251",Mr. Junaid Ahmed,Mr. Junaid Ahmed
talvar-2015-bluray-720p-x264-ac3-5-1-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Talvar.2015.BluRay.720p.x264.AC3.5.1-Hon3y.srt,"00:02:26,043","00:02:27,626",And Mr. Ashwin Kumar,And Mr. Ashwin Kumar
talvar-2015-bluray-720p-x264-ac3-5-1-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Talvar.2015.BluRay.720p.x264.AC3.5.1-Hon3y.srt,"00:02:28,168","00:02:29,001",Nandhari Killings?,Nandhari Killings?
talvar-2015-bluray-720p-x264-ac3-5-1-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Talvar.2015.BluRay.720p.x264.AC3.5.1-Hon3y.srt,"00:02:29,876","00:02:31,126",Sir Telgi scam.,Sir Telgi scam.
talvar-2015-bluray-720p-x264-ac3-5-1-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Talvar.2015.BluRay.720p.x264.AC3.5.1-Hon3y.srt,"00:02:32,168","00:02:33,085",Well done Mr. Kumar!,Well done Mr. Kumar!
talvar-2015-bluray-720p-x264-ac3-5-1-hon3y,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Talvar.2015.BluRay.720p.x264.AC3.5.1-Hon3y.srt,"00:02:33,793","00:02:34,751",We are proud of you,We are proud of you
