film_id,decade,file_path,start,end,text_clean,text_raw
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:02:11,364","00:02:15,528",Brothers and sisters today your radio anchor Amin Sayani is very happy,"Brothers and sisters today your radio
anchor Amin Sayani is very happy"
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:02:15,902","00:02:20,999",Because l also love today's requested song,"Because l also love today's
requested song"
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:02:21,841","00:02:28,872",Manoj Sharma from Delhi alias Manu and Tanuja Trivedi from Lucknow alias Tanu,"Manoj Sharma from Delhi alias Manu
and Tanuja Trivedi from Lucknow alias Tanu"
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:02:29,215","00:02:33,652",And raja Avasti from Lucknow,And raja Avasti from Lucknow
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:02:34,053","00:02:36,078",They all have requested for this song,They all have requested for this song
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:02:48,501","00:02:54,838",For all you people a song from 1972,"For all you people a song
from 1972"
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:03:04,350","00:03:07,911","Sister in law you took bath already, did brother take bath or not?","Sister in law you took bath already,
did brother take bath or not?"
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:03:08,388","00:03:12,051",Let me check. Cut it fast,"Let me check.
Cut it fast"
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:03:12,592","00:03:14,822",You come and have a look,You come and have a look
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:03:19,732","00:03:21,427",Dont worry everything will be fine,Dont worry everything will be fine
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:03:21,801","00:03:23,428",Look at time. lts very late,"Look at time.
lts very late"
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:03:23,903","00:03:25,598",What time l call Pandit?,What time l call Pandit?
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:03:27,140","00:03:29,734",Sister come downstairs,Sister come downstairs
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:03:30,276","00:03:31,868",She took my clip,She took my clip
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:03:34,814","00:03:37,977",Where is your uncle?,Where is your uncle?
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:03:41,554","00:03:43,146",Turn off this,Turn off this
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:03:44,524","00:03:46,515",ln laws are about to come here,ln laws are about to come here
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:03:47,193","00:03:49,320",Have bath. We still have so much time,"Have bath.
We still have so much time"
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:03:50,730","00:03:53,255",Even groom have not reached Delhi,Even groom have not reached Delhi
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:04:15,221","00:04:15,983",What happen to your coat?,What happen to your coat?
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:04:16,823","00:04:19,485","An old lady was sitting beside me, she dropped tea over me","An old lady was sitting beside me,
she dropped tea over me"
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:04:20,126","00:04:22,856",You got glasses? Since when? 2 months ago,"You got glasses? Since when?
2 months ago"
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:04:24,864","00:04:26,764",How are you? l'm fine,"How are you?
l'm fine"
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:04:27,467","00:04:29,731",These glasses suits you,These glasses suits you
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:04:30,270","00:04:33,637",You are not changed. How is your leg?,"You are not changed.
How is your leg?"
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:04:34,040","00:04:36,304",He got glasses,He got glasses
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:04:36,376","00:04:38,936",lts a sun glasses,lts a sun glasses
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:04:39,912","00:04:42,437",We are getting late for train,We are getting late for train
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:04:43,116","00:04:45,744",Aunty need atleast half hour to fight with loaders,"Aunty need atleast half hour
to fight with loaders"
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:04:47,820","00:04:50,653",Look at her. She is very beautiful,"Look at her.
She is very beautiful"
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:04:51,057","00:04:52,547",And there is no problem too,And there is no problem too
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:04:53,059","00:04:55,254",Trivedi has lots of property,Trivedi has lots of property
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:04:55,762","00:04:57,730",ls it very urgent? Just now l have come,"ls it very urgent?
Just now l have come"
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:04:58,364","00:05:02,460",Your mother has find out so many girls. Final girl must be from Kanpur,"Your mother has find out so many girls.
Final girl must be from Kanpur"
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:05:03,069","00:05:07,267",Bring sister in law fast. l'm tired of eating mother's hand food,"Bring sister in law fast.
l'm tired of eating mother's hand food"
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:05:25,625","00:05:28,492",Do fast. l dont have time. Bring all together,"Do fast. l dont have time.
Bring all together"
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:05:31,564","00:05:32,929",You can never be good,You can never be good
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:05:35,435","00:05:39,633",Have a look at picture carefully. l will not show it to you again,"Have a look at picture carefully.
l will not show it to you again"
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:05:40,273","00:05:42,264",He is coming to see your sister in law,"He is coming to see your
sister in law"
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:05:42,975","00:05:47,378",You have to beat him,You have to beat him
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:05:48,014","00:05:51,677",l will get marry later. First l have to beat him,"l will get marry later.
First l have to beat him"
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:06:02,729","00:06:04,822",l'm telling you all the luggage is outside car now,"l'm telling you all the luggage
is outside car now"
tanu-weds-manu-dvdscr-xvid,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Tanu.Weds.Manu.DVDScr.XviD.srt,"00:06:05,365","00:06:08,027",Move it on side,Move it on side
