film_id,decade,file_path,start,end,text_clean,text_raw
the-dirty-picture-dvdrip-xvid-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/The Dirty Picture - DVDRip - XviD - [DDR].srt,"00:01:39,846","00:01:41,541",Mother... I've heard that...,Mother... I've heard that...
the-dirty-picture-dvdrip-xvid-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/The Dirty Picture - DVDRip - XviD - [DDR].srt,"00:01:41,648","00:01:44,947",a beautiful world exists beyond this village.,"a beautiful world
exists beyond this village."
the-dirty-picture-dvdrip-xvid-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/The Dirty Picture - DVDRip - XviD - [DDR].srt,"00:01:45,018","00:01:47,248","Big cities, grand markets and...","Big cities, grand markets and..."
the-dirty-picture-dvdrip-xvid-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/The Dirty Picture - DVDRip - XviD - [DDR].srt,"00:01:47,354","00:01:50,255",huge houses where movies can be seen.,huge houses where movies can be seen.
the-dirty-picture-dvdrip-xvid-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/The Dirty Picture - DVDRip - XviD - [DDR].srt,"00:02:26,526","00:02:27,993",There's nothing of that sort.,There's nothing of that sort.
the-dirty-picture-dvdrip-xvid-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/The Dirty Picture - DVDRip - XviD - [DDR].srt,"00:02:28,094","00:02:29,220",Now get down.,Now get down.
the-dirty-picture-dvdrip-xvid-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/The Dirty Picture - DVDRip - XviD - [DDR].srt,"00:02:29,329","00:02:32,389","Mother, you always break my dreams.","Mother, you always break my dreams."
the-dirty-picture-dvdrip-xvid-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/The Dirty Picture - DVDRip - XviD - [DDR].srt,"00:02:32,499","00:02:34,296",Dreams are meant to be broken.,Dreams are meant to be broken.
the-dirty-picture-dvdrip-xvid-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/The Dirty Picture - DVDRip - XviD - [DDR].srt,"00:02:34,367","00:02:36,358","Get down. - No, I won't.","Get down.
- No, I won't."
the-dirty-picture-dvdrip-xvid-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/The Dirty Picture - DVDRip - XviD - [DDR].srt,"00:02:36,470","00:02:37,664",You won't?,You won't?
the-dirty-picture-dvdrip-xvid-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/The Dirty Picture - DVDRip - XviD - [DDR].srt,"00:02:37,771","00:02:39,295",What if I make you fall? Tell me.,What if I make you fall? Tell me.
the-dirty-picture-dvdrip-xvid-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/The Dirty Picture - DVDRip - XviD - [DDR].srt,"00:02:39,372","00:02:41,840",You're my mother. You'll make me fall?,You're my mother. You'll make me fall?
the-dirty-picture-dvdrip-xvid-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/The Dirty Picture - DVDRip - XviD - [DDR].srt,"00:02:42,075","00:02:44,771","If your mother makes you fall, she will also help you to your feet.","If your mother makes you fall,
she will also help you to your feet."
the-dirty-picture-dvdrip-xvid-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/The Dirty Picture - DVDRip - XviD - [DDR].srt,"00:02:44,878","00:02:48,245","If you fall in the city, no one will help you to your feet.","If you fall in the city,
no one will help you to your feet."
the-dirty-picture-dvdrip-xvid-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/The Dirty Picture - DVDRip - XviD - [DDR].srt,"00:02:48,348","00:02:50,248",Get down... now!,Get down... now!
the-dirty-picture-dvdrip-xvid-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/The Dirty Picture - DVDRip - XviD - [DDR].srt,"00:02:50,317","00:02:51,579","No, I won't.","No, I won't."
the-dirty-picture-dvdrip-xvid-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/The Dirty Picture - DVDRip - XviD - [DDR].srt,"00:02:51,685","00:02:53,050",Get down.,Get down.
the-dirty-picture-dvdrip-xvid-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/The Dirty Picture - DVDRip - XviD - [DDR].srt,"00:02:53,153","00:02:54,620",Mother...,Mother...
the-dirty-picture-dvdrip-xvid-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/The Dirty Picture - DVDRip - XviD - [DDR].srt,"00:03:05,966","00:03:09,959","When He has blessed you with one life, why think twice?","When He has blessed you with
one life, why think twice?"
the-dirty-picture-dvdrip-xvid-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/The Dirty Picture - DVDRip - XviD - [DDR].srt,"00:04:16,436","00:04:17,698",We barely get down to it...,We barely get down to it...
the-dirty-picture-dvdrip-xvid-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/The Dirty Picture - DVDRip - XviD - [DDR].srt,"00:04:17,804","00:04:19,999",and the bitch next door is already on a roll!,"and the bitch next
door is already on a roll!"
the-dirty-picture-dvdrip-xvid-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/The Dirty Picture - DVDRip - XviD - [DDR].srt,"00:04:26,313","00:04:27,871","Forget about her, darling.","Forget about her, darling."
the-dirty-picture-dvdrip-xvid-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/The Dirty Picture - DVDRip - XviD - [DDR].srt,"00:04:27,981","00:04:30,279",Why don't you soothe what's excited in here?,"Why don't you soothe
what's excited in here?"
the-dirty-picture-dvdrip-xvid-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/The Dirty Picture - DVDRip - XviD - [DDR].srt,"00:04:30,383","00:04:32,112",Get off!,Get off!
the-dirty-picture-dvdrip-xvid-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/The Dirty Picture - DVDRip - XviD - [DDR].srt,"00:04:33,553","00:04:35,316",Get off!,Get off!
the-dirty-picture-dvdrip-xvid-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/The Dirty Picture - DVDRip - XviD - [DDR].srt,"00:04:36,489","00:04:39,049",Now go to sleep. We aren't doing it anymore.,"Now go to sleep.
We aren't doing it anymore."
the-dirty-picture-dvdrip-xvid-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/The Dirty Picture - DVDRip - XviD - [DDR].srt,"00:04:55,375","00:04:56,569",Bloody idiots!,Bloody idiots!
the-dirty-picture-dvdrip-xvid-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/The Dirty Picture - DVDRip - XviD - [DDR].srt,"00:04:56,676","00:04:58,576",They can't do anything without making a sound.,"They can't do anything
without making a sound."
the-dirty-picture-dvdrip-xvid-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/The Dirty Picture - DVDRip - XviD - [DDR].srt,"00:05:07,654","00:05:11,647","Marbles, cricket... the choicest abuses...","Marbles, cricket...
the choicest abuses..."
the-dirty-picture-dvdrip-xvid-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/The Dirty Picture - DVDRip - XviD - [DDR].srt,"00:05:11,758","00:05:13,487",He even made me wear boy's clothes.,He even made me wear boy's clothes.
the-dirty-picture-dvdrip-xvid-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/The Dirty Picture - DVDRip - XviD - [DDR].srt,"00:05:13,994","00:05:15,484",If my father had his way...,If my father had his way...
the-dirty-picture-dvdrip-xvid-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/The Dirty Picture - DVDRip - XviD - [DDR].srt,"00:05:15,595","00:05:17,722",he would even make me tease girls!,he would even make me tease girls!
the-dirty-picture-dvdrip-xvid-ddr,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/The Dirty Picture - DVDRip - XviD - [DDR].srt,"00:05:18,698","00:05:20,529",Didn't your mother ever stop him?,Didn't your mother ever stop him?
