film_id,decade,file_path,start,end,text_clean,text_raw
uri-the-surgical-strike-2019,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/URI The Surgical Strike (2019).srt,"00:00:24,880","00:00:26,760","'The producer, the director, the artist,","'The producer, the director, the artist,"
uri-the-surgical-strike-2019,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/URI The Surgical Strike (2019).srt,"00:00:26,840","00:00:29,720",'or any other person associated with the film do not intend',"'or any other person associated
with the film do not intend'"
uri-the-surgical-strike-2019,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/URI The Surgical Strike (2019).srt,"00:00:29,840","00:00:34,000","'to hurt or disrespect any person, place, region, country, religion,'","'to hurt or disrespect any person,
place, region, country, religion,'"
uri-the-surgical-strike-2019,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/URI The Surgical Strike (2019).srt,"00:00:34,080","00:00:37,240",'community or religious sentiments.','community or religious sentiments.'
uri-the-surgical-strike-2019,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/URI The Surgical Strike (2019).srt,"00:00:37,520","00:00:42,480",'The filmmaker respects the perspectives and viewpoints of others.',"'The filmmaker respects the perspectives
and viewpoints of others.'"
uri-the-surgical-strike-2019,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/URI The Surgical Strike (2019).srt,"00:03:11,960","00:03:13,840","""O, Sweetheart... ""","""O, Sweetheart... """
uri-the-surgical-strike-2019,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/URI The Surgical Strike (2019).srt,"00:03:13,920","00:03:16,240","""This time when I come home, ""","""This time when I come home, """
uri-the-surgical-strike-2019,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/URI The Surgical Strike (2019).srt,"00:03:16,320","00:03:20,920","""I'll buy you a motorcycle.""","""I'll buy you a motorcycle."""
uri-the-surgical-strike-2019,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/URI The Surgical Strike (2019).srt,"00:03:21,000","00:03:26,080","""I'll make you wear the helmet and hop on the back seat""","""I'll make you wear the helmet
and hop on the back seat"""
uri-the-surgical-strike-2019,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/URI The Surgical Strike (2019).srt,"00:03:26,200","00:03:30,760","""and race my motorcycle ahead.""","""and race my motorcycle ahead."""
uri-the-surgical-strike-2019,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/URI The Surgical Strike (2019).srt,"00:03:30,840","00:03:32,760","""O, Sweetheart...","""O, Sweetheart..."
