film_id,decade,file_path,start,end,text_clean,text_raw
www-tamilrockers-ac-dear-zindagi-2016-hindi-dvdrip-x264-700mb-esubs,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/www.TamilRockers.ac - Dear Zindagi (2016) Hindi DVDRip X264 700MB ESubs.srt,"00:01:54,167","00:01:55,339","Priya, listen to me","Priya, listen to me"
www-tamilrockers-ac-dear-zindagi-2016-hindi-dvdrip-x264-700mb-esubs,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/www.TamilRockers.ac - Dear Zindagi (2016) Hindi DVDRip X264 700MB ESubs.srt,"00:01:55,400","00:01:56,538",Let go of me,Let go of me
www-tamilrockers-ac-dear-zindagi-2016-hindi-dvdrip-x264-700mb-esubs,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/www.TamilRockers.ac - Dear Zindagi (2016) Hindi DVDRip X264 700MB ESubs.srt,"00:01:57,500","00:01:59,446","You always do this, it's always other women","You always do this,
it's always other women"
www-tamilrockers-ac-dear-zindagi-2016-hindi-dvdrip-x264-700mb-esubs,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/www.TamilRockers.ac - Dear Zindagi (2016) Hindi DVDRip X264 700MB ESubs.srt,"00:01:59,500","00:02:01,002",I didn't mean to hurt you,I didn't mean to hurt you
www-tamilrockers-ac-dear-zindagi-2016-hindi-dvdrip-x264-700mb-esubs,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/www.TamilRockers.ac - Dear Zindagi (2016) Hindi DVDRip X264 700MB ESubs.srt,"00:02:01,567","00:02:02,602",Every time you say the same thing,Every time you say the same thing
www-tamilrockers-ac-dear-zindagi-2016-hindi-dvdrip-x264-700mb-esubs,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/www.TamilRockers.ac - Dear Zindagi (2016) Hindi DVDRip X264 700MB ESubs.srt,"00:02:02,867","00:02:04,005",You know how much I love you,You know how much I love you
www-tamilrockers-ac-dear-zindagi-2016-hindi-dvdrip-x264-700mb-esubs,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/www.TamilRockers.ac - Dear Zindagi (2016) Hindi DVDRip X264 700MB ESubs.srt,"00:02:04,067","00:02:05,546","Please, listen to me","Please, listen to me"
www-tamilrockers-ac-dear-zindagi-2016-hindi-dvdrip-x264-700mb-esubs,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/www.TamilRockers.ac - Dear Zindagi (2016) Hindi DVDRip X264 700MB ESubs.srt,"00:02:07,900","00:02:09,106",I love you so much,I love you so much
www-tamilrockers-ac-dear-zindagi-2016-hindi-dvdrip-x264-700mb-esubs,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/www.TamilRockers.ac - Dear Zindagi (2016) Hindi DVDRip X264 700MB ESubs.srt,"00:02:13,033","00:02:13,534",Cut!,Cut!
www-tamilrockers-ac-dear-zindagi-2016-hindi-dvdrip-x264-700mb-esubs,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/www.TamilRockers.ac - Dear Zindagi (2016) Hindi DVDRip X264 700MB ESubs.srt,"00:02:17,033","00:02:18,569","Kaira, good for you?","Kaira, good for you?"
