film_id,decade,file_path,start,end,text_clean,text_raw
83-2022-webrip,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/83.2022.WEBRip.srt,"00:02:21,116","00:02:24,342","Stop, Yash. Stop.","Stop, Yash. Stop."
83-2022-webrip,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/83.2022.WEBRip.srt,"00:02:45,984","00:02:49,456",Pranab-da's dog bit Mr Vajpayee.,Pranab-da's dog bit Mr Vajpayee.
83-2022-webrip,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/83.2022.WEBRip.srt,"00:02:50,596","00:02:53,658",Our Pranab-da? Pranab Mukherjee?,Our Pranab-da? Pranab Mukherjee?
83-2022-webrip,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/83.2022.WEBRip.srt,"00:02:53,846","00:02:55,689",A dog bit him on his walk.,A dog bit him on his walk.
83-2022-webrip,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/83.2022.WEBRip.srt,"00:02:55,926","00:02:58,114",Oh no! Now that's 14 injections.,Oh no! Now that's 14 injections.
83-2022-webrip,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/83.2022.WEBRip.srt,"00:02:58,234","00:02:59,536",That's not written here.,That's not written here.
83-2022-webrip,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/83.2022.WEBRip.srt,"00:02:59,742","00:03:02,453",He has no choice. What is it?,He has no choice. What is it?
83-2022-webrip,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/83.2022.WEBRip.srt,"00:03:02,573","00:03:04,832",- There's eggplant on the pen. - So?,"- There's eggplant on the pen.
- So?"
83-2022-webrip,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/83.2022.WEBRip.srt,"00:03:05,004","00:03:06,974",I told you not to come at lunchtime.,"I told you not to come
at lunchtime."
83-2022-webrip,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/83.2022.WEBRip.srt,"00:03:07,094","00:03:10,084","Eggplant! It's not poison, is it?","Eggplant! It's not poison, is it?"
83-2022-webrip,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/83.2022.WEBRip.srt,"00:03:10,992","00:03:11,602",Strange fellow.,Strange fellow.
83-2022-webrip,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/83.2022.WEBRip.srt,"00:03:11,774","00:03:14,545","- Who eats eggplant every day? - Well, I do.","- Who eats eggplant every day?
- Well, I do."
83-2022-webrip,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/83.2022.WEBRip.srt,"00:03:14,665","00:03:16,126",Every day?,Every day?
83-2022-webrip,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/83.2022.WEBRip.srt,"00:03:16,246","00:03:17,525",I like it.,I like it.
83-2022-webrip,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/83.2022.WEBRip.srt,"00:03:17,645","00:03:18,919",Careful.,Careful.
83-2022-webrip,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/83.2022.WEBRip.srt,"00:03:20,071","00:03:21,103",What's this?,What's this?
83-2022-webrip,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/83.2022.WEBRip.srt,"00:03:23,368","00:03:24,705",- Well? - An invitation.,"- Well?
- An invitation."
83-2022-webrip,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/83.2022.WEBRip.srt,"00:03:24,825","00:03:26,662",- To what? - The World Cup.,"- To what?
- The World Cup."
83-2022-webrip,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/83.2022.WEBRip.srt,"00:03:26,995","00:03:28,106",Really?,Really?
83-2022-webrip,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/83.2022.WEBRip.srt,"00:03:28,824","00:03:31,100",The dacoit Phoolan Devi is surrendering.,"The dacoit Phoolan Devi
is surrendering."
83-2022-webrip,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/83.2022.WEBRip.srt,"00:03:31,276","00:03:34,003",- I hear she's beautiful. - There's no photo.,"- I hear she's beautiful.
- There's no photo."
83-2022-webrip,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/83.2022.WEBRip.srt,"00:03:34,587","00:03:37,426",Look! The launch of the Maruti car.,Look! The launch of the Maruti car.
83-2022-webrip,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/83.2022.WEBRip.srt,"00:03:46,801","00:03:49,024","Kapil Dev, Mohinder Amarnath,","Kapil Dev, Mohinder Amarnath,"
83-2022-webrip,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/83.2022.WEBRip.srt,"00:03:49,425","00:03:52,993","Madan Lal, Kirti Azad, Sunil Valson.","Madan Lal, Kirti Azad,
Sunil Valson."
83-2022-webrip,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/83.2022.WEBRip.srt,"00:03:53,482","00:03:55,895","Why are you taking their bags with you, Mr Singh?","Why are you taking their
bags with you, Mr Singh?"
83-2022-webrip,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/83.2022.WEBRip.srt,"00:03:56,323","00:03:59,773","Because they're already in England, playing County Cricket.","Because they're already in England,
playing County Cricket."
83-2022-webrip,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/83.2022.WEBRip.srt,"00:03:59,893","00:04:00,893",Congrats.,Congrats.
83-2022-webrip,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/83.2022.WEBRip.srt,"00:04:01,055","00:04:03,347",You mean they've replaced Gavaskar with this guy as captain?,"You mean they've replaced Gavaskar
with this guy as captain?"
83-2022-webrip,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/83.2022.WEBRip.srt,"00:04:03,371","00:04:04,061",Hey!,Hey!
