film_id,decade,file_path,start,end,text_clean,text_raw
animal-2023-1080p-nf-web-dl-ddp5-1-h,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Animal.2023.1080p.NF.WEB-DL.DDP5.1.H.srt,"00:01:00,041","00:01:01,666",POWER PROGRESS VICTORY,POWER PROGRESS VICTORY
animal-2023-1080p-nf-web-dl-ddp5-1-h,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Animal.2023.1080p.NF.WEB-DL.DDP5.1.H.srt,"00:01:06,500","00:01:09,958","40th birthday, 50th birthday, 60th birthday...","40th birthday, 50th birthday,
60th birthday..."
animal-2023-1080p-nf-web-dl-ddp5-1-h,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Animal.2023.1080p.NF.WEB-DL.DDP5.1.H.srt,"00:01:12,291","00:01:13,750",There hasn't been a single birthday,There hasn't been a single birthday
animal-2023-1080p-nf-web-dl-ddp5-1-h,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Animal.2023.1080p.NF.WEB-DL.DDP5.1.H.srt,"00:01:13,833","00:01:16,375","where I peacefully greeted him with ""Happy birthday, Papa.""","where I peacefully greeted him
with ""Happy birthday, Papa."""
animal-2023-1080p-nf-web-dl-ddp5-1-h,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Animal.2023.1080p.NF.WEB-DL.DDP5.1.H.srt,"00:01:20,250","00:01:24,000",We always fought over one thing or another.,"We always fought over
one thing or another."
animal-2023-1080p-nf-web-dl-ddp5-1-h,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Animal.2023.1080p.NF.WEB-DL.DDP5.1.H.srt,"00:01:25,791","00:01:27,416","Brother, it's seven o'clock in the morning.","Brother, it's seven o'clock
in the morning."
animal-2023-1080p-nf-web-dl-ddp5-1-h,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Animal.2023.1080p.NF.WEB-DL.DDP5.1.H.srt,"00:01:27,916","00:01:29,125",How much more do you wish to drink?,How much more do you wish to drink?
animal-2023-1080p-nf-web-dl-ddp5-1-h,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Animal.2023.1080p.NF.WEB-DL.DDP5.1.H.srt,"00:01:29,666","00:01:33,500","Papa used to say that when your son will become like you,","Papa used to say that
when your son will become like you,"
animal-2023-1080p-nf-web-dl-ddp5-1-h,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Animal.2023.1080p.NF.WEB-DL.DDP5.1.H.srt,"00:01:34,416","00:01:35,625",then you'll understand how I feel.,{\an8}then you'll understand how I feel.
animal-2023-1080p-nf-web-dl-ddp5-1-h,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Animal.2023.1080p.NF.WEB-DL.DDP5.1.H.srt,"00:01:39,833","00:01:42,208","And I used to tell him, ""Papa, when I didn't turn out to be like you...","{\an8}And I used to tell him, ""Papa, when
I didn't turn out to be like you..."
animal-2023-1080p-nf-web-dl-ddp5-1-h,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Animal.2023.1080p.NF.WEB-DL.DDP5.1.H.srt,"00:01:43,541","00:01:45,625","then why would my son turn out to be like me?""","then why would my son
turn out to be like me?"""
animal-2023-1080p-nf-web-dl-ddp5-1-h,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Animal.2023.1080p.NF.WEB-DL.DDP5.1.H.srt,"00:01:55,000","00:01:56,208","Once upon a time, there was this king","Once upon a time,
there was this king"
animal-2023-1080p-nf-web-dl-ddp5-1-h,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Animal.2023.1080p.NF.WEB-DL.DDP5.1.H.srt,"00:01:56,291","00:01:58,500","who had a sexy daughter, a young princess.","who had a sexy daughter,
a young princess."
animal-2023-1080p-nf-web-dl-ddp5-1-h,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Animal.2023.1080p.NF.WEB-DL.DDP5.1.H.srt,"00:01:59,750","00:02:01,416","One day, she was taking a bath out in the jungle,","One day, she was taking
a bath out in the jungle,"
animal-2023-1080p-nf-web-dl-ddp5-1-h,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Animal.2023.1080p.NF.WEB-DL.DDP5.1.H.srt,"00:02:01,500","00:02:04,208",and this monkey showed up and started mimicking and teasing her.,"and this monkey showed up
and started mimicking and teasing her."
animal-2023-1080p-nf-web-dl-ddp5-1-h,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Animal.2023.1080p.NF.WEB-DL.DDP5.1.H.srt,"00:02:04,750","00:02:07,291",Princess got angry and splashed water at the monkey.,"Princess got angry
and splashed water at the monkey."
animal-2023-1080p-nf-web-dl-ddp5-1-h,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Animal.2023.1080p.NF.WEB-DL.DDP5.1.H.srt,"00:02:07,875","00:02:10,083","The monkey splashed water back at her, and he gestured...","The monkey splashed water
back at her, and he gestured..."
