film_id,decade,file_path,start,end,text_clean,text_raw
dunki-2023-1080p-nf-web-dl-ddp5-1-h-264-kingkhan,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Dunki. 2023. 1080p. NF. WEB-DL. DDP5. 1. H. 264-KiNGKHAN.srt,"00:01:18,000","00:01:21,666","World War 2 caused numerous deaths in Britain,","<i>World War 2 caused
numerous deaths in Britain,</i>"
dunki-2023-1080p-nf-web-dl-ddp5-1-h-264-kingkhan,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Dunki. 2023. 1080p. NF. WEB-DL. DDP5. 1. H. 264-KiNGKHAN.srt,"00:01:21,750","00:01:24,333",leading to a scarcity of labor in England,<i>leading to a scarcity of labor in England</i>
dunki-2023-1080p-nf-web-dl-ddp5-1-h-264-kingkhan,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Dunki. 2023. 1080p. NF. WEB-DL. DDP5. 1. H. 264-KiNGKHAN.srt,"00:01:24,958","00:01:28,666",for working on their farms and in factories.,"<i>for working on their farms
and in factories.</i>"
dunki-2023-1080p-nf-web-dl-ddp5-1-h-264-kingkhan,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Dunki. 2023. 1080p. NF. WEB-DL. DDP5. 1. H. 264-KiNGKHAN.srt,"00:01:28,875","00:01:31,458","So, they encouraged migration from India.","<i>So, they encouraged migration from India.</i>"
dunki-2023-1080p-nf-web-dl-ddp5-1-h-264-kingkhan,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Dunki. 2023. 1080p. NF. WEB-DL. DDP5. 1. H. 264-KiNGKHAN.srt,"00:01:32,166","00:01:35,000",Youth from Punjab settled in England.,<i>Youth from Punjab settled in England.</i>
dunki-2023-1080p-nf-web-dl-ddp5-1-h-264-kingkhan,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Dunki. 2023. 1080p. NF. WEB-DL. DDP5. 1. H. 264-KiNGKHAN.srt,"00:01:35,541","00:01:39,500","Witnessing their advancements, more people were tempted to move.","<i>Witnessing their advancements,
more people were tempted to move.</i>"
dunki-2023-1080p-nf-web-dl-ddp5-1-h-264-kingkhan,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Dunki. 2023. 1080p. NF. WEB-DL. DDP5. 1. H. 264-KiNGKHAN.srt,"00:01:40,166","00:01:44,333",The Commonwealth Immigration Act of 1962 put a stop to migration.,"<i>The Commonwealth Immigration Act of 1962
put a stop to migration.</i>"
dunki-2023-1080p-nf-web-dl-ddp5-1-h-264-kingkhan,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Dunki. 2023. 1080p. NF. WEB-DL. DDP5. 1. H. 264-KiNGKHAN.srt,"00:01:44,958","00:01:47,041",It was no longer easy to go to England.,<i>It was no longer easy to go to England.</i>
dunki-2023-1080p-nf-web-dl-ddp5-1-h-264-kingkhan,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Dunki. 2023. 1080p. NF. WEB-DL. DDP5. 1. H. 264-KiNGKHAN.srt,"00:01:47,750","00:01:50,875",But the dream to settle in England persisted.,"<i>But the dream
to settle in England persisted.</i>"
dunki-2023-1080p-nf-web-dl-ddp5-1-h-264-kingkhan,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Dunki. 2023. 1080p. NF. WEB-DL. DDP5. 1. H. 264-KiNGKHAN.srt,"00:02:53,250","00:02:54,250",Hey!,Hey!
