film_id,decade,file_path,start,end,text_clean,text_raw
fighter-2024-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Fighter.2024.HINDI.WEBRip.NF.en.srt,"00:00:01,000","00:00:02,250","THIS FILM IS A TRIBUTE TO THE INDIAN AIR FORCE,","THIS FILM IS A TRIBUTE
TO THE INDIAN AIR FORCE,"
fighter-2024-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Fighter.2024.HINDI.WEBRip.NF.en.srt,"00:00:02,333","00:00:03,875","THE MAKERS OF THE FILM SALUTE THE COURAGE,","THE MAKERS OF THE FILM
SALUTE THE COURAGE,"
fighter-2024-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Fighter.2024.HINDI.WEBRip.NF.en.srt,"00:00:03,958","00:00:05,500","BRAVERY AND GALLANTRY OF THE INDIAN AIR FORCE,","BRAVERY AND GALLANTRY
OF THE INDIAN AIR FORCE,"
fighter-2024-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Fighter.2024.HINDI.WEBRip.NF.en.srt,"00:00:05,583","00:00:06,916",WHO VALIANTLY FIGHT FOR OUR COUNTRY AND FOR HUMANITY.,"WHO VALIANTLY FIGHT FOR OUR COUNTRY
AND FOR HUMANITY."
fighter-2024-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Fighter.2024.HINDI.WEBRip.NF.en.srt,"00:01:26,333","00:01:27,458","THIS FILM IS A TRIBUTE TO THE FEARLESS AIR WARRIORS OF THE INDIAN AIR FORCE,","THIS FILM IS A TRIBUTE TO THE FEARLESS
AIR WARRIORS OF THE INDIAN AIR FORCE,"
fighter-2024-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Fighter.2024.HINDI.WEBRip.NF.en.srt,"00:01:27,541","00:01:28,750","PAST AND PRESENT, WHO HAVE DEDICATED THEIR LIVES TO DEFENDING OUR SKIES","PAST AND PRESENT, WHO HAVE DEDICATED
THEIR LIVES TO DEFENDING OUR SKIES"
fighter-2024-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Fighter.2024.HINDI.WEBRip.NF.en.srt,"00:01:28,833","00:01:30,750",AND BORDERS WITH UNPARALLELED COURAGE AND UNWAVERING COMMITMENT.,"AND BORDERS WITH UNPARALLELED COURAGE
AND UNWAVERING COMMITMENT."
fighter-2024-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Fighter.2024.HINDI.WEBRip.NF.en.srt,"00:01:31,041","00:01:32,708",WE ARE GRATEFUL TO THE MINISTRY OF DEFENCE INDIA,"WE ARE GRATEFUL TO
THE MINISTRY OF DEFENCE INDIA"
fighter-2024-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Fighter.2024.HINDI.WEBRip.NF.en.srt,"00:01:32,791","00:01:34,666",WE ARE GRATEFUL TO THE INDIAN AIR FORCE,"WE ARE GRATEFUL TO
THE INDIAN AIR FORCE"
fighter-2024-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Fighter.2024.HINDI.WEBRip.NF.en.srt,"00:01:54,791","00:01:57,833",As-Salaam-Alaikum. My name is Faizan Hamid.,"As-Salaam-Alaikum.
My name is Faizan Hamid."
fighter-2024-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Fighter.2024.HINDI.WEBRip.NF.en.srt,"00:01:58,875","00:02:01,125",I joined Jaish one year ago.,I joined Jaish one year ago.
fighter-2024-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Fighter.2024.HINDI.WEBRip.NF.en.srt,"00:02:02,041","00:02:04,375","And after waiting for one whole year,","And after waiting for one whole year,"
fighter-2024-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Fighter.2024.HINDI.WEBRip.NF.en.srt,"00:02:04,958","00:02:06,666",by God's grace that day has arrived,by God's grace that day has arrived
fighter-2024-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Fighter.2024.HINDI.WEBRip.NF.en.srt,"00:02:07,333","00:02:09,166",when I am about to accomplish my life's purpose.,"when I am about
to accomplish my life's purpose."
fighter-2024-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Fighter.2024.HINDI.WEBRip.NF.en.srt,"00:02:10,083","00:02:12,166",This is my last message to Kashmir.,This is my last message to Kashmir.
fighter-2024-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Fighter.2024.HINDI.WEBRip.NF.en.srt,"00:02:13,041","00:02:16,791","By the time you watch this video, I will be in heaven.","By the time you watch this video,
I will be in heaven."
fighter-2024-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Fighter.2024.HINDI.WEBRip.NF.en.srt,"00:02:16,916","00:02:19,083",My fight is for Kashmir.,My fight is for Kashmir.
fighter-2024-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Fighter.2024.HINDI.WEBRip.NF.en.srt,"00:02:19,458","00:02:21,541",My fight is for freedom.,My fight is for freedom.
fighter-2024-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Fighter.2024.HINDI.WEBRip.NF.en.srt,"00:02:22,000","00:02:22,916",Inshallah.,Inshallah.
fighter-2024-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Fighter.2024.HINDI.WEBRip.NF.en.srt,"00:02:24,666","00:02:26,833",ONE YEAR AGO,ONE YEAR AGO
fighter-2024-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Fighter.2024.HINDI.WEBRip.NF.en.srt,"00:02:27,125","00:02:30,208",We have just received breaking news from Srinagar...,"{\an8}<i>We have just received
breaking news from Srinagar...</i>"
fighter-2024-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Fighter.2024.HINDI.WEBRip.NF.en.srt,"00:02:30,291","00:02:31,208","MANSEHRA, PAKISTAN 2018","{\an8}MANSEHRA, PAKISTAN 2018"
fighter-2024-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Fighter.2024.HINDI.WEBRip.NF.en.srt,"00:02:31,333","00:02:32,958","that ""Operation All Out"" has succeeded.","<i>that ""Operation All Out""
has succeeded.</i>"
fighter-2024-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Fighter.2024.HINDI.WEBRip.NF.en.srt,"00:02:33,083","00:02:36,500","The most dangerous militant of the Kashmir valley, Ruhaan Ghani,","{\an8}<i>The most dangerous militant
of the Kashmir valley, Ruhaan Ghani,</i>"
fighter-2024-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Fighter.2024.HINDI.WEBRip.NF.en.srt,"00:02:36,583","00:02:40,416",has been shot down by the Indian army after a 48-hour operation.,"<i>has been shot down by
the Indian army after a 48-hour operation.</i>"
fighter-2024-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Fighter.2024.HINDI.WEBRip.NF.en.srt,"00:02:40,500","00:02:42,583",This special operation by the Indian government,"<i>This special operation
by the Indian government</i>"
fighter-2024-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Fighter.2024.HINDI.WEBRip.NF.en.srt,"00:02:42,666","00:02:45,041",has eradicated almost all traces of terrorism in the state.,"{\an8}<i>has eradicated almost all
traces of terrorism in the state.</i>"
fighter-2024-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Fighter.2024.HINDI.WEBRip.NF.en.srt,"00:02:45,708","00:02:46,833",Years of our hard work,Years of our hard work
fighter-2024-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Fighter.2024.HINDI.WEBRip.NF.en.srt,"00:02:46,916","00:02:48,708",has been destroyed in just a few weeks by the Indians.,"has been destroyed
in just a few weeks by the Indians."
