film_id,decade,file_path,start,end,text_clean,text_raw
ghoomer-2023-hindi-1080p-zee5-webrip-dd-5-1-h,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Ghoomer.2023.HINDI.1080p.ZEE5.WEBRip.DD+5.1.H.srt,"00:02:49,120","00:02:51,560","""Let's dance, baby...""","""Let's dance, baby..."""
ghoomer-2023-hindi-1080p-zee5-webrip-dd-5-1-h,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Ghoomer.2023.HINDI.1080p.ZEE5.WEBRip.DD+5.1.H.srt,"00:02:53,960","00:02:55,080","Bro, stop...","Bro, stop..."
ghoomer-2023-hindi-1080p-zee5-webrip-dd-5-1-h,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Ghoomer.2023.HINDI.1080p.ZEE5.WEBRip.DD+5.1.H.srt,"00:02:55,480","00:02:56,480",Stop.,Stop.
ghoomer-2023-hindi-1080p-zee5-webrip-dd-5-1-h,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Ghoomer.2023.HINDI.1080p.ZEE5.WEBRip.DD+5.1.H.srt,"00:03:03,040","00:03:05,080",What a lucky umpire.,What a lucky umpire.
ghoomer-2023-hindi-1080p-zee5-webrip-dd-5-1-h,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Ghoomer.2023.HINDI.1080p.ZEE5.WEBRip.DD+5.1.H.srt,"00:03:05,280","00:03:06,360","I swear, man.","I swear, man."
ghoomer-2023-hindi-1080p-zee5-webrip-dd-5-1-h,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Ghoomer.2023.HINDI.1080p.ZEE5.WEBRip.DD+5.1.H.srt,"00:03:06,520","00:03:09,160",She'll look so good running in slow motion...,"She'll look so good running
in slow motion..."
ghoomer-2023-hindi-1080p-zee5-webrip-dd-5-1-h,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Ghoomer.2023.HINDI.1080p.ZEE5.WEBRip.DD+5.1.H.srt,"00:03:09,880","00:03:13,200",No wonder women's cricket is so popular.,No wonder women's cricket is so popular.
ghoomer-2023-hindi-1080p-zee5-webrip-dd-5-1-h,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Ghoomer.2023.HINDI.1080p.ZEE5.WEBRip.DD+5.1.H.srt,"00:03:15,160","00:03:16,760","Play with us too, madam.","Play with us too, madam."
ghoomer-2023-hindi-1080p-zee5-webrip-dd-5-1-h,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Ghoomer.2023.HINDI.1080p.ZEE5.WEBRip.DD+5.1.H.srt,"00:03:16,880","00:03:18,200",Let us bat...,Let us bat...
ghoomer-2023-hindi-1080p-zee5-webrip-dd-5-1-h,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Ghoomer.2023.HINDI.1080p.ZEE5.WEBRip.DD+5.1.H.srt,"00:03:18,320","00:03:19,120",on your pitch!,on your pitch!
