film_id,decade,file_path,start,end,text_clean,text_raw
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:01:15,139","00:01:18,099","""It could mean nothing, but everything too.""","""It could mean nothing,
but everything too."""
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:01:18,539","00:01:21,499","""Such is the uniqueness of paper.""","""Such is the uniqueness of paper."""
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:01:21,939","00:01:24,299","""Floating like boats in the monsoon.""","""Floating like boats in the monsoon."""
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:01:24,699","00:01:26,739","""Burning in the flame in the winter.""","""Burning in the flame in the winter."""
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:01:27,419","00:01:29,819","""Soaring in the skies as a kite.""","""Soaring in the skies as a kite."""
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:01:30,059","00:01:32,659","""The entire world has turned bitter enemies over me.""","""The entire world has
turned bitter enemies over me."""
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:02:15,767","00:02:17,287",What happened?,What happened?
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:02:17,647","00:02:19,487",Did you see a nightmare?,Did you see a nightmare?
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:02:19,847","00:02:21,327",Not a nightmare.,Not a nightmare.
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:02:22,152","00:02:26,441",It was some...a kind of premonition.,It was some...a kind of premonition.
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:02:28,089","00:02:30,659",I saw that...you were kicking *** in the middle of the city.,"I saw that...you were
kicking *** in the middle of the city."
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:02:32,007","00:02:37,247","And in that bard suit, you looked just like Rajesh Khanna .","And in that bard suit, you
looked just like Rajesh Khanna(star)."
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:02:37,327","00:02:41,087",Stop dreaming and get real.,Stop dreaming and get real.
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:02:42,047","00:02:43,407",And the reality is that I'm Bharat Lal...,"And the reality is
that I'm Bharat Lal..."
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:02:43,487","00:02:44,767",...and quite happy with who I am.,...and quite happy with who I am.
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:02:46,567","00:02:49,927",'The majority of the population in our country...',"'The majority of the
population in our country...'"
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:02:50,247","00:02:53,967",'...are those whom we call The Common Man.',"'...are those whom
we call The Common Man.'"
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:02:54,487","00:03:00,567",'And today I'm going to narrate the unique story of one such commoner...',"'And today I'm going to narrate the
unique story of one such commoner...'"
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:03:00,687","00:03:05,767","'...who lived in Amilo village, of Azamgarh district in Uttar Pradesh.","'...who lived in Amilo village,
of Azamgarh district in Uttar Pradesh."
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:03:05,847","00:03:08,127","'And without the struggles in his life,","'And without the
struggles in his life,"
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:03:08,207","00:03:09,967",...he might have continued to remain a common man.',"...he might have continued
to remain a common man.'"
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:03:10,047","00:03:12,687","""Prayer.""","""Prayer."""
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:03:12,767","00:03:15,767","""Prayer.""","""Prayer."""
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:03:15,847","00:03:18,287","""Prayer.""","""Prayer."""
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:03:18,367","00:03:22,247","""Prayer.""","""Prayer."""
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:03:27,407","00:03:30,887",I leave no dearth in your service...,I leave no dearth in your service...
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:03:31,327","00:03:34,807",...while your vessel wreaks havoc in my shop.,"...while your vessel
wreaks havoc in my shop."
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:03:35,393","00:03:36,767",But he's finally landed in the hangar.,But he's finally landed in the hangar.
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:03:36,847","00:03:39,527",And this time I'll fix him for good.,And this time I'll fix him for good.
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:03:40,833","00:03:42,607","- Motiya, Ramphal. - Yes, brother.","- Motiya, Ramphal.
- Yes, brother."
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:03:43,287","00:03:46,287",Practise '...Mere Mehboob'.,Practise '...Mere Mehboob'.
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:03:46,367","00:03:48,727",It's top on the radio's playlist due to public demand.,"It's top on the radio's
playlist due to public demand."
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:03:48,807","00:03:49,447",So practice that.,So practice that.
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:03:49,527","00:03:50,247",Okay.,Okay.
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:03:50,327","00:03:52,047",From the top.,From the top.
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:03:54,967","00:03:57,207","And, you are coming with me, my love.","And, you are coming with me, my love."
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:03:57,807","00:04:00,887",I have a different song for you on my mind.,"I have a different
song for you on my mind."
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:04:01,247","00:04:05,647","""My beloved's arrived...""","""My beloved's arrived..."""
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:04:05,727","00:04:08,407","""O Spring...""","""O Spring..."""
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:04:09,007","00:04:11,687","Motiya, he's not going to kill him.","Motiya, he's not going to kill him."
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:04:12,087","00:04:13,727",Just let him go somewhere far from here.,"Just let him go
somewhere far from here."
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:04:13,807","00:04:15,447",That's his nature.,That's his nature.
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:04:18,327","00:04:24,847","Well, I admit that you're my Lord Ganesh' personal vessel.","Well, I admit that you're
my Lord Ganesh' personal vessel."
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:04:25,687","00:04:31,167","But, don't let me catch you lurking in my shop again.","But, don't let me catch
you lurking in my shop again."
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:04:31,927","00:04:36,007","When you gnaw my gear, I lose work.","When you gnaw my gear, I lose work."
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:04:36,287","00:04:38,887","And when you gnaw my uniform, I lose my reputation.","And when you gnaw my uniform,
I lose my reputation."
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:04:39,207","00:04:40,887",I am letting you go today.,I am letting you go today.
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:04:41,087","00:04:42,527",But if I ever catch you again in my shop...,"But if I ever catch
you again in my shop..."
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:04:42,807","00:04:44,887","...then, you'll see a different side of me which you won't like.","...then, you'll see a different
side of me which you won't like."
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:04:45,247","00:04:46,087",Understood.,Understood.
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:04:48,487","00:04:50,247","Greetings, sir.","Greetings, sir."
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:04:50,607","00:04:51,847",Out taking care of our mouse troubles.,Out taking care of our mouse troubles.
kaagaz-2021-hindi-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/KAAGAZ (2021) Hindi TRUE WEB-DL - ESub.srt,"00:04:52,567","00:04:53,567",Stop it.,Stop it.
