film_id,decade,file_path,start,end,text_clean,text_raw
omg-2-2023-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/OMG. 2. 2023. HINDI. WEBRip. NF. en.srt,"00:02:26,208","00:02:28,875",Worshippers arriving from different cities,"{\an8}<i>Worshippers arriving
from different cities</i>"
omg-2-2023-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/OMG. 2. 2023. HINDI. WEBRip. NF. en.srt,"00:02:28,958","00:02:30,958",are welcome to the City of Mahakaal.,<i>are welcome to the City of Mahakaal.</i>
omg-2-2023-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/OMG. 2. 2023. HINDI. WEBRip. NF. en.srt,"00:02:31,125","00:02:32,250",Hail Lord Mahakaal!,<i>Hail Lord Mahakaal!</i>
omg-2-2023-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/OMG. 2. 2023. HINDI. WEBRip. NF. en.srt,"00:02:32,333","00:02:34,541",Hail Lord Mahakaal!,{\an8}Hail Lord Mahakaal!
omg-2-2023-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/OMG. 2. 2023. HINDI. WEBRip. NF. en.srt,"00:02:34,625","00:02:36,708",MORNING SEVEN O'CLOCK,"{\an8}MORNING
SEVEN O'CLOCK"
omg-2-2023-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/OMG. 2. 2023. HINDI. WEBRip. NF. en.srt,"00:02:37,750","00:02:40,250",Hail Lord Mahakaal!,Hail Lord Mahakaal!
omg-2-2023-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/OMG. 2. 2023. HINDI. WEBRip. NF. en.srt,"00:02:40,583","00:02:43,000",Hail Lord Mahakaal!,Hail Lord Mahakaal!
omg-2-2023-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/OMG. 2. 2023. HINDI. WEBRip. NF. en.srt,"00:02:43,500","00:02:46,041",Hail Lord Mahakaal!,Hail Lord Mahakaal!
omg-2-2023-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/OMG. 2. 2023. HINDI. WEBRip. NF. en.srt,"00:02:46,416","00:02:48,916",Hail Lord Mahakaal!,Hail Lord Mahakaal!
omg-2-2023-hindi-webrip-nf-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/OMG. 2. 2023. HINDI. WEBRip. NF. en.srt,"00:02:49,375","00:02:51,375",Hail Lord Mahakaal!,Hail Lord Mahakaal!
