film_id,decade,file_path,start,end,text_clean,text_raw
the-kashmir-files-2022-1080p-multi-web-dl-h-264-ddp5-1-nbt,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/The.Kashmir.Files.2022.1080p.MULTi.WEB-DL.H.264.DDP5.1-NbT.srt,"00:02:28,608","00:02:31,757","Come on, what can Sachin do? He's not a good player.","Come on, what can Sachin do?
He's not a good player."
the-kashmir-files-2022-1080p-multi-web-dl-h-264-ddp5-1-nbt,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/The.Kashmir.Files.2022.1080p.MULTi.WEB-DL.H.264.DDP5.1-NbT.srt,"00:02:31,834","00:02:35,904",He can't play a single good shot.,He can't play a single good shot.
the-kashmir-files-2022-1080p-multi-web-dl-h-264-ddp5-1-nbt,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/The.Kashmir.Files.2022.1080p.MULTi.WEB-DL.H.264.DDP5.1-NbT.srt,"00:02:55,066","00:02:56,986","- Hey, Shiva! - Hey, Abdul!","- Hey, Shiva!
- Hey, Abdul!"
the-kashmir-files-2022-1080p-multi-web-dl-h-264-ddp5-1-nbt,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/The.Kashmir.Files.2022.1080p.MULTi.WEB-DL.H.264.DDP5.1-NbT.srt,"00:03:06,355","00:03:08,198","Sachin, Sachin!","Sachin, Sachin!"
the-kashmir-files-2022-1080p-multi-web-dl-h-264-ddp5-1-nbt,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/The.Kashmir.Files.2022.1080p.MULTi.WEB-DL.H.264.DDP5.1-NbT.srt,"00:03:08,506","00:03:10,848","Sachin, Sachin!","Sachin, Sachin!"
the-kashmir-files-2022-1080p-multi-web-dl-h-264-ddp5-1-nbt,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/The.Kashmir.Files.2022.1080p.MULTi.WEB-DL.H.264.DDP5.1-NbT.srt,"00:03:10,925","00:03:13,958","- Sachin, Sachin! - Stop screaming Sachin's name.","- Sachin, Sachin!
- Stop screaming Sachin's name."
the-kashmir-files-2022-1080p-multi-web-dl-h-264-ddp5-1-nbt,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/The.Kashmir.Files.2022.1080p.MULTi.WEB-DL.H.264.DDP5.1-NbT.srt,"00:03:14,112","00:03:15,878",- But why Abdul? - Look over there.,"- But why Abdul?
- Look over there."
the-kashmir-files-2022-1080p-multi-web-dl-h-264-ddp5-1-nbt,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/The.Kashmir.Files.2022.1080p.MULTi.WEB-DL.H.264.DDP5.1-NbT.srt,"00:03:15,955","00:03:17,338",The big guys are watching. They will have a problem.,"The big guys are watching.
They will have a problem."
the-kashmir-files-2022-1080p-multi-web-dl-h-264-ddp5-1-nbt,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/The.Kashmir.Files.2022.1080p.MULTi.WEB-DL.H.264.DDP5.1-NbT.srt,"00:03:17,453","00:03:20,909",I'll chop that Sachin's legs off and hand them over to him.,"I'll chop that Sachin's legs
off and hand them over to him."
the-kashmir-files-2022-1080p-multi-web-dl-h-264-ddp5-1-nbt,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/The.Kashmir.Files.2022.1080p.MULTi.WEB-DL.H.264.DDP5.1-NbT.srt,"00:03:25,939","00:03:28,627",You bloody Sachin Tendulkar fan!,You bloody Sachin Tendulkar fan!
