film_id,decade,file_path,start,end,text_clean,text_raw
vikram-vedha-2022-jiocinema-synced-english-subtitle-by-ronaldo9r9-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Vikram.Vedha.2022.Jiocinema.Synced.English.Subtitle-By.Ronaldo9R9.en.srt,"00:01:46,318","00:01:48,917","Once upon a time many years ago,","<i>Once upon a time many years ago,</i>"
vikram-vedha-2022-jiocinema-synced-english-subtitle-by-ronaldo9r9-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Vikram.Vedha.2022.Jiocinema.Synced.English.Subtitle-By.Ronaldo9R9.en.srt,"00:01:49,637","00:01:53,278",there was a prosperous kingdom,<i>there was a prosperous kingdom</i>
vikram-vedha-2022-jiocinema-synced-english-subtitle-by-ronaldo9r9-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Vikram.Vedha.2022.Jiocinema.Synced.English.Subtitle-By.Ronaldo9R9.en.srt,"00:01:53,758","00:01:57,078",whose ruler was the brave Vikramaditya.,"<i>whose ruler was the brave
Vikramaditya.</i>"
vikram-vedha-2022-jiocinema-synced-english-subtitle-by-ronaldo9r9-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Vikram.Vedha.2022.Jiocinema.Synced.English.Subtitle-By.Ronaldo9R9.en.srt,"00:02:00,558","00:02:02,838",A terrible drought fell upon the land.,"<i>A terrible drought fell upon
the land.</i>"
vikram-vedha-2022-jiocinema-synced-english-subtitle-by-ronaldo9r9-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Vikram.Vedha.2022.Jiocinema.Synced.English.Subtitle-By.Ronaldo9R9.en.srt,"00:02:03,158","00:02:05,958",People were dying of hunger and thirst.,"<i>People were dying of hunger
and thirst.</i>"
vikram-vedha-2022-jiocinema-synced-english-subtitle-by-ronaldo9r9-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Vikram.Vedha.2022.Jiocinema.Synced.English.Subtitle-By.Ronaldo9R9.en.srt,"00:02:06,798","00:02:10,478",Vikramaditya was deeply upset by his people's plight.,"<i>Vikramaditya was deeply upset
by his people's plight.</i>"
vikram-vedha-2022-jiocinema-synced-english-subtitle-by-ronaldo9r9-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Vikram.Vedha.2022.Jiocinema.Synced.English.Subtitle-By.Ronaldo9R9.en.srt,"00:02:12,038","00:02:15,558",A sorcerer then came to the King and said:,"<i>A sorcerer then came to the King
and said:</i>"
vikram-vedha-2022-jiocinema-synced-english-subtitle-by-ronaldo9r9-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Vikram.Vedha.2022.Jiocinema.Synced.English.Subtitle-By.Ronaldo9R9.en.srt,"00:02:16,998","00:02:23,479","""Vikramaditya, in the Vindhyachal caves, a body hangs from a banyan tree.","<i>""Vikramaditya, in the Vindhyachal caves,
a body hangs from a banyan tree.</i>"
vikram-vedha-2022-jiocinema-synced-english-subtitle-by-ronaldo9r9-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Vikram.Vedha.2022.Jiocinema.Synced.English.Subtitle-By.Ronaldo9R9.en.srt,"00:02:24,038","00:02:27,119","""The great Betaal lives within the tree.","<i>""The great Betaal lives within the tree.</i>"
vikram-vedha-2022-jiocinema-synced-english-subtitle-by-ronaldo9r9-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Vikram.Vedha.2022.Jiocinema.Synced.English.Subtitle-By.Ronaldo9R9.en.srt,"00:02:28,159","00:02:34,439","""Bring Betaal to me so I shall burn him and make your kingdom drought free.""","<i>""Bring Betaal to me so I shall burn him
and make your kingdom drought free.""</i>"
vikram-vedha-2022-jiocinema-synced-english-subtitle-by-ronaldo9r9-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Vikram.Vedha.2022.Jiocinema.Synced.English.Subtitle-By.Ronaldo9R9.en.srt,"00:02:35,839","00:02:38,199","Hearing this, the King set off on his journey.","<i>Hearing this, the King set off
on his journey.</i>"
vikram-vedha-2022-jiocinema-synced-english-subtitle-by-ronaldo9r9-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Vikram.Vedha.2022.Jiocinema.Synced.English.Subtitle-By.Ronaldo9R9.en.srt,"00:02:40,479","00:02:45,000",The journey was long and filled with treacherous obstacles.,"<i>The journey was long and filled
with treacherous obstacles.</i>"
vikram-vedha-2022-jiocinema-synced-english-subtitle-by-ronaldo9r9-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Vikram.Vedha.2022.Jiocinema.Synced.English.Subtitle-By.Ronaldo9R9.en.srt,"00:02:48,240","00:02:51,759","""Beware! Betaal will narrate stories to you.","<i>""Beware! Betaal will narrate stories
to you.</i>"
vikram-vedha-2022-jiocinema-synced-english-subtitle-by-ronaldo9r9-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Vikram.Vedha.2022.Jiocinema.Synced.English.Subtitle-By.Ronaldo9R9.en.srt,"00:02:52,280","00:02:54,720","""And ask you questions about the story.","<i>""And ask you questions about the story.</i>"
vikram-vedha-2022-jiocinema-synced-english-subtitle-by-ronaldo9r9-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Vikram.Vedha.2022.Jiocinema.Synced.English.Subtitle-By.Ronaldo9R9.en.srt,"00:02:54,840","00:02:57,680","""If you stay silent, yet know the answer,","<i>""If you stay silent, yet know
the answer,</i>"
vikram-vedha-2022-jiocinema-synced-english-subtitle-by-ronaldo9r9-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Vikram.Vedha.2022.Jiocinema.Synced.English.Subtitle-By.Ronaldo9R9.en.srt,"00:02:57,800","00:03:00,920","""your head will explode into thousand pieces.","<i>""your head will explode
into thousand pieces.</i>"
vikram-vedha-2022-jiocinema-synced-english-subtitle-by-ronaldo9r9-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Vikram.Vedha.2022.Jiocinema.Synced.English.Subtitle-By.Ronaldo9R9.en.srt,"00:03:01,200","00:03:03,400","""And if you answer correctly,","<i>""And if you answer correctly,</i>"
vikram-vedha-2022-jiocinema-synced-english-subtitle-by-ronaldo9r9-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Vikram.Vedha.2022.Jiocinema.Synced.English.Subtitle-By.Ronaldo9R9.en.srt,"00:03:03,520","00:03:06,361","""Betaal with escape again.""","<i>""Betaal with escape again.""</i>"
vikram-vedha-2022-jiocinema-synced-english-subtitle-by-ronaldo9r9-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Vikram.Vedha.2022.Jiocinema.Synced.English.Subtitle-By.Ronaldo9R9.en.srt,"00:03:07,120","00:03:10,960","Vikramaditya, there is only one way out of this dilemma.","<i>Vikramaditya, there is only
one way out of this dilemma.</i>"
vikram-vedha-2022-jiocinema-synced-english-subtitle-by-ronaldo9r9-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Vikram.Vedha.2022.Jiocinema.Synced.English.Subtitle-By.Ronaldo9R9.en.srt,"00:03:11,401","00:03:13,960",Don't get taken in by Betaal's stories.,<i>Don't get taken in by Betaal's stories.</i>
vikram-vedha-2022-jiocinema-synced-english-subtitle-by-ronaldo9r9-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Vikram.Vedha.2022.Jiocinema.Synced.English.Subtitle-By.Ronaldo9R9.en.srt,"00:03:45,722","00:03:47,602",Shall I tell you a story?,Shall I tell you a story?
vikram-vedha-2022-jiocinema-synced-english-subtitle-by-ronaldo9r9-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Vikram.Vedha.2022.Jiocinema.Synced.English.Subtitle-By.Ronaldo9R9.en.srt,"00:04:07,602","00:04:10,242","Pappu, is this the place?","Pappu, is this the place?"
vikram-vedha-2022-jiocinema-synced-english-subtitle-by-ronaldo9r9-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Vikram.Vedha.2022.Jiocinema.Synced.English.Subtitle-By.Ronaldo9R9.en.srt,"00:04:11,682","00:04:14,202","- Don't be shy. - Yes, sir. This is it.","- Don't be shy.
- Yes, sir. This is it."
vikram-vedha-2022-jiocinema-synced-english-subtitle-by-ronaldo9r9-en,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Vikram.Vedha.2022.Jiocinema.Synced.English.Subtitle-By.Ronaldo9R9.en.srt,"00:04:14,322","00:04:17,403","I've done my job, now it's over to you.","I've done my job,
now it's over to you."
